Methods and properties, Java, C#
Static imports, {{yes}}, {{yes}}[52]
Virtual methods, {{yes|Virtual by default}}, {{yes|Non-Virtual by default}}
Abstract, {{yes}}, {{yes}}
Sealing, {{yes}}, {{yes}}
Explicit interface implementation, {{yes|Default methods}}, {{yes}}[53]
Value (input) parameters, {{yes}}, {{yes}}
Reference (input/output) parameters, {{no}}, {{yes}}
Output (output) parameters, {{no}}, {{yes}}
Constant (immutable) parameters, {{yes}}; final parameters, {{yes}}[54]
Variadic methods, {{yes}}, {{yes}}
Optional arguments, {{no}};[55] Instead method overloading or varargs, {{yes}}
Named arguments, {{no}}, {{yes}}
Generator methods, {{no}}, {{yes}}
Extension/default methods, {{yes}}, {{yes}}
Conditional methods, {{no}}, {{yes}}
Partial methods, {{no}}, {{yes}}
