Server name, License, Programming language, RFC 2616 HTTP/1.1, RFC 2617 HTTP {{abbr|auth.|authentication}}, RFC 2518 WebDAV, RFC 3253 WebDAV {{abbr|vers.|versioning}}, RFC 3744 WebDAV ACL, RFC 4324 iCal {{abbr|CAP|Calendar Access Protocol}}, RFC 4331 WebDAV quota, RFC 4709 WebDAV mount, RFC 4791 CalDAV, RFC 4918 WebDAV {{abbr|ext.|extensions}}, RFC 5397 WebDAV current principal, RFC 5545 {{abbr|rev.|revised}} iCal (Availability Check), RFC 5546 iCal {{abbr|iTIP|transport-independent interoperability protocol}}(Group Scheduling), RFC 5689 WebDAV {{abbr|ext.|extended}} MKCOL, RFC 5995 WebDAV POST add member, RFC 6352 CardDAV vCard, RFC 6578 WebDAV {{abbr|sync|synchronise}}, RFC 6638 CalDAV {{abbr|sched.|scheduling}}(Auto-Schedule), RFC 7529 iCal {{abbr|RSCALE|non-Gregorian calendar}}, RFC 7540 HTTP/2, RFC 7809 CalDAV time zones by {{abbr|ref.|reference}}, RFC 7953 iCal {{abbr|VAVAILABILITY|personal availability}}, Free-busy URL
Baïkal[21][22], {{GPL-lic}}, PHP, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{Some}}, {{no}}, {{unk}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{unk}}, {{yes}}, {{unk}}, {{yes}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}
Bedework[23], {{free|Apache}}, Java, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{yes}}, {{unk}}, {{unk}}, {{yes}}, {{yes}}, {{unk}}, {{unk}}, {{yes}}, {{yes}}, {{yes}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}
Calendar and Contacts Server[24], {{free|Apache}}, Python, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{unk}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{unk}}, {{yes}}, {{yes}}, {{yes}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}
Calypso[25], {{GPL-lic}}, Python, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{unk}}, {{no}}, {{unk}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}
Cyrus IMAP[26], {{free|BSD}}, C, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
DAViCal[27], {{GPL-lic}}, PHP, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{unk}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{yes}}
DavMail[28], {{GPL-lic}}, Java, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}
Fennel[29], {{free|GNU GPLv3}}, JavaScript, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}
Group-Office[30], {{some|AGPL  proprietary}}, PHP, {{yes}}, {{yes}}, {{yes}}, {{unk}}, {{Some}}, {{unk}}, {{unk}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{unk}}, {{yes}}, {{unk}}, {{yes}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}
Horde Groupware, {{free|GNU LGPL}}, PHP, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{Some}}, {{no}}, {{no}}, {{unk}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
