Server, Authoritative, Recursive, Recursion ACL, Slave mode, Caching, DNSSEC, TSIG, IPv6, Wildcard, Free Software, Interface, split horizon
BIG-IP DNS, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}} {{Citation needed|date=October 2019}}, API  command line, {{yes}}
BIND, {{yes}}, {{Yes}}, {{yes}}, {{Yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}} (since 9.x), {{yes}} (since 4.x), {{yes}}, Web{{r|group=Note|bind_web}}  command line, {{yes}}
PowerDNS, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}{{r|group=Note|powerdns_slave6}}, {{Yes}}, {{Yes}} (since 3.0) {{r|group=Note|powerdns_dnssec}}, {{Yes}} (since 3.0), {{Yes}}{{r|group=Note|powerdns_slave6}}, {{Yes}}, {{Yes}}, REST  Web{{r|group=Note|powerdns_web}}  command line, {{partial}}{{r|group=Note|powerdns_views}}
djbdns, {{yes}}, {{yes}}, {{yes}}, {{yes}}{{r|group=Note|djbslave}}, {{yes}}, {{partial}}{{r|group=Note|djbdns_dnssec}}, {{no}}, {{partial}} via generic records. [2], {{partial}}{{r|group=Note|djbdns_wild}}, {{yes}}, command line and web (VegaDNS & NicTool), {{yes}}{{r|group=Note|locations}}
dbndns, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{partial}}, {{yes}}, command line and web, {{yes}}
pdnsd, {{partial}}, {{yes}}, {{partial}}, {{partial}}, {{yes}}, {{no}} [17], {{partial}}, {{yes}}, {{yes}}, {{yes}}, command line  pdnsd-ctl program, {{partial}}
MaraDNS, {{Yes}}, {{Yes}}, {{Yes}}, {{partial}}{{r|group=Note|maraslave}}, {{yes}}, {{no}}, {{no}}, {{partial}}, {{yes}}, {{yes}}, command line, {{no}}
Posadis, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{Yes}}, command line  API, {{no}}
Unbound, {{partial}}, {{yes}}, {{yes}}, {{n/a}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, command line  API, {{yes}}
Dnsmasq, {{partial}}{{r|group=Note|masqauth}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}} (since 2.69) {{r|group=Note|masqdnssec}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, command line, {{partial}}{{r|group=Note|masqsplit}}
NSD, {{Yes}}, {{No}}, {{n/a}}, {{yes}}, {{n/a}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{Yes}}, command line, {{no}}
Knot DNS, {{Yes}}, {{No}}, {{n/a}}, {{yes}}, {{n/a}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{Yes}}, command line, {{Yes}}{{r|group=Note|knotdns_modules}}
Knot Resolver, {{no}}, {{yes}}, {{yes}}, {{n/a}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{Yes}}, command line and web, {{no}}
YADIFA, {{Yes}}, {{No}}, {{n/a}}, {{Yes}}, {{n/a}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, command line, {{No}}
Microsoft DNS, {{Yes}}, {{Yes}}, {{Yes}}{{r|group=Note|msdns_policies}}, {{Yes}}, {{Yes}}, {{Yes}}{{r|group=Note|msdns_dnssec}}, {{Yes}}{{r|group=Note|msdns_tsig}}, {{Yes}}{{r|group=Note|msdns_ipv6}}, {{yes}}, {{No}}, GUI  command line  API{{r|group=Note|msdns_api}}  WMI{{r|group=Note|msdns_wmi}}  RPC{{r|group=Note|msdns_rpc}}, {{Yes}}{{r|group=Note|msdns_policies}}
Simple DNS Plus, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{No}}, GUI  Web  command line, {{yes}}{{r|group=Note|sdns_views}}
Secure64 DNS Authority, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, Command Line or Web GUI, {{yes}}
Secure64 DNS Cache, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, Command Line or Web GUI, {{yes}}
Server, Authoritative, Recursive, Recursion ACL, Slave mode, Caching, DNSSEC, TSIG, IPv6, Wildcard, Free Software, Interface, split horizon
