Server, Creator, Cost (USD), Public source code, Software license
BIND, Internet Systems Consortium, Free, {{Yes}}, BSD  MPL 2.0 for 9.11+
Microsoft DNS, Microsoft, Included with Windows Server, {{No}}, Clickwrap license
djbdns, Daniel J. Bernstein, Free, {{Yes}}, Public domain
Dnsmasq, Simon Kelley, Free, {{Yes}}, GPL
Simple DNS Plus, JH Software, $79 – $379, {{No}}, Clickwrap license
NSD, NLnet Labs, Free, {{Yes}}, BSD variant
Knot DNS, CZ.NIC, Free, {{Yes}}, GPL
Knot Resolver, CZ.NIC, Free, {{Yes}}, GPL
PowerDNS, PowerDNS.COM BV / Bert Hubert, Free, {{Yes}}, GPL
MaraDNS, Sam Trenholme, Free, {{Yes}}, BSD variant
pdnsd, Thomas Moestl and Paul Rombouts, Free, {{Yes}}, GPL
Posadis, Meilof Veeningen, Free, {{Yes}}, GPL
Unbound, NLnet Labs, Free, {{Yes}}, BSD
YADIFA, EURid, Free, {{Yes}}, BSD
Secure64 DNS Authority, Secure64, Unpublished price, {{No}}, Clickwrap license
Secure64 DNS Cache, Secure64, Unpublished price, {{No}}, Clickwrap license
