! HTML5 standard, HTML web browser features, Adobe Flash/AIR features
Date started, Work began in 2003 Working Draft as of 2011[3], {{n/a}}, Work began in 1996[4] Version 1 released in 1997
Desktop operating systems, {{n/a}}, {{yes|AmigaOS  MorphOS  Apple macOS  Linux  Microsoft Windows}}, {{yes| Apple macOS  Linux  Microsoft Windows}}
Mobile operating systems, {{n/a}}, {{yes| Android 2.3 and newer[5] Apple iOS 6 and newer[5] Symbian Belle[5] BlackBerry OS 7 and 10[5] Windows Phone 7 and newer[5] |}}, {{terminated| Android 2.1 to 4.1[6][7] Apple iOS (Adobe AIR only)[8] BlackBerry 10 (up to OS 10.3.0)[9] BlackBerry Tablet OS[10] Windows RT |}}
Video game consoles, {{n/a}}, {{yes| PlayStation (PS4  PS3 and PS Vita)[11][12][13] Nintendo Switch and Wii U[14][15][11][16] Nintendo 3DS family (partial)[11] Xbox One and Xbox 360[11][17] |}}, {{terminated| PlayStation 3 (Flash 9.1) and PSP (Flash 6) Wii (Flash Lite 3.1  equivalent to Flash 8) Leapster (Flash 5 for games) Dreamcast (Flash 4) }}
Device support, {{n/a}}, colspan="2" {{yes|Full  permission-based access to web camera  microphone  accelerometer and GPS}}
Market penetration, {{n/a}}, {{yes|Available in all major browsers}}, {{Terminated|4.5% of websites (as of April 19  2018)[18]}}
Vector graphics formats, {{n/a}}, {{yes|Scalable Vector Graphics (SVG) supported on ~97% of browsers[19]}}, {{yes|SWF with embedded graphics and AS3SVGRenderer}}
Bitmap effects, {{yes}}, {{yes|90+%[20] support of Filters in CSS3 (e.g. Glow  Blur  Drop Shadow  Sepia)[21]}}, {{yes}}  applied to text or graphics (e.g. Glow  Drop Shadow  Bevel)[22]
Vector text display, {{yes}}, {{yes}}, {{yes}}  with Saffron Type System
Font support, {{n/a}}, {{yes|Installed fonts and custom fonts using CSS 3 web fonts}}, {{yes|Installed fonts and embedded fonts}}[23]
Text anti-aliasing, {{n/a}}, {{yes}}  implemented in most browsers  for system and custom fonts, {{yes}}  in most cases{{note|b|2}}
Text tab stops, {{no}}, {{depends|Only supported inside "pre" tags}}, {{yes}}  with Text Layout Framework
Liquid text layout, {{yes}}, {{yes}}  via "div" tag and CSS styling, {{depends|No  but text fields can be resized in ActionScript}}
Tabular data, {{yes}}, {{yes}}  via "table" tag, {{depends|No  but text fields can be arranged into a grid}}
Linked text frames{{note|a|1}}, {{depends|{{As of|2016}}  two specifications compete: CSS Regions[24] and CSS Overflow[25]}}, {{depends|With CSS Regions  supported by Safari  IE11 and Edge}}[26], {{yes}}  with Text Layout Framework[27]
Programming languages, {{depends}}, {{yes|JavaScript}}, {{yes|ActionScript  Pixel Bender}}
C++ support, {{yes|Cross-compiling C++ code to JavaScript via Emscripten}}, {{depends|Native code execution with Google Native Client in Google Chrome  also supported with WebAssembly (experimental)}}, {{yes|Cross-compiling C++ code to run in Flash Player via FlasCC[28] AIR has AIR Native Extensions that allow loading native code  such as compiled C++ code.}}
Code delivery format, Plaintext, Plaintext JavaScript with limited obfuscation  WebAssembly bytecode (experimental)  GLSL for GPUs  in Canvas elements, Compiled bytecode  can be obfuscated
Data formats, {{depends}}, {{yes|CSS 3  HTML  XML  JSON}}[29], {{yes|JSON  XML  Subset of CSS 1}}[30]
Data compression, {{no}}, {{yes|GZIP compression for HTML  JS and CSS files[31]}}, {{yes|LZMA or DEFLATE for SWF files}}
Image formats, {{depends}}, {{yes|PNG  JPEG  SVG  Animated GIF}}[32][33], {{yes|PNG  JPEG  JPEG-XR  Single-frame GIF}}[34][35]
Video formats, {{depends}}, {{yes|90+% support of H.264;[36] varying support of WebM and Ogg Theora (see HTML5 video)}}, {{yes|H.264  Sorenson Spark  and On2 VP6}}[37]
Streaming video, {{yes}}[38], {{yes|Supported by IE  Edge  Firefox  Chrome  Safari and Opera.}}[39], {{yes|Flash Video  H.264 and partial support for MP4}}
Audio formats, {{depends}}, {{yes|~94% support of MP3 [40] AAC[41] and WAV PCM; varying support of Ogg Vorbis  and WebM Vorbis (see HTML5 audio)}}, {{yes|MP3  WAV and AAC audio files or embedded sound}}
Fullscreen support, {{yes}}[42], {{yes|Supported on all major desktop browsers  with warning displayed.[43] Not yet widely supported on mobile}}, {{yes}}  with warning displayed
Encryption DRM, {{depends}}, {{depends|~65% support of audio/video files.[44] All other files being plaintext  except for obfuscation}}, {{depends|No  binary formatted files can be decompiled  which is obfuscation}}
File system access, {{depends}}, {{depends|~87% support of single file upload  and drag and drop of files onto browser[45]}}, {{yes|Support for single file upload and generation [46] AIR only: full create/read/write access to file system[47]}}
Bitmap manipulation, {{depends}}, {{yes|~95% support for canvas element[48]}}, {{yes}}  via BitmapData class[49]
Binary manipulation, {{yes}}, {{yes}}  via JavaScript Typed Arrays[50], {{yes}}  via ByteArray class[51]
Large binary data, {{no}}, {{depends|Via Web Sockets to stream binary or XML data}}, {{yes}}  embedded or streaming binary data[52]
Offline storage, {{depends}}, {{yes}}  via Web storage  HTTP cookie  or Indexed DB to store binary  XML or JSON data[53], {{yes}}  via Local Shared Objects to store AMF-formatted data
Metadata, {{yes|Meta tags}}, {{yes|Can be included in meta tags}}, {{yes|Extensible Metadata Platform}}
