IRC daemon, Creator/network, Basis, Programming language, First public release, Latest version (numeric 351), Software license
Asuka[1], QuakeNet Dev Team, ircu, C, {{unk}}, {{terminated|1.2.1 (now replaced by snircd)}}, {{free|GPL}}
Bahamut[2], DALnet, DreamForge  IRCD-Hybrid, C, 1999[3], bahamut-2.0.7, {{free|GPL}}
bIRCd[4], DAMnet, DreamForge, C, 1999, bIRCd-2.1.0rc4, {{free|GPL}}
beware ircd[5], beware, from scratch, Delphi, {{unk}}, {{terminated|beware1.6}}, {{free|GPL}}
Charybdis[6], atheme.org (nenolod  jilles  dwr  gxti), ircd-ratbox  IRCD-Hybrid  ircu  ShadowIRCd, C, 2005, charybdis-3.4.2, {{free|GPL/BSD}}
dancer-ircd, freenode, Hybrid 6, C, 1999, {{terminated|? (replaced by hyperion)}}, {{free|GPL}}
Elemental-IRCd[7], [8], ShadowIRCD, C, 2007, 6.6.2, {{free|GPL2}}
DreamForge, DALnet, irc2.8.mu3, C, 1994 (dal)  1997? (df), {{terminated|? (replaced by bahamut)}}, {{free|GPL}}
Faerion IRC Server[9], vhex, DreamForge, C  C++, 2003, 1.17.7.1[10], {{free|GPL}}
FoxEye (ircd module), Andriy Grytsenko, from scratch, C, 2011(draft)  2016(working), 0.11.0, {{free|GPL2}}
hyperion[11], freenode, dancer-ircd 1.0.35+pre2, C, 2005, {{terminated|? (replaced by ircd-seven)}}, {{free|GPL}}
IgniteIRCd[12], Lloyd Dilley, ircd-hybrid 6.3.1, C, 2004, {{terminated|0.9.41 (now unmaintained)}}, {{free|GPL}}
InspIRCd [13], InspIRCd Development Team, from scratch, C++, 2002, 3.1.0[14], {{free|GPL}}
ignitionServer[15], The Ignition Project, Pure-IRCD (VB6 version), Visual Basic, 2004, {{terminated|ignitionServer-0.3.6-P1}}[16], {{free|GPL[17]}}
IRCd[18], Jarkko Oikarinen  IRCnet[19], from scratch, C[20], 1988, 2.11.2[21], {{free|GPL v1}}
ircd-hybrid[22], ircd-hybrid Development Team [23] Rizon  OFTC  EFnet, irc2.8[24], C[24], 1997[24], 8.2.21[25], {{free|GPL}}[26]
ircd-ratbox, Aaron Sethman  Lee Hardy  EFnet, Hybrid 7-rc1, C, 2002, ircd-ratbox-3.0.10, {{free|GPL}}
ircd-seven, freenode, charybdis 3.1.x/trunk, C, —, stable, {{free|GPL}}
ircu[27], Undernet Coder Committee, irc2.7[28], C[29], 1991, u2.10.12.14[27], {{free|GPL}}
ithildin[30], Chip Norkus, from scratch, C, 2006, 1.1[31], {{free|BSD[32]}}
miniircd[33], Joel Rosdahl, from scratch, Python, 2003, 1.3[34], {{free|GPL}}
Nefarious IRCu, Evilnet Development  AfterNET, ircu2.10.12.14, C, 2004, u2.10.12.14+Nefarious(2.0.0), {{free|GPL}}
ngIRCd[35], Alex Barton, from scratch, C, 2001[36], ngircd-24[37], {{free|GPL}}
OfficeIRC Server, Office IRC Inc  Paul Heinlein, from scratch, VB.NET, 2006, 2.2, {{proprietary}}
Oragono, Daniel Oaks  Oragono Contributors, Ergonomadic, Go, 2016, 0.12.0, {{free|MIT}}
PleXusIRCd, Rizon  thaprince  static, Hybrid 7.2.3, C, 2005, hybrid-7.2.3+plexus-3.0.1(20090612_0-523), {{free|GPL}}
ProvisionIRCd[38], Sirius  Y4kuzi, from scratch, Python3, 2006, 1.3, {{free|GPL}}
pureIRCd, Dennis Fisch aka Diligent, from scratch, C, 2002, {{unk}}, {{free|GPL}}
RockIRCd{{Anchor|RockIRCd}}[39], Mike Chambers, from scratch, QuickBASIC[40], 2009, 1.0.0-testing, {{free|GPL}}
RubIRCd[41], Lloyd Dilley, from scratch, Ruby, 2013, 0.1a-maiden voyage, {{free|GPL}}
ShadowIRCd[42], Taros  jdhore  jilles  nenolod, Charybdis[42], C, 2003, {{terminated|6.3.3}}, {{free|GPL}}
snircd, QuakeNet, ircu2.10.12[43], C[43], {{unk}}, 1.3.4a[1], {{free|GPL[43]}}
solid-ircd, Toshi Morita  Juan Baez Gabriel Baez, Bahamut, C, 2004[44], solid-ircd 3.4.8, {{free|GPL}}
Synchronet IRCd[45], Randy E. Sommerfeld, from scratch, JavaScript, 2003, SynchronetIRCd-1.3a(1.151), {{free|GPL}}
TR-IRCd [46], Yusuf Iskenderoglu  Ekim Engin  Dimitris Ginosatiris  Maksut Cagil  Burak Cifter, Hybrid 7 and Bahamut, C, 1999, {{terminated|5.6.1}}, {{free|GPL}}
UltimateIRCd, ShadowRealm Creations, DreamForge 2.8, C, 2001, {{terminated |3.0.2 [47] (now unmaintained)}}, {{free|GPL}}
UnrealIRCd[48], UnrealIRCd Team, EliteIRCd (potvin)[49], C, 1999, 4.2.3[50], {{free|GPL}}
Viagra IRCd[51], Chris Schiffner, Titan, C, 2003, {{terminated|1.3.3 (now unmaintained)}}, {{free|GPL}}
WeIRCd, Eloxoph IRC Network[52], from scratch, C, 2007, {{terminated|0.8.2 (now unmaintained)}}, {{free|GPL}}
Pocosi[53], Chris Williams  Hinrik Örn Sigurðsson, POE::Component::Server::IRC[54], Perl, 2003, {{terminated|0.02 (1.53 of POE::Component::Server::IRC)}}, {{free|Artistic}}
