, Creator, Latest release date, Current stable version, Programming language, License
bbPress[1], WordPress Foundation, 2019-09-04, 5.2.3, PHP[2], GPL[3]
Beehive Forum[4], Project Beehive Forum Developers, 2016-11-05, 1.5.2, PHP, GPL
Discourse[5], Civilized Discourse Construction Kit  Inc., 2019-11-06, 2.3.6, Ruby  JavaScript, GPL
Discuz![6], Comsenz Inc., 2018-01-01, X3.4, PHP, Discuz! EULA (proprietary  gratis for non-commercial use)
FluxBB[7], FluxBB.org Developers, 2018-12-31, 1.5.11, PHP, GPL
FUDforum[8], Advanced Internet Designs Inc., 2018-04-09, 3.0.9, PHP, GPL
Ikonboard[9], Matt Mecham (original creator) Joshua Johnson, 2012-10-19, 3.1.5A, Perl, Proprietary
Invision Power Board[10], Invision Power Services Inc., 2019-06-12, 4.4.4, PHP, Proprietary
MyBB[11], MyBB Group, 2019-12-30, 1.8.22, PHP, LGPL  moving to BSD in 2.0[12]
Phorum[13], Brian Moon, 2017-08-23, 5.2.23, PHP, Phorum License 2 (BSD like)
phpBB[14], phpBB Ltd., 2019-05-05, 3.2.8, PHP, GPL
PunBB[15], PunBB, 2015-10-14, 1.4.4, PHP, GPL
Simple Machines Forum[16], Simple Machines, 2019-12-30[17], 2.0.17[17], PHP, BSD License
Syndie[18], Anonymous (related to I2P), 2014-08-14, 1.107b, Java, Open source  multiple licenses
Thredded[19], Joel Oliveira  Gleb Mazovetskiy  et al., 2019-08-17, 0.16.13, Ruby, MIT
Vanilla Forums[20], Vanilla Forums, 2019-03-15, 2.8.1, PHP, Proprietary/GPL[21]
vBulletin[22], vBulletin Solutions Inc., 2019-05-14, 5.5.2, PHP[23], Proprietary[24]
XenForo, XenForo Limited  Kier Darby  Mike Sullivan., 2019-11-06, 2.1.5, PHP[25], Proprietary
!Creator, Latest release date, Current stable version, Programming language, License
