, Flat, Threaded, User selectable themes, Unread message tracking, WYSIWYG Editor, Export  portability, Email / NNTP interface, Languages, SSO
bbPress, {{yes}}[26], , , , , {{no}}[27], {{partial|Plugin}}[28][29], {{yes}}[30], 
Beehive Forum, {{yes}}[26], {{yes}}[26], {{partial}}[26], {{yes|Full}}[26], {{yes}}[26] (using TinyMCE), {{partial}}[31], , , 
Discourse, {{yes}}, {{no}}[32], {{yes}}[33], {{yes|Full}}, {{partial|Real-time side-by-side preview}}, {{yes|Full}}[34], {{partial}}[35], {{yes}}[36][37], {{yes|OAuth2[38]  Custom[39]}}
Discuz!, , , {{yes}}[40], , , , , 
FluxBB, {{yes}}[26], {{no}}[26], {{partial}}[26], {{partial|Session}}[26], {{no}}[26], , , {{yes}}[41], 
FUDforum, {{yes}}[26], {{yes}}[26], {{yes}}[26], {{yes|Full}}[26], {{yes}}[26], {{partial}}[42], {{yes}}[43], {{yes}}[44]
Invision Power Board, {{yes}}[26], , {{yes}}[26], {{yes|Full}}[26], {{yes}}[26], , {{no}}[45], , {{no}}[46]
MyBB[47], {{yes}}[26], {{yes}}[26], {{yes}}[26], {{yes|Full}}[26], {{yes}}[26], {{no}}[48], {{no}}[49][50], {{yes}}[51], 
Phorum, {{yes}}[26], {{yes}}[26], {{yes}}[26], {{yes|Full}}[26], {{yes}}[26], {{partial|Plugin}}[52], , {{no}}[53], 
phpBB[54], {{yes}}[26], {{no}}[26], {{yes}}[26], {{yes|Full}}[26], {{no}}[26], {{no}}[55], {{no}}[56][57], {{yes}}[58], {{yes}} (LDAP  OAuth)[59]
PunBB[60], {{yes}}[26], , {{yes}}[26], {{partial|Session}}[26], , , , {{no}}[61][62], 
Simple Machines Forum, {{yes}}[26], {{no}}[26], {{yes}}[26], {{yes|Full}}[26], {{yes}}[26], {{partial}} [63], {{no}}[64], {{yes}}[65], 
Thredded, {{yes}}[19], {{no}}[19], {{yes}}[19], {{yes|Full}}[19], {{no}}[19], {{no}}[19], {{partial|Read-only}}[19], {{yes}}[19], {{yes|Custom}}[19]
Vanilla Forums, {{yes}}[26], , {{yes}}[26], {{yes}}[26], {{partial|Plugin}}[26], {{partial|Plugin}} [66][67], , {{yes}}[68], {{yes}}[69]
vBulletin[70], {{yes}}[26], {{yes}}[26], {{yes}}[26], {{yes|Full}}[26], {{yes}}[26], {{partial|Plugin}}[71][72], , {{no}}[73], 
XenForo, {{yes}}[26], , {{yes}}[26], {{yes|Full}}[26], {{yes}}[26], {{yes}}[74], , {{yes}}[75], {{yes}}[76]
