, MySQL, PostgreSQL, MSSQL, Oracle, SQLite, Firebird, Flat file
bbPress[2], {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Beehive Forum, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Discourse, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Discuz!, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
FluxBB, {{yes}}, {{yes}}, {{no}}, {{no}}, {{partial|SQLite 2[85]}}, {{no}}, {{no}}
FUDforum, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}
Iko, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Ikonboard, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{yes}}
Invision Power Board, {{yes}}, {{no}}, {{partial|Discontinued [86]}}, {{no}}, {{no}}, {{no}}, {{no}}
kusaba, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
MyBB[47], {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}
Phorum, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
phpBB[54], {{yes}}, {{yes | v8.2 or newer[87][88]}}, {{yes}}, {{yes}}, {{yes}}, {{partial | Discontinued}}, {{no}}
PunBB[60], {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}
Simple Machines Forum, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}
Syndie, {{yes}} (HSQLDB), {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Thredded[19], {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}
Vanilla Forums, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
vBulletin[70], {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
XenForo, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
