Framework, Version compared, Size, License, Source language
Angular, 7 {{nowrap|18 Oct 2018}}, {{nowrap|563 kB}} (minified & compressed), {{free|MIT}}, TypeScript
AngularJS, 1.5.0 {{nowrap|5 Feb 2016}}, {{nowrap|144 kB}} (minified & compressed), {{free|MIT}}, JavaScript
QCObjects [1], 2.1.x {{nowrap|13 Dec 2019}}, {{nowrap|79 kB}} (not minified & not compressed), {{free|LGPLv3}}, JavaScript
Apache Royale, 0.9.4 {{nowrap|5 Nov 2018}}, {{nowrap|19 kB}} (zipped), {{free|Apache}}, ActionScript 3  MXML  CSS
Backbone.js, 1.2.1 {{nowrap|June 2015}}, {{nowrap|7.3 kB}} (Packed and gzipped), {{free|MIT}}, JavaScript
Dojo, 1.10.4 {{nowrap|18 Jan 2015}}, Variable. Base size: {{nowrap|41 kB}} (minified & gzipped)  {{nowrap|155 kB}} (minified)  {{nowrap|598 kB}} (uncompressed)[2], {{free|BSD & AFL}}, JavaScript + HTML
Ember.js, 1.7.0 {{nowrap|19 Aug 2014}}, {{nowrap|95 kB}} (minified & gzipped)  {{nowrap|340 kB}} (minified)  {{nowrap|1.5 MB}} (uncompressed), {{free|MIT}}, JavaScript
Enyo, 2.0.1 {{nowrap|30 Aug 2012}}, {{nowrap|<25 kB}} (core gzipped), {{free|Apache 2 [3]}}, JavaScript
Express.js, , , , 
Ext JS, 4.2 {{nowrap|13 Mar 2013}}, {{nowrap|84–502 kB}}, GPL & Commercial [4], JavaScript
Google Web Toolkit, 2.7.0 {{nowrap|November 2014}}, Variable, {{free|Apache}}, Java
jQuery (library), 3.4.0 {{nowrap|10 Apr 2019}}, {{nowrap|30 1 KiB}} (minified & gzipped)  {{nowrap|86 KiB}} (minified) [5] {{nowrap|283 KiB}} (uncompressed)[5], {{free|MIT}}, JavaScript
jQWidgets, 3.9.1 {{nowrap|29 Oct 2015}}, {{nowrap|3102 KB}} (minified)  {{nowrap|7486 KB}} (uncompressed), Creative Commons Attribution-NonCommercial 3.0 and Commercial[6], JavaScript  HTML  CSS
Knockout, 3.5.0 {{nowrap|22 February 2019}}, 66.4 KB minified / 309 KB (development mode), {{free|MIT}}, JavaScript
MooTools, 1.6.0 {{nowrap|14 Jan 2016}}, Variable; {{nowrap|7.3–65 KiB}} {{nowrap|(YUI Compressor)}} [7] Variable; {{nowrap|7.3–65 KiB}} {{nowrap|(YUI Compressor)}} [8] {{nowrap|101 KiB}} (uncompressed)[9], {{free|MIT}}, JavaScript
Node.js, , , , 
React (JavaScript library), 16.1.1 November 28  2017, react.production.min.js 6.41KB react-dom.production.min.js 92.4KB Total: 98.81KB, {{free|MIT}}, JavaScript
SAP OpenUI5, 1.44.9 {{nowrap|28 Mar 2017}}, 20.8MB (1.34.7 runtime  minified  zipped) 6.8MB(1.34.7 runtime mobile  minified  zipped) 52.1MB (1.34.7 SDK  zipped), {{free|Apache 2}}[10], JavaScript
Prototype & script. aculo.us[11], Prototype: 1.7.3 {{nowrap|22 Sep 2015}} script.aculo.us: 1.9.0 {{nowrap|23 Dec 2010}}, {{nowrap|46–278 kB}}, {{free|MIT}}, JavaScript
qooxdoo, 5.0.1 {{nowrap|15 Sep 2015}}, Variable  starting at {{nowrap|6 kB}} (gzipped), {{free|LGPL & EPL}}, JavaScript
SmartClient & SmartGWT, SmartClient: 11.1 {{nowrap|June 2017}} SmartGWT: 6.1 {{nowrap|June 2017}}, {{nowrap|100–500 kb}} (gzipped)., LGPL & Commercial, Server: Java Client: Java (Smart GWT) or Javascript (SmartClient) or XML (both)
SproutCore, 1.11.2 {{nowrap| 2 May 2016}}, {{nowrap|250–700 kb}} (gzipped)., {{free|MIT}}, JavaScript
Svelte, 3.12.1 {{nowrap| 14 Oct 2019}}, Variable, {{free|MIT}}, JavaScript
Vue.js, 2.6.10 {{nowrap|20 Mar 2019 }}, 33.5 KB (minified & gzipped) 91.48 KB (minified) [12] 333.46 KB (uncompressed) [12], {{free|MIT}}, JavaScript
Wakanda, 9 {{nowrap|14 Nov 2014}}, Variable, GPL3 (framework)  AGPL (server) & Commercial, JavaScript + HTML + CSS
Webix, 4.1 {{nowrap|November 2016}}, 188 kB (gzipped), GPL & Commercial, JavaScript
ZK, 8.0.1 {{nowrap|19 Jan 2016}}, Variable, LGPL & GPL & ZOL, XML + Java (JavaScript optional)
Yuneta, 3.0, Variable, GPL, Javascript  C++
