Distribution, Founder, Maintainer, Initial release year, Current stable version, Security updates (years), Release date, System distribution commitment, Forked from, Target audience, Cost, Status
Alpine Linux, Alpine Linux Team, Alpine Linux Team, {{date|2006|iso}}, 3.10[2], {{dunno}}, {{date|2019-06-13|iso}}, {{Proprietary|X}}, LEAF Project, security  lightweight  general, {{Free|Gratis}}, {{site active}}
ALT Linux, ALT Linux Team, ALT Linux Team  ALT Linux LLC, {{date|2001|iso}}, 8.2[3], {{dunno}}, {{date|2013-07-10|iso}}, {{Proprietary|X}}, Mandrake Linux, general  school, {{Free|Gratis}}, {{site active}}
antiX, Anticapitalista, Anticapitalista, {{date|2007|iso}}, 17.4.1[4], {{dunno}}, {{date|2017-08-24|iso}}, {{Proprietary|X}}, Debian  MEPIS, old computers, {{Partial|Some editions are gratis}}, {{site active}}
ArchBang, Willensky Aristide, Stan McLaren, 2011, Rolling, Rolling, {{dunno}}, {{Proprietary|X}}, Arch Linux (UKM Edition), general, {{Free|Gratis}}, {{site active}}
Arch Linux, Judd Vinet, dev team, {{date|2002|iso}}, Rolling, Rolling, Rolling, {{Proprietary|X}}, Independent  inspired from CRUX, general, {{Free|Gratis}}, {{site active}}
BLAG, Brixton Linux Action Group, Brixton Linux Action Group, {{date|2002|iso}}, 140k, {{dunno}}, {{date|2011-05-04|iso}}, {{Free|100% Free: GNU FSDG}}, Fedora, desktop, {{Free|Gratis}}, {{site inactive}}
Bodhi Linux, Bodhi Linux Team, Bodhi Linux Team, {{date|2011|iso}}, 5.0.0[5], {{dunno}}, {{date|2018-08-22|iso}}, {{Proprietary|X}}, Debian  Ubuntu, desktop  lightweight, {{Free|Gratis}}, {{site active}}
Canaima, CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community, CANTV / CNTI / CENTIDEL / Edelca / VIT / FUNDACITE / Free software community, {{date|2007|iso}}, 6.0[6], {{dunno}}, {{date|2018-03-19|iso}}, {{Proprietary|X}}, Debian  Ubuntu, Government of Venezuela, {{Free|Gratis}}, {{site active}}
CentOS, CentOS Project, CentOS Project, {{date|2003|iso}}, 8.0-1905, 10 years[7], {{date|2019-10-16|iso}}, {{Proprietary|X}}, Red Hat Enterprise Linux (RHEL), server  workstation, {{Free|Gratis}}, {{site active}}
Chakra, Jan Mette and Arch Linux KDEmod developers, The Chakra Project Team, {{date|2010|iso}}, Rolling, Rolling, {{dunno}}, {{Proprietary|X}}, Arch Linux[8], desktop, {{Free|Gratis}}, {{site active}}
Chrome OS, Sundar Pichai, Google, 2009, 75.0.3770.129[9], 6.5 years[10], 2019-07-09, {{Proprietary|X}}, Chromium OS, web applications, {{Free|Gratis}}, {{site active}}
ClearOS, Peter Baldwin, ClearFoundation, {{date|2000|iso}}, 7.6.0[11], {{dunno}}, {{date|2019-05-09|iso}}, {{Proprietary|X}}, RHEL  CentOS, server  gateway  network, {{Partial|Some editions are gratis}}, {{site active}}
CrunchBang Linux, Philip Newborough, Philip Newborough, {{date|2008|iso}}, 11[12], {{dunno}}, {{date|2013-05-06|iso}}, {{Proprietary|X}}, Debian, desktop, {{Free|Gratis}}, {{site inactive}}
Damn Small Linux, John Andrews, dev team, {{date|2003|iso}}, 4.4.10[13], {{dunno}}, {{date|2008-11-18|iso}}, {{Proprietary|X}}, Debian  Knoppix, lightweight  portable, {{Free|Gratis}}, {{site active}}
Debian, Ian Murdock, Debian Project, {{date|1993|iso}}, 10.2[14], ~3 years[15], {{date|2019-11-16|iso}}, {{Free|Debian Social Contract and DFSG}} (main is 100% free  non-free packages are optional)[16], Softlanding Linux System (SLS)[17], general  server  desktop, {{Free|Gratis}}, {{site active}}
Debian Edu, , Debian Project, {{date|2004|iso}}, 9.0+edu0[18], ~3 years[15], {{date|2017-06-18|iso}}, {{Partial|Debian Social Contract and DFSG}}, Debian, schools, {{Free|Gratis}}, {{site active}}
Devuan, The "Veteran Unix Admins" (VUA), The "Veteran Unix Admins" (VUA), {{date|2016|iso}}, 2.0.0[19], {{dunno}}, {{date|2018-09-16|iso}}, {{Proprietary|X}} [20], Debian, general, {{Free|Gratis}}, {{site active}}
Deepin, Wuhan Deepin Technology Co.  Ltd., Wuhan Deepin Technology Co.  Ltd., {{date|2004|iso}}, 15.10.2[21], {{dunno}}, {{date|2019-07-05|iso}}, {{dunno}}, Debian(current)  Ubuntu  Morphix(formerly), general, {{Free|Gratis}}, {{site active}}
Dragora GNU/Linux-Libre, Matias A. Fonzo, Matias A. Fonzo, {{date|2009|iso}}, 3.0-alpha2[22], {{dunno}}, {{date|2018-09-28|iso}}, {{Free|100% Free: GNU FSDG}}, Independent  inspired from Slackware, general, {{Free|Gratis}}, {{site active}}
dyne:bolic, Jaromil, Jaromilx, {{date|2005|iso}}, 3.0.0, {{dunno}}, {{date|2011-09-08|iso}}, {{Free|100% Free: GNU FSDG}}, Debian, multimedia, {{Free|Gratis}}, {{site inactive}}
Elementary OS, Daniel Foré, elementary LLC, {{date|2011|iso}}, 5.0[23], {{dunno}}, {{date|2018-10-16|iso}}, {{Proprietary|X}}, Ubuntu  Debian, general, {{Free|Gratis}}, {{site active}}
ELinOS, SYSGO, SYSGO, {{date|1999|iso}}, 6.2[24], {{dunno}}, {{date|2017-10-01|iso}}, {{Proprietary|X}}, –, embedded systems, {{partial}}, {{site active}}
Emdebian Grip, Embedded Debian Project, Embedded Debian Project, {{date|2009|iso}}, 3.1, End-of-life, {{date|2013-06-15|iso}}, {{Proprietary|X}}, Debian, embedded systems, {{Free|Gratis}}, {{site inactive}}
EndeavourOS, Bryan Poerwoatmodjo, EndeavourOS, {{date|2019|iso}}, Rolling, Rolling, 2019-07-15, {{Proprietary|X}}, Arch Linux, general, {{Free|Gratis}}, {{site active}}
Fedora, Fedora Project, Fedora Project, {{date|2003|iso}}, 31[25], 1 year, {{date|2019-10-29|iso}}, {{Partial|Fedora Licensing Guidelines}}[26], Red Hat Linux, general, {{Free|Gratis}}, {{site active}}
Freespire, Lindows.com  Inc., PC/OpenSystems LLC, {{date|2001|iso}}, 4.8[27], {{dunno}}, {{date|2018-12-20|iso}}, {{Proprietary|X}}, Ubuntu, desktop, {{Free|Gratis}}, {{site active}}
Gentoo Linux, Daniel Robbins, Gentoo Foundation  Inc., {{date|2002|iso}}, Rolling, Rolling, Rolling, {{Partial|Gentoo Social Contract}}, Enoch Linux, general, {{Free|Gratis}}, {{site active}}
Guix, Ludovic Courtès, Ludovic Courtès  Ricardo Wurmus  the Guix community, {{date|2012|iso}}, 1.0.1[28], Rolling, {{date|2019-05-02|iso}}, {{Free|100% Free: GNU FSDG}}, –, general, {{Free|Gratis}}, {{site active}}
gNewSense, Brian Brazil and Paul O'Malley, Sam Geeraerts with sponsorship from the FSF, {{date|2006|iso}}, 4.0 (Ucclia)[29], {{dunno}}, {{date|2016-05-02|iso}}, {{Free|100% Free: GNU FSDG}}, Debian, general  server, {{Free|Gratis}}, {{site active}}
gnuLinEx, Regional Government of Extremadura, dev team, {{date|2002|iso}}, LinEx 2013, {{dunno}}, {{date|2013-02-11|iso}}, {{Proprietary|X}}, Debian, desktop, {{Free|Gratis}}, {{site inactive}}
Grml, Michael Prokop, The Grml Team, {{date|2005|iso}}, 2018.12[30], {{dunno}}, {{date|2018-12-31|iso}}, {{Proprietary|X}}, Debian, live  maintenance  security  network  forensic  accessibility, {{Free|Gratis}}, {{site active}}
Hyperbola GNU/Linux-libre, Hyperbola Founders, Hyperbola Founders, {{date|2017|iso}}, 0.3[31], 3 years (stable)  5 years (old stable)[32], {{date|2019-09-23|iso}}, {{free|100% Free: GNU FSDG followed in Hyperbola Social Contract}}, Arch Linux, general, {{free|Gratis}}, {{site active}}
Instant WebKiosk, Marco Buratto, Binary Emotions, {{date|2012|iso}}, 16.0[33], {{dunno}}, {{date|2017-04-05|iso}}, {{Proprietary|X}}, Debian, web kiosks  digital signage  personal web navigation, {{free|Gratis}}, {{site active}}
Kali Linux, Max Moser  Mati Aharoni  Martin J. Muench, Offensive Security, {{date|2013|iso}}, 2019.2[34], {{dunno}}, {{date|2019-05-21|iso}}, {{Proprietary|X}}, Debian, auditing  forensic  security  network, {{Free|Gratis}}, {{site active}}
Knoppix, Klaus Knopper, dev team, {{date|2000|iso}}, 8.6[35], {{dunno}}, {{date|2019-08-08|iso}}, {{Proprietary|X}}, Debian, live, {{Free|Gratis}}, {{site active}}
Kodibuntu, The XBMC Project, Team Kodi, {{date|2008|iso}}, {{dunno}}, {{dunno}}, {{dunno}}, {{Proprietary|X}}, Debian  Ubuntu, multimedia, {{Free|Gratis}}, {{site inactive}}
Korora, Chris Smart, Dev Team, {{date|2005|iso}}, 26[36], {{dunno}}, {{date|2017-09-16|iso}}, {{Proprietary|X}}, Fedora, desktop, {{Free|Gratis}}, {{site inactive}}
LibreCMC, LibreCMC team, LibreCMC team, {{date|2010|iso}}, 1.4.8[37], {{dunno}}, {{date|2019-06-30|iso}}, {{Free|100% Free: GNU FSDG}}, Merged from LibreWRT, embedded systems, {{Free|Gratis}}, {{site active}}
Linspire, Linspire  Inc., Linspire  Inc., {{Date|2001|iso}}, 7.0 SP1[38], {{dunno}}, {{date|2018-04-08|iso}}, {{Proprietary|X}}, Ubuntu, {{dunno}}, {{no|Commercial}}[39], {{site active}}
Linux Mint, Clement Lefebvre, dev team, {{date|2006|iso}}, 19.3[40], ~3 years (LMDE); 5 years (main editions), {{date|2019-08-02|iso}}, {{Proprietary|X}}, Debian(LMDE)  Ubuntu (LTS versions), desktop, {{Free|Gratis}}, {{site active}}
Linux Lite, Jerry Bezencon, Linux Lite Team, 2012, 4.4[41], {{dunno}}, 2018-11-01, {{Proprietary|X}}, Ubuntu, desktop, {{Free|Gratis}}, {{site active}}
Mageia, Mageia Community, mageia.org, {{date|2010|iso}}, 7.1[42], 1 year, {{date|2019-07-01|iso}}, {{Proprietary|X}}, Mandriva Linux, general, {{Free|Gratis}}, {{site active}}
Mandriva Linux, Mandrakesoft S.A., Mandriva S.A., {{date|1998|iso}}, 2011, {{dunno}}, {{date| 2011-08-28|iso}}, {{Proprietary|X}}, Red Hat Linux, general, {{Partial|Some editions are gratis}}, {{site inactive}}
Manjaro Linux, Roland Singer, dev team, {{date|2012|iso}}[43], Rolling, Rolling, Rolling, {{Proprietary|X}}, Arch Linux, general, {{Free|Gratis}}, {{site active}}
MEPIS, Warren Woodford, MEPIS LLC, {{date|2003|iso}}, 11.9.90, {{dunno}}, {{dunno}}, {{Proprietary|X}}, Debian, desktop  server, {{Free|Gratis}}, {{site inactive}}
Musix GNU+Linux, Musix team, Musix team, {{date|2008|iso}}, 3.0.1, {{dunno}}, {{date|2014-03-13|iso}}, {{Free|100% Free: GNU FSDG}}, Debian, multimedia, {{Free|Gratis}}, {{site active}}
Netrunner, Blue Systems, dev team, {{date|2009|iso}}, 2018.08[44], as per Debian Testing or Manjaro (rolling), {{date|2018-03-11|iso}}, {{Proprietary|X}}, Debian  Manjaro/Arch, desktop, {{Free|Gratis}}, {{site active}}
NixOS, Eelco Dolstra and Armijn Hemel, NixOS Foundation, {{date|2003|iso}}, 19.03, 0.5 years, {{date|2019-05-02|iso}}, {{Proprietary|X}}, –, general  server  desktop, {{Free|Gratis}}, {{site active}}
Novell Open Enterprise Server, Novell, Novell  Inc. dev team, {{date|2003|iso}}, OES 2018 SP1, {{dunno}}, {{dunno}}, {{Proprietary|X}}, SUSE Linux Enterprise Server, server, {{no|Commercial}}[45], {{site active}}
OpenELEC, Stephan Raue  OpenELEC Team, OpenELEC Team, {{date|2011|iso}}, 8.0.4, {{dunno}}, {{date|2017-06-04|iso}}, {{Proprietary|X}}, Kodi, multimedia, {{Free|Gratis}}, {{site active}}
