Distribution, Default Linux kernel, Default file system, Default init system, Install-time desktop environment or window manager selection, Reproducible builds
Alpine Linux, {{Proprietary|Binary blobs}}, ext4, openrc, {{no2}} none, {{no}}
ALT Linux, {{Proprietary|Binary blobs}}, ext3, systemd, KDE Plasma Workspaces  Xfce, {{no}}
Arch Linux, {{Proprietary|Binary blobs}}[80], none[81], systemd, {{no2}} none, {{no}}
BLAG, {{Free|Linux-libre}}, ext3, sysvinit, GNOME, {{no}}
Bodhi Linux, {{Proprietary|Binary blobs}}, ext4, systemd, Moksha (Enlightenment fork), {{no}}
Canaima, {{Proprietary|Binary blobs}}[80], {{dunno}}, systemd, Cinnamon and MATE, {{no}}
CentOS, {{Proprietary|Binary blobs}}[80], xfs, systemd, GNOME, {{no}}
Chakra, {{Proprietary|Binary blobs}}, ext4, systemd, KDE Plasma Workspaces, {{no}}
ClearOS, {{Proprietary|Binary blobs}}, ext3, systemd, {{No2}} none (Web based), {{no}}
CoreOS, {{Proprietary|Binary blobs}}, ext4, systemd, None, {{no}}
CrunchBang Linux, {{Proprietary|Binary blobs}}, ext4, sysvinit, Openbox, {{no}}
Damn Small Linux, {{Proprietary|Binary blobs}}, ext3, sysvinit, JWM, {{no}}
Debian, {{Partial|By default Linux-libre  but the Debian Project also hosts a non-free repository allowing blobs to be installed optionally.}}[80] Built with Linux-libre tools.[82], ext4, systemd, GNOME  KDE  Xfce  LXDE[83], {{no2|In progress}}[84][85]
Devuan, {{Proprietary|Binary blobs}}, ext4, sysvinit, Xfce, {{no}}
Dragora GNU/Linux-Libre, {{Free|Linux-libre}}, ext4, runit, Xfce, {{no}}
dyne:bolic, {{Free|Linux-libre}}, {{dunno}}, systemd, GNOME, {{no}}
Fedora, {{Proprietary|Binary blobs}}, ext4, systemd, GNOME (default Workstation Edition)  Spins for: KDE Plasma Workspaces  Xfce  LXDE  MATE (with Compiz)  Cinnamon  Sugar on a Stick, {{no2|In progress}}[86]
Funtoo, {{Proprietary|Binary blobs}}, none, openrc, None, {{no}}
Gentoo, {{Proprietary|Binary blobs}}, none, openrc, Awesome  Enlightenment  Fluxbox  GNOME  KDE  LXDE-Meta  Openbox  XBMC and Xfce (live DVD)[87], {{no}}
gNewSense, {{Free|Debian Linux kernel  and (unlike Debian) blobs cannot be installed}}[82], ext3, sysvinit, GNOME, {{no}}
gnuLinEx, {{Proprietary|Binary blobs}}, ext2, {{dunno}}, GNOME, {{no}}
Guix, {{Free|Linux-libre}}, btrfs  ext4, GNU Shepherd, GNOME  Xfce  Mate  Enlightenment  i3  ratpoison  xmonad, {{no2|In progress}}[88]
Hyperbola GNU/Linux-libre, {{free|Linux-libre}}, none, openrc[89], {{no2|none}}, {{no}}
Instant WebKiosk, {{Proprietary|Binary blobs}}, SquashFS, systemd, Has no DE. It's a browser-only interface, {{no}}
Kali Linux, {{Proprietary|Binary blobs}}, ext3, systemd, GNOME, {{no}}
Knoppix, {{Proprietary|Binary blobs}}, xfs, microknoppix, LXDE, {{no}}
