Distribution, x86, x86-64, ia64, ppc[103], ppc64, sparc32, sparc64, arm, hppa[104], loongson, mips[105], sh, s390, s390x, alpha[106], m68k[107], riscv
Alpine Linux, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}
Arch Linux, {{partial|Unofficial[108] Official discontinued 2017-11-08[109]}}, {{yes}}, {{no}}, {{partial|Discontinued unofficial port}}, {{no}}, {{no}}, {{no}}, {{partial|Unofficial[110]}}, {{no}}, {{partial|Discontinued. Unofficial port[111]}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
BackTrack, {{partial|Discontinued from BackTrack 5 and superseded by Kali Linux[112]}}, {{partial|Discontinued from BackTrack 5 and superseded by Kali Linux}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{partial|Discontinued from BackTrack 5 and superseded by Kali Linux}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
BLAG, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Bodhi Linux, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{partial|Discontinued 2013-10-23}}[113], {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
BOSS Linux, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
CentOS, {{partial|AltArch}}, {{yes}}, {{partial|Discontinued 3.5-3.8 4.1-4.7}}[114], {{partial|Beta  Discontinued 4.0}}, {{partial|AltArch}}, {{partial|Beta 4.2}}[114][115], {{no}}, {{partial|AltArch}}, {{no}}, {{no}}, {{no}}, {{no}}, {{partial|Discontinued 3.5-3.8 4.1-4.7}}[114][116], {{partial|Discontinued 3.5-3.8 4.1-4.7}}[114][116], {{partial|Discontinued 4.2-4.3}}[114][117][118], {{no}}
Chakra, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{dunno}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
CRUX, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Debian[119], {{yes}}, {{yes|Yes 4.0+}}, {{partial|Discontinued 3.0-7.0}}[120], {{partial|Discontinued 2.2-8}}, {{yes}}, {{partial|Discontinued 2.1-4.0}}[121], {{partial|Discontinued -7[122]}}, {{yes|Yes 2.2+}}, {{partial|Discontinued 3.0-5.0}}, {{yes}}, {{yes|Yes 3.0+}}, {{partial|In progress}}, {{partial|Discontinued 3.0-7}}, {{yes|Yes 7+}}, {{partial|Discontinued 2.1-5.0}}, {{partial|Discontinued 2.0-3.1}}, {{partial|In progress[123]}}
Devuan, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Dragora GNU/Linux-Libre, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
dyne:bolic, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Fedora[124], {{yes}}, {{yes}}, {{partial|Discontinued from Fedora 9 }}[125], {{partial|Discontinued from Fedora 17 }}, {{yes}}, {{no}}, {{partial|Inactive from Fedora 12}}[126], {{yes}}[127], {{no}}, {{partial|In progress}}, {{partial|Inactive from Fedora 13 }}[128], {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{partial|In progress[129]}}
