Distribution, Compile time buffer checks, Mandatory access control, Software executable space protection, grsecurity, RSBAC
Alpine Linux, {{yes}}[210], {{Unknown}}, {{yes|PaX}}, {{no|Discontinued in 3.8.0}}, {{Unknown}}
BLAG, {{Unknown}}, {{Unknown}}, {{Unknown}}, {{Unknown}}, {{Unknown}}
Debian/Ubuntu, {{yes}}, {{Yes|SELinux  AppArmor}}, {{Yes|PaX}} optional, {{Optional}}, {{Optional}}
Dragora GNU/Linux-Libre, {{Unknown}}, {{Unknown}}, {{Unknown}}, {{Unknown}}, {{Unknown}}
dyne:bolic, {{Unknown}}, {{Unknown}}, {{Unknown}}, {{Unknown}}, {{Unknown}}
Fedora, {{Yes}}, {{Yes|SELinux}}[211], {{Yes|Exec Shield}}[212], {{No}}, {{No}}
Gentoo, {{Optional}}, {{Optional|SELinux  AppArmor}}, {{Yes|PaX}} optional, {{Optional}}, {{Optional}}
gNewSense, {{Unknown}}, {{Yes|SELinux  AppArmor}}{{Efn|Based on Debian}}, {{Unknown}}, {{Unknown}}, {{Unknown}}
Guix System Distribution, {{Unknown}}, {{Unknown}}, {{Unknown}}, {{Unknown}}, {{Unknown}}
LibreCMC, {{Unknown}}, {{Unknown}}, {{Unknown}}, {{Unknown}}, {{Unknown}}
Mandriva, {{Unknown}}, {{Yes|AppArmor}}, {{Unknown}}, {{Unknown}}, {{Yes}}
Musix GNU+Linux, {{Unknown}}, {{Unknown}}, {{Unknown}}, {{Unknown}}, {{Unknown}}
Parabola GNU/Linux-libre, {{Unknown}}, {{optional|Optional[213]}}, {{Unknown}}, {{optional|Optional[213]}}, {{Unknown}}
Slackware, {{Unknown}}, {{Yes|AppArmor  tomoyo}}, {{Unknown}}, {{Unknown}}, {{optional}}
SUSE Linux, {{Yes}}, {{Yes|AppArmor}}[214], {{Yes|Hardware NX and other methods in mainline kernel and toolchain}}[215], {{No}}, {{No}}
Solus, {{Yes}}, {{Yes|AppArmor}}, {{Unknown}}, {{No}}, {{Unknown}}
Tor-ramdisk, {{Unknown}}, {{Unknown}}, {{Yes|PaX}}, {{Yes}}, {{No}}
Trisquel, {{Unknown}}, {{Yes|SELinux  AppArmor}}{{Efn|Based on Ubuntu}}, {{Unknown}}, {{Unknown}}, {{Unknown}}
Ututo, {{Unknown}}, {{Unknown}}, {{Unknown}}, {{Unknown}}, {{Unknown}}
