Resort name and website, Nearest city, State/province, Peak elevation (ft), Base elevation (ft), Vertical drop (ft), Skiable acreage, Total trails, Total lifts, Avg annual snowfall (in), Adult weekend lift ticket window price (USD), Date statistics updated
Ski Bromont, Bromont, Quebec, 1 854, 590, 1 264, 450, 141, 9, 190, $54, December 1  2019[1]
Apex Mountain Resort, Penticton, British Columbia, 7 197, 5 197, 2 000, 1 112, 79, 4, 236, $65, November 30  2019[2]
Canyon Ski Area, Red Deer, Alberta, 2 950, 2 412, 538, 80, 23, 6, 45, $35, November 30  2019[3]
Fernie Alpine Resort, Fernie, British Columbia, 7 000, 3 450, 3 550, 2 500, 142, 10, 360, $90, November 30  2019[4]
Marble Mountain Ski Resort, Steady Brook, Newfoundland and Labrador, 1 791, 1 759, 32, 230, 40, 5, 192, $34, December 1  2019[5]
White Hills Ski Resort, Clarenville, Newfoundland and Labrador, 1 227, 482, 745, 55, 27, 2, 100, $38, December 1  2019[6]
Ski Wentworth, Wentworth, Nova Scotia, 990, 715, 815, 150, 20, 3, 150, $35, December 1  2019[7]
Mount Sima, Whitehorse, Yukon, 3 900, 2 857, 1 043, 92, 15, 3, , $37, November 30  2019[8]
Shames Mountain, Terrace, British Columbia, 3 900, 2 300, 1 600, 225, 28, 3, 480, $43, November 30  2019[9]
Castle Mountain Resort [1], Pincher Creek, Alberta, 7 463, 4 630, 2 833, 3 592, 94, 6, 354, $71.75, November 15  2019[10]
Bolton Valley [2], Waterbury, Vermont, 3 150, 2 100, 1 704, 300, 71, 6, 312, $69, October 17  2019[11]
Cooper [3], Leadville, Colorado, 11 700, 10 500, 1 200, 400, 41, 4, 260, $62, September 19  2019[12]
Grand Targhee Resort [4], Alta, Wyoming, 10 121, 7 851, 2 270, 2 602, 99, 5, 500, $98, September 19  2019[13]
Stratton Mountain Resort [5], Winhall, Vermont, 3 875, 1 872, 2 003, 670, 99, 11, 171, $125, September 9  2019[14]
Mt. Rose Ski Tahoe, Reno, Nevada, 9 700, 8 260, 1 800, 1 200, 60, 8, 396, $135, November 7  2019[15]
Soldier Mountain, Fairfield, Idaho, 7 177, 5 756, 1 400, 1 180, 36, 2, , $45, November 7  2019[16]
Pomerelle Mountain Resort, Albion, Idaho, 9 000, 8 000, 1 000, 500, 24, 2, 500, $45, November 7  2019[17]
Schweitzer, Sandpoint, Idaho, 6 400, 4 000, 2 400, 2 900, 92, 7, 300, $86, November 7  2019[18]
Brundage Mountain, McCall, Idaho, 7 803, 5 882, 1 921, 1 920, 46, 5, 320, $73, November 7  2019[19]
Bogus Basin, Boise, Idaho, 7 582, 5 800, 1 800, 2 600, 78, 7, 200, $64, November 7  2019[20]
Sun Valley, Sun Valley, Idaho, 9 150, 5 750, 3 400, 2 154, 121, 18, 220[21], $133, November 7  2019[22]
Panorama Mountain Resort, Invermere, British Columbia, 7 792, 3 773, 4 019, 2 847, 120, 10, 196, $92, October  2016[23][24]
Whitefish Mountain Resort, Kalispell, Montana, 6 817, 4 464, 2 353, 3 000, 105, 14, 300, $83, November 7  2019[25][26]
Arizona Snowbowl, Flagstaff, Arizona, 11 500, 9 200, 2 300, 777, 40, 7, 260, $99, November 7  2019[27][28]
Telluride Ski Resort, Telluride, Colorado, 13 150, 8 725, 4 425, 2 000, 147, 18, 309, $149, December 11  2019
Arapahoe Basin, Keystone, Colorado, 13 050, 10 520, 2 530, 1 428, 147, 9, 350, $109, November 5  2019[29]
Pajarito Mountain Ski Area [6], Los Alamos, New Mexico, 10 440, 9 000, 1 440, 750, 44, 5, 163, $59, December 11  2019[30]
Taos Ski Valley [7], Taos, New Mexico, 12 481, 9 200, 3 281, 1 294, 110, 14, 300, $110, September 9  2019[31]
Ski Santa Fe [8], Santa Fe, New Mexico, 12 075, 10 350, 1 725, 660, 83, 7, 225, $84, September 9  2019[32]
Big Sky Resort, Bozeman, Montana, 11 166, 6 800, 4 350, 5 800, 317, 36, 400, $170, December 11  2019[33]
Beartooth Basin Summer Ski Area, Red Lodge, Montana, 10 900, 9 900, 1 000, 600, 9, 2, , $45, November 7  2019[34]
Jackson Hole Mountain Resort, Teton Village, Wyoming, 10 450, 6 311, 4 139, 2 500, 133, 15, 459, $140, November 7  2019[35]
Loveland Ski Area, Georgetown, Colorado, 13 010, 10 800, 2 210, 1 800, 94, 11, 422, $89, November 7  2019[36]
Revelstoke Mountain Resort, Revelstoke, British Columbia, 7 300, 1 680, 5 620, 3 121, 75, 5, 413, $119, March 16  2019[37]
Mount Ashland Ski Area, Ashland, Oregon, 7 533, 6 383, 1 150, 220, 23, 5, 265, $52, September 29  2019[38]
Keystone Resort, Keystone, Colorado, 12 408, 9 280, 3 128, 3 148, 131, 20, 235, $169, December 11  2019[39]
Breckenridge Ski Resort, Breckenridge, Colorado, 12 998, 9 600, 3 398, 2 908, 187, 34, 353, $189, December 11  2019[40]
Squaw Valley-Alpine Meadows, Truckee, California, 9 050, 6 200, 2 850, 6 400, 277, 43, 450, $169, December 11  2019[41]
Mammoth Mountain, Mammoth Lakes, California, 11 053, 7 953, 3 100, 3 500, 150, 28, 420, $179, December 11  2019[42]
Heavenly Mountain Resort [9], South Lake Tahoe, California, 10 067, 7 200, 3 500, 4 800, 94, 30, 360, $164, December 11  2019[43]
Mount Shasta Ski Park, Mount Shasta, California, 9 200, 7 800, 1 435, 425, 32, 4, 275, $69, December 11  2019[44]
Boreal, Soda Springs, California, 7 700, 7 200, 500, 380, 41, 8, 400, $74, December 11  2019[45]
Donner Ski Ranch, Norden, California, 7 781, 7 031, 750, 435, 52, 8, 400, $79, December 11  2019[46]
Homewood, Homewood, California, 7 881, 6 223, 1 658, 1 260, 60, 7, 400, $139, December 11  2019[47]
Kirkwood, Kirkwood, California, 9 800, 7 800, 2 000, 2 300, 86, 15, 500, $119, October 29  2019
Northstar California, Truckee, California, 8 610, 6 330, 2 280, 2 904, 93, 19, 350, $169, December 11  2019[48]
Sierra-at-Tahoe, Twin Bridges, California, 8 852, 6 640, 2 212, 2 000, 46, 12, 480, $110, December 11  2019[49]
Sugar Bowl, Norden, California, 8 383, 6 883, 1 500, 1 500, 94, 13, 500, $121, December 11  2019[50]
Soda Springs, Soda Springs, California, 7 325, 6 673, 652, 200, 15, 2, 400, $50, December 11  2019[51]
Tahoe Donner, Truckee, California, 7 350, 6 750, 600, 120, 10, 3, 400, $94, December 11  2019[52]
Badger Pass, Yosemite National Park, California, 8 000, 7 200, 800, 90, 10, 5, 300, $59, December 11  2019[53]
Bear Valley, Angels Camp, California, 8 500, 6 600, 1 900, 1 280, 67, 10, 359, $105, December 11  2019[54]
Dodge Ridge, Sonora, California, 8 200, 6 600, 1 600, 832, 62, 12, 300, $79, December 11  2019[55]
June Mountain, June Lake, California, 10 090, 7 545, 2 590, 500, 35, 7, 250, $119, December 11  2019[56]
China Peak, Lakeshore, California, 8 709, 7 030, 1 673, 1 200, 45, 11, 300, $99, December 11  2019[57]
Alta Sierra, Wofford Heights, California, 7 091, 6 491, 600, , 6, 2, 80[58], $65, December 11  2019[59]
Buckhorn Ski and Snowboard Club, Three Points, California, 7 903, 7 203, 680, 40, 5, 2, 180, Private Club, April 20  2012
Bear Mountain, Big Bear Lake, California, 8 805, 7 104, 1 665, 198, 24, 12, 100, $115, December 11  2019[60]
Mount Baldy Ski Lifts, Mount Baldy, California, 8 600, 6 500, 2 100, 800, 26, 4, 170, $99, December 11  2019[61]
Mount Waterman, Three Points, California, 8 030, 7 000, 1 030, 150, 27, 3, 180, $60, December 11  2019[62]
Mountain High, Wrightwood, California, 8 200, 6 600, 1 600, 290, 59, 13, 132[63], $79, December 11  2019[64]
Snow Summit, Big Bear Lake, California, 8 174, 6 965, 1 209, 240, 30, 14, 100, $115, December 11  2019[60]
Snow Valley Mountain Resort, Running Springs, California, 7 841, 6 800, 1 041, 240, 29, 12, 150, $72, December 11  2019[65]
Wolf Creek Ski Area, Pagosa Springs, Colorado, 11 904, 10 300, 1 604, 1 600, 77, 7, 465, $76, December 11  2019[66]
Kicking Horse Resort, Golden, British Columbia, 8 218, 3 900, 4 314, 3 486, 120, 3, 295, $73, March 16  2019[67]
Eldora Mountain Resort [10], Nederland, Colorado, 10 800, 9 200, 1 600, 680, 53, 12, 300, $129, December 11  2019[68]
Alyeska Resort [11], Girdwood, Alaska, 3 939, 250, 2 500, 1 400, 73, 9, 643, $89, November 7  2019
