Meaning, Spanish, Portuguese, Notes
newspaper  journal, periódico < Lat. {{sm|period?cus < gr. ??????????}} [16], jornal < Fra. {{sm|journal}}, 
journalist, periodista < Lat. {{sm|period?cus < gr. ??????????}} [17], jornalista < Fra. {{sm|journaliste}}, 
journey, recorrido < Lat. {{sm|recurr?re}} [18], jornada < Provençal. {{sm|jornada < jorn}}[19], 
shop window, escaparate < Ned. {{sm|schaprade}}[20], montra < Fra. {{sm|montre}}, The French-derived term vitrina (in both Spa/Por) or vitrine (in Por) is also used.
boutique  clothes store, tienda< Lat. {{sm|tenda}}[21], boutique  butique < Fra. {{sm|boutique}}[22], 
scarf, bufanda < Uncertain  maybe O.Fra. {{sm|bouffant}}[23], cachecol  écharpe {{sm|cache-col  écharpe}}[24], 
lampshade  bedside lamp, lámpara < Lat. < Gre. {{sm|lamp?da < ??????}}[25], abajur < Fra. {{sm|abat-jour}}[26], 
New Year's Eve, Nochevieja < Lat. {{sm|noctis + veclus < vet?lus}}[27], Reveillon < Fra. {{sm|Reveillon}}, 
frisson, escalofrío < Lat. + prefix {{sm|ex + cale+ frige}}[28], frisson < Fra. {{sm|frisson}}[29], 
gaffe  blunder, metedura de pata < Lat. + Ar. {{sm| < mitt?re + batt}}[30], gafe < Fra. {{sm|gaffe}} [31], 
brioche, 5oMzmRS  [32], brioche < Fra. {{sm|brioche}} [33], 
croissant, medialuna < Lat. {{sm| < media + luna}}[34], croissant  croassã < Fra. {{sm|croissant}} [35], 
courgette  zucchini, calabacín < Pre-roman {{sm|calabaza}}[36], courgette  curgete < Fra. {{sm|courgette}} [37], 
blueberry, arándano < Celt + Lat. {{sm|aran + rodamd?rum}}[38], mirtilo < Fra. {{sm|myrtille}} [39], In Por. arando < Celt {{sm|aran}} means cranberry
billy club  truncheon, porra < Lat. {{sm|porrum}}[40], cassetete  casse-tête < Fra. {{sm|casse-tête}} [41], 
creche, JjJWqPL, creche < Fra. {{sm|crèche}}[42], 
voyeur, mirón < Lat. {{sm|mir?ri}} [43], voyeur < Fra. {{sm|voyeur}}, 
omelette, tortilla < uncertain + suffix {{sm|torta + illa }}, omelete < Fra. {{sm|omelette}}[44], 
swing, columpio < Leon. < Gr. {{sm|columbiar < ???????? kolymbân }} [45], balancé < Fra. {{sm|balancé}}[46], 
lipstick, pintalabios < Lat. {{sm|pinct?re + labium}} [47], batom < Fra. {{sm|bâton}}[48], 
cap, gorra < uncertain {{sm|gorra}} [49], boné < Fra. {{sm|bonnet}}[50], 
hat, sombrero < Lat {{sm|subumbr?re}}[51], chapéu < O.Fra. {{sm|chapel}}[52], 
(train) station, estación (ferrocarril) < Lat. {{sm|stati?nis}}[53], gare < Fra. {{sm|gare}} [54], The term gare in Port. is also used for bus-station.
quay  jetty  key, PzvbXVy, cais < Fra. {{sm|quai}} [55], The term cais in Port. is also used for railway platforms.
vehicle, vehículo < Lat. {{sm|vehiculum}}[56], viatura < Fr. {{sm|voiture}} [57], 
package  packaging, envase < Lat. {{sm|in + vasum}}[58], embalagem < Fr. {{sm|emballage}} [59], 
rissole, empanadilla rellena < Lat. + prefix {{sm|en + panis + re + plenus}}, rissol  rissole < Fra. {{sm|rissole}}[60], 
souvenir, recuerdo < Lat. {{sm|record?ri}}[61], souvenir  suvenir < Fr. {{sm|souvenir}} [62], 
strike, huelga < Lat. {{sm|follic?re}}[63], greve < Fr. {{sm|grève}} [64], 
