Meaning, Spanish, Portuguese
mayor, alcalde < Hisp. Ar. < Arabic {{sm|alqá?i < q??i}} [69], presidente da câmara (municipal) / prefeito < Lat. {{sm|praesidens + camara / praef?ctus}}, 
bricklayer  stonemason, albañil < Hisp. Ar. < Arabic {{sm|albanní < bann?}}[70], pedreiro < Lat. {{sm|petra}}, 
potter, alfarero < Hisp. Ar. < Arabic {{sm|alfa? ??r < fa? ??r}}[71], oleiro < Lat. {{sm|ollarius}}, 
vest, chaleco < Alg. Ar. < Turk {{sm|xileco < yelek}}[72], colete < Ita. {{sm|coletto}}, 
basil, albahaca < Hisp. Ar. < Arabic {{sm|al?abáqa < ?abaqah}}[73], basílico  manjericão < Lat.  uncertain origin {{sm|basilicum  uncertain}}, 
bean, alubia < Hisp. Ar. < Arabic {{sm|alubía < al-lubiya ???????}}[74], feijão < Lat. {{sm| faseolus}} [75], 
celery, chirivía < Hisp. Ar. {{sm|alcaravea < alkarawíyya }}[76][77], aipo < Lat. {{sm|apium}}, 
watermelon, sandía < Hisp. Ar. < Arabic {{sm|sindiyya ?????}}[74], melancia < Lat. {{sm|bilancia < bilanx}}, 
pistachio, alfóncigo < Hisp. Ar. < Arabic {{sm|fustuq}}[78], pistácio  pistacho < Lat < Gre {{sm|pistacium < pistákia}}[79], 
thrush, zorzal < Hisp. Ar. < Arabic {{sm|zurzál < zurzir}}[80], tordo < Lat. {{sm|turdus}}, 
hobby (bird), alcotán < Hisp. Ar. < Arabic {{sm|qu?án < qa??m}}[81], ógea < uncertain origin {{sm|*maybe O.Fra. hobe[82]}}, 
mackerel, jurel < Hisp. Ar < Lat {{sm|šuríl < saurus}}[83], cavala < Gaulish < Celt . {{sm|caballos}} [84], 
scorpion, alacrán  escorpión < His. Ar. < Arabic  Lat. {{sm|al‘aqráb < aqrab  scorp?o }}[85], escorpião < Lat. {{sm|scorp?o}}, 
mercury, azogue < His. Ar. < Arabic {{sm|azzáwq < z?w?q}}[86], mercúrio < Lat. {{sm|Mercurius}}, 
breast cancer, zaratán  cáncer de mama < Arabic  Lat. {{sm|saratan  cancer mamma }}[74], cancro/câncer da mama < Lat. {{sm|cancer mamma}}, 
robe (bath), albornoz < Hisp. Ar. < Arabic {{sm|burnús < burn?s}} [87], roupão  robe < Gothic  Fra. {{sm|rauba  robe }}[88], 
hostess  stewardess, azafata < Hisp. Ar < Arabic. {{sm|assafá? < safá?}}[89], hospedeira (de bordo) < Lat. {{sm|hospitis}} [90], 
sewage (system)  gutter, 1cDZnjj, esgoto  goteira < Lat. {{sm|guttae}} [91], 
jerk, mamarracho < Hisp. Ar < Arabic {{sm|muharrá? < muharri?}}[92], parvo < Lat . {{sm|parvulus}} [93], 
drunk  drunkard, borracho < Cat < Arabic {{sm|marratxa < mirrassa}}[94], bêbado < Lat . {{sm|bibitum}}, 
to crimp  to compress  to link (verb), engarzar < Hisp. Ar. < Arabic {{sm|?árza< ?arzah}}[95], engrenar  endentar  comprimir < Lat. {{sm|granum  dens  comprimere}}, 
to duck out  to skive off (verb), escaquearse < Hisp. Ar. < Arabic {{sm|iššáh < š?h}}[96], escapar < Lat. < Proto-Italic {{sm|excapp? <   kaput}}, 
to save(financial) (verb), ahorrar < Arabic. {{sm|alhurr ????}}[97], poupar < Lat. {{sm|palp? < palp?re}}, 
corner  edge, rincón < Hisp. Ar. < Arabic {{sm|rukán < rukn}}[98], canto < Celtic {{sm|kant}}[99], 
flowerbed  small garden  vegetable patch, arriate < Hisp. Ar. < Arabic {{sm|arriyá? <riy?? }}[100], canteiro < Celtic {{sm|kant}}[99], 
Majorcan, mallorquí < Lat. maiorica + Arabic gentilic suffix {{sm|-iyy}}, Maiorquino < Lat {{sm|maiorica + -inus}}, 
Iraqi, iraquí  irakí < Arabic demonym {{sm|iraqiyy ?????}}[101], Iraquiano < Lat. + suffix {{sm|Iraqi + -anus}}, 
