Implementation, Secure Renegotiation [166], Server Name Indication [167], ALPN [168], Certificate Status Request [167], OpenPGP [169], Supplemental Data [170], Session Ticket [171], Keying Material Exporter [172], Maximum Fragment Length [167], Truncated HMAC [167], Encrypt-then-MAC [173], TLS Fallback SCSV [174], Extended Master Secret [175], ClientHello Padding [176], Raw Public Keys [177]
Botan, {{yes}}, {{yes}}, {{yes}}[178], {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{okay|No}}, {{yes}}, {{yes}}[179], {{yes}}[180], {{no}}, {{unknown}}
cryptlib, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}[181], {{okay|No}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{unknown}}
GnuTLS, {{yes}}, {{yes}}, {{yes}}[182], {{yes}}, {{no}}[183], {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{okay|No}}, {{yes}}[19], {{yes}}[184], {{yes}}[19], {{yes}}[185], {{yes}}[186]
JSSE, {{yes}}, {{Yes}}[48], {{Yes}}[48], {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{okay|No}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}
LibreSSL, {{yes}}, {{yes}}, {{yes}}[187], {{yes}}, {{no}}, {{no}}?, {{yes}}, {{yes}}?, {{no}}, {{okay|No}}, {{no}}, {{partial|Server side only}}[188], {{no}}, {{yes}}, {{unknown}}
MatrixSSL, {{yes}}, {{yes}}, {{yes}}[189], {{yes}}[118], {{no}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{okay|Yes}}, {{no}}, {{yes}}[118], {{yes}}[118], {{no}}, {{unknown}}
mbed TLS, {{yes}}, {{yes}}, {{yes}}[190], {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{okay|Disabled by default}}[27], {{yes}}[191], {{yes}}[191], {{yes}}[191], {{no}}, {{no}}
NSS, {{yes}}, {{yes}}, {{yes}}[192], {{yes}}, {{no}}[193], {{no}}, {{yes}}, {{yes}}, {{no}}, {{okay|No}}, {{no}}[194], {{yes}}[195], {{yes}}[196], {{yes}}[192], {{unknown}}
OpenSSL, {{yes}}, {{yes}}, {{yes}}[35], {{yes}}, {{no}}, {{no}}?, {{yes}}, {{yes}}, {{yes}}, {{okay|No}}, {{yes}}, {{yes}}[197], {{yes}}[198], {{yes}}[199], {{unknown}}
RSA BSAFE Micro-Edition Suite, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{okay|Yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
RSA BSAFE SSL-J, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{okay|Yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
SChannel XP/2003, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{okay|No}}, {{no}}, {{no}}, {{no}}, {{no}}, {{unknown}}
SChannel Vista/2008, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{okay|No}}, {{no}}, {{no}}, {{yes}}[200], {{no}}, {{unknown}}
SChannel 7/2008R2, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{okay|No}}, {{no}}, {{no}}, {{yes}}[200], {{no}}, {{unknown}}
SChannel 8/2012, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{partial|Client side only}}[201], {{no}}, {{no}}, {{okay|No}}, {{no}}, {{no}}, {{yes}}[200], {{no}}, {{unknown}}
SChannel 8.1/2012R2  10, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}[201], {{no}}, {{no}}, {{okay|No}}, {{no}}, {{no}}, {{yes}}[200], {{no}}, {{unknown}}
Secure Transport, {{yes}}, {{yes}}, {{unknown}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{okay|No}}, {{no}}, {{no}}, {{no}}, {{no}}, {{unknown}}
wolfSSL, {{yes}}, {{yes}}, {{yes}}[143], {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{okay|Yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{unknown}}
Erlang/OTP SSL application, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{okay|No}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{unknown}}
Implementation, Secure Renegotiation, Server Name Indication, ALPN, Certificate Status Request, OpenPGP, Supplemental Data, Session Ticket, Keying Material Exporter, Maximum Fragment Length, Truncated HMAC, Encrypt-then-MAC, TLS Fallback SCSV, Extended Master Secret, ClientHello Padding
