Implementation, PKCS #11 device, Intel AES-NI, VIA PadLock, ARMv8-A, Intel SGX, Intel QAT, Intel SHA
Botan, {{yes}}[202], {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, 
cryptlib, {{yes}}, {{yes}}, {{yes}}, {{no}}, , {{no}}, 
Crypto++, , {{yes}}, , , , {{no}}, {{yes}}
GnuTLS, {{yes}}, {{yes}}, {{yes}}, {{yes}}[203], {{no}}, {{no}}, 
JSSE, {{yes}}, {{yes}}[204], {{no}}, {{no}}, , {{no}}, 
LibreSSL, {{no}}, {{yes}}, {{yes}}, {{no}}, , {{no}}, 
MatrixSSL, {{yes}}, {{yes}}, {{no}}, {{yes}}, , {{no}}, 
mbed TLS, {{yes}}, {{yes}}[205], {{yes}}, {{no}}, , {{no}}, 
NSS, {{yes}}[206], {{yes}}[207], {{no}}[208], {{no}}, , {{no}}, 
OpenSSL, {{yes}}[209], {{yes}}, {{yes}}, {{yes}}[210], , {{no}}, {{yes}}
RSA BSAFE Micro Edition Suite, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{yes}}
RSA BSAFE SSL-J {{refn|group=lower-alpha|Pure Java implementations relies on JVM processor optimization capabilities  such as OpenJDK support for AES-NI[211]}}{{refn|group=lower-alpha|RSA BSAFE SSL-J can be configured to run in native mode  using BSAFE Crypto-C Micro Edition to benefit from processor optimization.[212]}}, {{okay|Yes}}, {{okay|Yes}}, {{no}}, {{okay|Yes}}, {{no}}, {{no}}, {{okay|Yes}}
SChannel, {{no}}, {{yes}}, {{no}}, {{no}}, , {{no}}, 
Secure Transport, {{no}}, {{Yes}}[213][214], {{no}}, {{Yes}}, , {{no}}, 
wolfSSL, {{no}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}[215], 
Implementation, PKCS #11 device, Intel AES-NI, VIA PadLock, ARMv8-A, Intel SGX, Intel QAT, Intel SHA
