Implementation, SSL 2.0 (insecure)[12], SSL 3.0 (insecure)[13], TLS 1.0[14], TLS 1.1[15], TLS 1.2[16], TLS 1.3, DTLS 1.0[17], DTLS 1.2[10]
Botan, {{yes|No}}, {{yes|No}}[18], {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}
BoringSSL, , , {{yes}}, {{yes}}, {{yes}}, {{Partial|Yes}} (draft version), {{yes}}, {{yes}}
Bouncy Castle, {{Yes|No}}, {{Yes|No}}, {{yes}}, {{yes}}, {{yes}}, {{Partial|Yes}} (draft version), {{yes}}, {{yes}}
cryptlib, {{yes|No}}, {{yes|Disabled by default at compile time}}, {{yes}}, {{yes}}, {{yes}}, , {{no}}, {{no}}
GnuTLS, {{yes|No}}{{cref2|group=protocolsupport|a}}, {{yes|Disabled by default}}[19], {{yes}}, {{yes}}, {{yes}}, {{yes|Yes}}[20], {{yes}}, {{yes}}
JSSE, {{yes|No}}{{cref2|group=protocolsupport|a}}, {{Yes|Disabled by default}}[21], {{yes}}, {{yes}}, {{yes}}, {{yes|Yes (JDK 11+)}}[22], {{yes}}, {{yes}}
LibreSSL, {{yes|No}}[23], {{yes|No}}[24], {{yes}}, {{yes}}, {{yes}}, {{okay | Not yet}}[25], {{yes}}, {{no}}
MatrixSSL, {{yes|No}}, {{yes|Disabled by default at compile time}}[26], {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
mbed TLS, {{yes|No}}, {{yes|Disabled by default}}[27], {{yes}}, {{yes}}, {{yes}}, , {{yes}}[27], {{yes}}[27]
NSS, {{yes|No}}{{cref2|group=protocolsupport|b}}, {{yes|Disabled by default}}[28], {{yes}}, {{yes}}[29], {{yes}}[30], {{yes}}[31], {{yes}}[29], {{yes}}[32]
OpenSSL, {{Yes|No}}[33], {{yes|Disabled by default}}, {{yes}}, {{yes}}[34], {{yes}}[34], {{yes}}, {{yes}}, {{yes}}[35]
RSA BSAFE[36], {{yes|No}}, {{yes|Disabled by default}}, {{yes}}, {{yes}}, {{yes}}, {{okay | Not yet}}, {{no}}, {{no}}
S2n[37], {{yes|No}}, {{yes|Disabled by default}}, {{yes}}, {{yes}}, {{yes}}, , {{no}}, {{no}}
SChannel XP  2003[38], {{partial|Disabled by default in MSIE 7}}, {{No|Enabled by default}}, {{partial|Enabled by default in MSIE 7}}, {{no}}, {{no}}, , {{no}}, {{no}}
SChannel Vista[39], {{yes|Disabled by default}}, {{No|Enabled by default}}, {{yes}}, {{no}}, {{no}}, , {{no}}, {{no}}
SChannel 2008[39], {{yes|Disabled by default}}, {{No|Enabled by default}}, {{yes}}, {{Partial|Disabled by default (KB4019276)}}, {{Partial|Disabled by default (KB4019276)}}, , {{no}}, {{no}}
SChannel 7  2008R2[40], {{Yes|Disabled by default}}, {{partial|Disabled by default in MSIE 11}}, {{yes}}, {{partial|Enabled by default in MSIE 11}}, {{partial|Enabled by default in MSIE 11}}, , {{yes}}[41], {{no}}[41]
SChannel 8  2012[40], {{Yes|Disabled by default}}, {{No|Enabled by default}}, {{yes}}, {{partial|Disabled by default}}, {{partial|Disabled by default}}, , {{yes}}, {{no}}
SChannel 8.1  2012R2  10 v1507 & v1511[40], {{Yes|Disabled by default}}, {{partial|Disabled by default in MSIE 11}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{no}}
SChannel 10 v1607 / 2016[42], {{Yes|No}}, {{Yes|Disabled by default}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}
Secure Transport OS X 10.2-10.7  iOS 1-4, {{No|Yes}}, {{No|Yes}}, {{yes}}, {{no}}, {{no}}, , {{no}}, {{no}}
Secure Transport OS X 10.8-10.10  iOS 5-8, {{Yes|No}}{{cref2|group=protocolsupport|c}}, {{No|Yes}}, {{yes}}, {{yes}}{{cref2|group=protocolsupport|c}}, {{yes}}{{cref2|group=protocolsupport|c}}, , {{yes}}{{cref2|group=protocolsupport|c}}, {{no}}
Secure Transport OS X 10.11  iOS 9, {{Yes|No}}, {{Yes|No}}{{cref2|group=protocolsupport|c}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{Unknown}}
Secure Transport OS X 10.13  iOS 11, {{Yes|No}}, {{Yes|No}}{{cref2|group=protocolsupport|c}}, {{yes}}, {{yes}}, {{yes}}, {{Partial|Yes}} (draft version)[43], {{yes}}, {{Unknown}}
wolfSSL, {{yes|No}}, {{yes|Disabled by default}}[44], {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
Erlang/OTP SSL application, {{yes|No}}, {{yes|Disabled by default}}, {{yes}}, {{yes}}, {{yes}}, {{okay | Not yet}}, {{yes}}, {{yes}}
Implementation, SSL 2.0 (insecure)[12], SSL 3.0 (insecure)[13], TLS 1.0[14], TLS 1.1[15], TLS 1.2[16], TLS 1.3, DTLS 1.0[17], DTLS 1.2[10]
