Implementation, brainpoolP256r1 (26)[145], brainpoolP384r1 (27)[145], brainpoolP512r1 (28)[145], X25519 [146], Curve448 {{nowrap|Ed448-Goldilocks}} [147], M221 Curve2213 [148], E222 [148], Curve1174 [148], E382 [148], M383 [148], Curve383187 [148], Curve41417 Curve3617 [148], M511 Curve511187 [148], E521 [148]
Botan, {{yes}}[149], {{yes}}[149], {{yes}}[149], {{yes}}[113], {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
BoringSSL, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
GnuTLS, {{no}}, {{no}}, {{no}}, {{yes}}[150], {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
JSSE, {{no}}, {{no}}, {{no}}, {{yes|Yes (JDK 13+)}}[151], {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
LibreSSL, {{yes}}[23], {{yes}}[23], {{yes}}[23], {{yes}}[152], {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
MatrixSSL, {{yes}}, {{yes}}, {{yes}}, {{partial|TLS 1.3 only}}[153], {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
mbed TLS, {{yes}}[154], {{yes}}[154], {{yes}}[154], {{partial|Primitive only}}[155], {{partial|Primitive only}}[156], {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
NSS, {{no}}[157], {{no}}[157], {{no}}[157], {{yes}}[158], {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
OpenSSL, {{yes}}[35], {{yes}}[35], {{yes}}[35], {{yes}}[159][160], {{yes}}[161][162], {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
RSA BSAFE, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
SChannel Vista/2008  7/2008R2  8/2012  8.1/2012R2  10, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Secure Transport, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
wolfSSL, {{yes}}, {{yes}}, {{yes}}, {{yes}}[163], {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Erlang/OTP SSL application, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Implementation, brainpoolP256r1 (26), brainpoolP384r1 (27), brainpoolP512r1 (28), Curve25519, Curve448 {{nowrap|Ed448-Goldilocks}}, M221 Curve2213, E222, Curve1174, E382, M383, Curve383187, Curve41417 Curve3617, M511 Curve511187, E521 [148]
