, Editing style[1], Native operating systems, Latest stable version, Costs, License, Configurable, Integrated viewer, 
AUCTeX, Source, Linux  macOS  Windows, (2017-12-10) 12.1, {{free}}, {{free|GPL}}, {{yes}}, {{yes}}, AUCTeX
Authorea, Source / partial-WYSIWYG, Online, {{N/A}}, {{free}}, {{proprietary}}, {{yes}}, {{yes}}, Authorea
Auto-Latex Equations for Google Docs, Source[2], Online, (2016-01-06) 8.04, {{free}}, Unclear, {{yes}}, {{yes}}, Auto-Latex Equations for Google Docs
CoCalc, Source, Online, {{N/A}}, {{free}}, {{free|AGPL}}, {{yes}}, {{yes}}, CoCalc
GNOME LaTeX, Source, Linux, (2019-03-10) 3.32, {{free}}, {{free|GPL}}, {{yes}}, {{no}}, GNOME LaTeX
Gummi, Source, Linux, (2016-01-27) 0.6.6, {{free}}, {{free|MIT}}, {{yes}}, {{yes}} (Live update), Gummi
Kile, Source, Linux (macOS  Windows)[3], (2012-09-23) 2.1.3, {{free}}, {{free|GPL}}, {{yes}}, {{yes}} (Quick preview), Kile
LEd, Source, Windows, (2009-10-09) 0.53, {{free}}, {{proprietary}}, ?, {{yes}} (dvi), LEd
LyX, WYSIWYM, Linux  macOS  Windows, (2019-06-25) 2.3.3, {{free}}, {{free|GPL}}, {{yes}}, {{yes}}, LyX
MeWa, Source, Windows, (2007-06-06) 1.4.0, {{free}}, {{free|GPL}}, {{yes}}, {{no}}, MeWa
Notepad++, Source, Windows, (2019-10-29) 7.8.1, {{free}}, {{free|GPL}}, {{yes}}, {{no}}  but can be integrated [4], Notepad++
Overleaf, Source, Online, {{N/A}}, {{free}}, Unclear, {{yes}}, {{yes}}, Overleaf
Scientific WorkPlace, WYSIWYM, Windows, (2016-02-23) 6.0.12, {{nonfree}}, {{proprietary}}, {{yes}}, {{yes}}, Scientific WorkPlace
ShareLaTeX[5], Source, Online, {{N/A}}, {{free}}, {{free|AGPL}}, {{yes}}, {{yes}}, ShareLaTeX
TexLab, Source-WYSIWYG, Windows, (2019-04-30) 7.8, {{free}}, {{free}}, {{yes}}, {{yes}}, TexLab
TeXmacs, WYSIWYG, Linux  macOS  Windows, (2017-12-21) 1.99.6, {{free}}, {{free|GPL}}, {{yes}}, {{yes}}, TeXmacs
Texmaker, Source, Linux  macOS  Windows, (2018-11-01) 5.0.3, {{free}}, {{free|GPL2}}, {{yes}}, {{yes}}, Texmaker
TeXnicCenter, Source, Windows, {{Latest stable software release/TeXnicCenter}}, {{free}}, {{free|GPL}}, {{yes}}, {{no}}, TeXnicCenter
TeXShop, Source, macOS, (2019-10-23) 4.44, {{free}}, {{free|GPL}}, {{yes}}, {{yes}}, TeXShop
TeXstudio, Source, Linux  Windows  macOS, (2019-12-26) 2.12.18, {{free}}, {{free|GPL2}}, {{yes}}, {{yes}} (pdf  selection with dvi2png), TeXstudio
TeXworks, Source, Linux  macOS  Windows, (2019-03) 0.6.3, {{free}}, {{free|GPL}}, {{no}}, {{yes}} (pdf), TeXworks
Verbosus, Source, Online  Android  iOS, (2016-05-06) 4.1.3, {{free}}, {{proprietary}}, {{yes}}, {{yes}} (pdf), Verbosus
WinEdt, Source, Windows, (2017-04-13) 10.2, {{nonfree}}, {{proprietary}}, {{yes}}, {{no}}, WinEdt
WinShell, Source, Windows, (2013-02-10) 3.3.2.6, {{free}}, {{proprietary}}, {{yes}}, {{no}}, WinShell
, Editing Style, Native Operating Systems, Latest stable version, Costs, License, Configurable, Integrated viewer, 
