Calculator, CPU, RAM, Display Size, Graph Size, Physical Size (inches), Programming Languages, Link Ports, Year Released, Predecessors, Successors, Initial MSRP (nominal US$)[1], Use on College Board Standardized Tests[2], Use on ACT Standardized Tests[3]
TI-73  TI-73 Explorer, Zilog Z80 @ 6 MHz, 25 KB of RAM  512 KB of Flash ROM, 96×64 pixels 16×8 characters, 96x64 pixels, 7.3 × 3.5 × 1.0[4], TI-BASIC 83  Assembly (via Mallard)  Flash Apps, I/O Port, 1998/2003, TI-80, None, 95 (TI-73), Allowed, Allowed
TI-80, 980 kHz Proprietary, 7 KB of RAM, 64×48 pixels 16×8 characters, 64x48 pixels, 6.4 × 3.0 × 0.9[5], TI-BASIC 83, None, 1995, None, TI-73  TI-73 Explorer, Unknown, Allowed, Allowed
TI-81, Zilog Z80 @ 2 MHz, 2.4 KB of RAM, 96×64 pixels 16×8 characters, 96x64 pixels, 6.75 x 3.125 x 2.0, TI-BASIC 83  Machine code (using an exploit and only on ROM 1.8K), None, 1990, None, TI-82, 110, Allowed, Allowed
TI-82, Zilog Z80 @ 6 MHz, 28 KB of RAM, 96×64 pixels 16×8 characters, 96x64 pixels, 6.9 × 3.4 × 1.0[6], TI-BASIC 83  Assembly (using exploits), I/O Port, 1993, TI-81, TI-83, 125, Allowed, Allowed
TI-83, Zilog Z80 @ 6 MHz, 32 KB of RAM, 96×64 pixels 16×8 characters, 96x64 pixels, 7.3 × 3.5 × 1.0[7], TI-BASIC 83  Assembly (built-in), I/O Port, 1996, TI-82, TI-83 Plus, 125, Allowed, Allowed
TI-83 Plus, Zilog Z80 @ 6 MHz, 32 KB of RAM (24 KB user accessible)  512 KB of Flash ROM (160 KB user accessible), 96×64 pixels 16×8 characters, 96x64 pixels, 7.3 × 3.5 × 1.0[8], TI-BASIC 83  Assembly (built-in)  Flash Apps, I/O Port, 1999, TI-83, TI-83 Plus Silver Edition  TI-84 Plus, 104.99, Allowed, Allowed
TI-83 Plus Silver Edition, Zilog Z80 @ 6 MHz/15 MHz (Dual Speed), 128 KB of RAM (24 KB user accessible)  2 MB of Flash ROM (1.5 MB user accessible), 96×64 pixels 16×8 characters, 96x64 pixels, 7.3 × 3.5 × 1.0[9], TI-BASIC 83  Assembly (built-in)  Flash Apps, I/O Port, 2001, TI-83 Plus, TI-84 Plus Silver Edition, 129.95, Allowed, Allowed
TI-83 Premium CE  TI-83 Premium CE Edition Python, Zilog eZ80 @ 48 MHz, 256 KB of RAM (150 KB user accessible)  4 MB of Flash ROM (3 MB user accessible), 320×240 pixels 26×10 characters (large font), 264x164 pixels, 7.6 × 3.4 × 0.75, TI-BASIC  Assembly (built-in)  TI-Python (separate module needed on TI-83 Premium CE  built-in on TI-83 Premium CE Edition Python), Mini-USB Port, 2015/2019, TI-82 Plus (France), None, {{Euro|129}}, Allowed, Allowed
TI-84 Plus, Zilog Z80 @ 15 MHz, 128/48 KB of RAM (24 KB user accessible)  1 MB of Flash ROM (480 KB user accessible), 96×64 pixels 16×8 characters, 96x64 pixels, 7.5 × 3.3 × 0.9, TI-BASIC 83  Assembly (built-in)  Flash Apps, I/O Port  Mini-USB Port, 2004, TI-83 Plus, TI-84 Plus Silver Edition  TI-Nspire, 109.99, Allowed, Allowed
TI-84 Plus Silver Edition, Zilog Z80 @ 15 MHz, 128/48 KB of RAM (24 KB user accessible)  2 MB of Flash ROM (1.5 MB user accessible), 96×64 pixels 16×8 characters, 96x64 pixels, 7.5 × 3.3 × 0.9, TI-BASIC 83  Assembly (built-in)  Flash Apps, I/O Port  Mini-USB Port, 2004, TI-83 Plus Silver Edition  TI-84 Plus, TI-Nspire  TI-84 Plus C Silver Edition, 129.99, Allowed, Allowed
