Package, License, Windows, OS X, Linux, Market focus, Type, Structure
 24SevenOffice, Software as a Service, {{yes}}, {{yes}}, {{yes}}, Low to mid-market, ERP  CRM  email  collaboration  Project management  Integrated VoIP, Web-based
 Acumatica, Proprietary and Software as a service, {{yes}}, {{yes}}, {{yes}}, Mid-market, ERP  CRM  E-Mail  Project Management  Integration  Notification  Employee, Web-based
 AME Accounting Software, Proprietary, {{yes}}, {{no}}, {{no}}, Low to mid-market, Payroll  general ledger  accounts receivable  accounts payable  Double-entry bookkeeping system  Small Business Accounting, Stand-alone
 Aplos Software, Proprietary, {{yes}}, {{yes}}, {{yes}}, Low to mid-market nonprofit and faith-based organizations, Fund Accounting  general ledger  accounts receivable  accounts payable  Double-entry bookkeeping system  nonprofit organization accounting  online fundraising, Web-based
 Baan Corporation, Proprietary, {{yes}}, {{yes}}, {{yes}}, Mid to Low-market, ERP, Stand-alone and web-based
 CGram Enterprise, Proprietary, {{yes}}, {{yes}}, {{yes}}, Low to mid-market, Financials; ERP; CRM;Manufacturing; Multicompany; Multicurrency; Payroll; Inventory control; accounts receivable; accounts payable; general ledger, Stand-alone
 Cheqbook, Software as a Service, {{yes}}, {{yes}}, {{yes}}, Low to mid-market, Double-entry bookkeeping system  accounts receivable  accounts payable  Small Business Accounting  Reporting  Business Intelligence  general ledger  Bank Reconciliation  Automatic bank feeds  Journal entries  Check printing  Online payment processing, Web-based
 CODA, Proprietary, {{yes}}, {{no}}, {{yes}}, Mid-market, GL; AP; AR; Analytics; Integration; etc., Stand-alone/Web Access
 Comarch Altum, Proprietary, {{yes}}, {{no}}, {{no}}, Low to mid-market, ERP; GL; Bookkeeping  Multi-Currency  Multi-Language  Double-entry bookkeeping system  AP; AR; Analytics; Integration; CRM; BI; e-commerce; Workflow; Retail; POS, Stand-alone / Web access
 Express Accounts from NCH Software, Proprietary, {{yes}}, {{yes}}, {{no}}, Low to mid-market, Business Accounting and Invoicing, Stand-alone/Web access
 FinancialForce.com, Software as a Service, {{yes}}, {{yes}}, {{yes}}, Mid-market to enterprise, ERP  ordering & billing  accounts receivable  accounts payable  cash management  general ledger  reporting & dashboarding  multi-currency  multi-company  global tax  analytics, Web-based
 FlexAccount, Proprietary, {{yes}}, {{no}}, {{no}}, Mid- to high-end market, ERP  Manufacturing  Intercompany  Multicurrency  Budgeting  Reporting  Analysis, Stand-alone and Web-based
 FreeAgent, Software as a Service, {{yes}}, {{yes}}, {{yes}}, Freelancers and Microbusiness, Double-entry bookkeeping system  small business accounting  time tracking  project management  invoicing  expense management  bank feeds  payroll  stock  HMRC tax filing, Web-based
 FreshBooks, Software as a Service, {{yes}}, {{yes}}, {{yes}}, Small Businesses (Small Businesses), Cloud accounting specialist for small business owners., Web-based
 Gem Accounts, Software as a Service, {{yes}}, {{yes}}, {{yes}}, Low to mid-market, General ledger  chart of accounts  accounts receivable  accounts payable  double-entry bookkeeping system  small business accounting  mid-market enterprise accounting  multi-currency  multi-language  multi-user  business reporting  management reporting  inventory control  service/project tracking & billing  payroll  open data and backup exports., Web-based
 inDinero, Software as a Service, {{yes}}, {{yes}}, {{yes}}, Small businesses  Startup company, Small business accounting  invoices  bookkeeping  tax return preparation  invoices  bank integration  collaboration, Web-based
 invoiceit, Proprietary, {{yes}}, {{no}}, {{no}}, Low to mid-market, Small business accounting  single entry  accounts receivable  accounts payable  contact management system  inventory management  purchasing  quotations  invoices  scheduler  marketing, Stand-alone
 Microsoft Dynamics AX, Proprietary, {{yes}}, {{no}}, {{no}}, Midsize to high-end enterprises, ERP  CRM  intercompany  multicurrency  manufacturing  SCM  e-commerce  business intelligence, Multi-User/Location  Terminal Server
 Microsoft Dynamics C5, Proprietary, {{yes}}, {{no}}, {{no}}, Small Business, Multicurrency  Fixed Assets  Double-entry bookkeeping system  General Ledger  Accounts Receivable  Accounts Payable  Reporting & Analysis Services, Multi-User  Remote Access  Web Access  Mobile Access  Cloud Hostable
 Microsoft Dynamics GP, Proprietary, {{yes}}, {{no}}, {{no}}, Small & mid-size enterprises (SME), ERP  SCM  manufacturing  Cost Accounting  Double-entry bookkeeping system  project accounting  Payroll  general ledger  Analytic  accounts receivable  accounts payable, Multi-User/Location  Terminal Server  Remote Access  Web Access  Mobile Access  Cloud Hostable
 Microsoft Dynamics NAV, Proprietary, {{yes}}, {{no}}, {{no}}, Small & Midsize Enterprises (SME), ERP  CRM  Intercompany  Multicurrency  SCM  Manufacturing  Cost Accounting  Double-entry bookkeeping system  Project Accounting  Payroll  general ledger  Accounts Receivable  Accounts Payable  Reporting & Analysis Services, Multi-User/Location  Terminal Server  Remote Access  Web Access  Mobile Access  Cloud Hostable
 Microsoft Dynamics SL, Proprietary, {{yes}}, {{no}}, {{no}}, Small & midsize enterprises (SME), Project Management  Project Accounting  Reporting & Analysis Services, Multi-User/Location  Terminal Server  Web Access
 Microsoft Office Accounting, Proprietary and freeware, {{yes}}, {{no}}, {{no}}, Low-end market, Product is Discontinued, Stand-alone
 MYOB AccountRight, Proprietary, {{yes}}, {{yes}}, {{no}}, Low- to high-end market, Small business and commercial accounting. Payroll and POS, Stand-alone
 MYOB EXO Business, Proprietary, {{yes}}, {{no}}, {{no}}, Mid- to high-end market, Larger  more complex businesses. Fully customised ERP with Accounting/General ledger  CRM  Job & Project Costing  POS  Asset Management and Intercompany Reporting. Integrated Payroll & HR available through MYOB EXO Employer Services, Stand-alone  multi-user/location  terminal server  remote access
 NetSuite, Software as a Service, {{yes}}, {{yes}}, {{yes}}, Mid-market, CRM  ERP  E-commerce, Web-based
 NewViews, Proprietary, {{yes}}, {{no}}, {{no}}, Low to mid-market, Real-time  E-commerce  Integrated  Multi-user  Payroll (Canada  USA)  general ledger  AR  AP  Multi-Currency  Small Business Accounting  Inventory Control  Order Entry  Job Costing  Non-profit Housing Edition  Work Orders  Attachments (Scans), Stand-alone and/or Web Access  Cloud Hostable
 NolaPro, Software as a Service and freeware, {{yes}}, {{yes}}, {{yes}}, Low- to high-end market, 
 Open Systems Accounting Software, Proprietary, {{yes}}, {{yes}}, {{yes}}, Low to mid-market, ERP  SCM  E-commerce  Reporting & Business Intelligence, Stand-alone
 Oracle E-Business Suite, Proprietary, {{yes}}, {{yes}}, {{yes}}, High-end market, ERP, Web-based
 Oracle Fusion Cloud ERP, Proprietary, {{yes}}, {{yes}}, {{yes}}, High-end market, ERP  Financial Management  Supply Chain Management  Human Capital Management  Enterprise Performance Management, Web-based
 Oracle PeopleSoft Enterprise, Proprietary, {{yes}}, {{yes}}, {{yes}}, High-end market, ERP  Financial Management  Supply Chain Management  Human Capital Management  Customer Relationship Management  Enterprise Performance Management, Web-based
 Postbooks, Proprietary, {{yes}}, {{yes}}, {{yes}}, Low to mid-market, Professional Services, Client-server
 Outright, Software as a service and freeware, {{yes}}, {{yes}}, {{yes}}, Entrepreneurs  freelancers  Contractors  Consultants  Small businesses - Low-end market, Bookkeeping  Taxes  E-commerce  Reporting & Business Intelligence, Web-based
 Passport Software, Proprietary, {{yes}}, {{no}}, {{yes}}, Mid- to low-end market, General ledger  accounts receivable  Accounts payable  ERP, Stand-alone
 POS solutions, Proprietary, {{yes}}, {{no}}, {{no}}, Newsagency pharmacy, POS, Stand-alone
 QuickBooks Enterprise Solutions, Proprietary, {{yes}}, {{yes}}, {{no}}, Mid-market, Business management  Payroll, Stand-alone
 QuickBooks Online, Propriet
