Company, Software, On-demand scan, On-access scan, Boot-time scans, Heuristics, CloudAV, Firewall, IDS, IPS, Sandbox, Email Security, AntiSpam, Web protection, Macro protection, Live Update, Support, Settings Import/ Export, installer/ updater MIMA safe, License, Price, First release, Country of origin, Original author/s, Notes
 AhnLab, AhnLab V3 Internet Security, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, ?, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, ?, ?, {{Proprietary}}, {{Nonfree}}, 1988, South Korea, Dr. Ahn Cheol-Soo, 
 Avast, Avast Free Antivirus, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, ?, {{Proprietary}}, {{Free}}, 1988, Czech Republic, Pavel Baudiš and Eduard Ku?era, 
 Avast, Avast Premium Security, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, ?, {{Proprietary}}, {{some|Trialware}}, 1997, Czech Republic, Pavel Baudiš and Eduard Ku?era, 
 AVG Technologies (avast), AVG Antivirus FREE, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, ?, {{No}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, ?, {{Proprietary}}, {{Free}}, 1992, Czech Republic, Jan Gritzbach and Tomáš Hofer, 
 AVG Technologies (avast), AVG Antivirus, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{No}}, ?, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, ?, {{Proprietary}}, {{Nonfree}}, 2006, Czech Republic, Jan Gritzbach and Tomáš Hofer, 
 AVG Technologies (avast), AVG Internet Security, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, ?, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, ?, {{Proprietary}}, {{Nonfree}}, 2008, Czech Republic, Jan Gritzbach and Tomáš Hofer, 
 Avira, Avira Antivirus FREE (formerly AntiVir), {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{No}}, ?, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, ?, ?, {{Proprietary}}, {{Free}}, 1988, Germany, Tjark Auerbach, 
 Avira, Avira Internet Security, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{No}}, ?, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, ?, ?, {{Proprietary}}, {{Nonfree}}, 2002, Germany, Tjark Auerbach, 
 Bitdefender, Bitdefender Antivirus Free, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, ?, ?, {{Proprietary}}, {{Free}}, 2013, Romania, , 
 Bitdefender, Bitdefender Antivirus Plus, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{v}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, ?, ?, {{Proprietary}}, {{Nonfree}}, 1996, Romania, , 
 Bitdefender, Bitdefender Internet Security, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, ?, {{No}}[1], {{Proprietary}}, {{Nonfree}}, 2008, Romania, , 
 Check Point, ZoneAlarm PRO Antivirus + Firewall, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}, {{No}}, ?, {{No}}, {{No}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, ?, {{Proprietary}}, {{Nonfree}}, 2002, Israel, , Third-party antivirus engine (Kaspersky) [2]
 Check Point, ZoneAlarm Extreme Security, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, ?, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, ?, {{Proprietary}}, {{Nonfree}}, 2002, United States, , 
 Cisco (originally Immunet), Immunet, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{No}}, {{No}}, ?, {{Yes}}, {{No}}, {{No}}, {{No}}, {{Yes}}, {{Yes}}, ?, ?, {{Proprietary}}, {{Free}}, 2010, United States, , Third-party antivirus engine (ClamAV)
 ClamWin, ClamWin, {{Yes}}, {{Yes}} (with Winpooch or Clam Sentinel), {{Yes}} (with Clam Sentinel), {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, ?, {{Yes}}, {{No}}, {{No}}, {{No}}, {{Yes}}, {{No}}, ?, ?, {{GPL-lic}}, {{Free}}, 2002, Australia, , Third-party antivirus engine (ClamAV)
