Audio player, ReplayGain, Tag mass, Tag flexible[9], Time stretch, Pitch shift, A-B repeat, Bookmark, Auto resume, Shutdown on play complete, Archive ability
AIMP, {{yes}}, {{yes}}[10], {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}
Amarok, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}[11], {{yes}}, {{yes}}, {{no}}, {{no}}
Audacious, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}
Audion, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
cmus, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}
Cog, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
Clementine, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{dunno}}, {{no}}, {{no}}, {{no}}, {{no}}
Exaile, {{yes}}, {{yes}}, {{yes}}[12], {{no}}, {{no}}, {{yes}}{{efn|name=plugin}}, {{yes}}{{efn|name=plugin}}, {{yes}}, {{yes}}{{efn|name=plugin}}, {{no}}
foobar2000, {{yes}}, {{yes}}, {{yes}}, {{yes}}{{efn|name=plugin}}, {{yes}}{{efn|name=plugin}}, {{yes}}{{efn|name=plugin}}, {{partial}}{{efn|name=plugin}}, {{yes}}, {{partial}}{{efn|name=plugin}}, {{yes}}
iTunes, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}
JRiver Media Center, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}[13], {{yes}}, {{yes}}, {{yes}}, {{no}}
JuK, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
MediaMonkey, {{yes}}, {{yes}}, {{yes}}, {{partial}}{{efn|name=plugin}}, {{partial}}{{efn|name=plugin}}, {{partial}}{{efn|name=plugin}}, {{partial}}{{efn|name=plugin}}, {{yes}}, {{yes}}, {{dunno}}
MPXPLAY, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
MusicBee, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
Musicmatch Jukebox, {{dunno}}, {{partial}}[14], {{dunno}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
musikCube, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
Quod Libet, {{yes}}, {{yes}}, {{yes}}, {{partial}}[15], {{partial}}[15], {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}
Rhapsody, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
Rhythmbox, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}
Sonique, {{no}}, {{no}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{dunno}}
Spotify, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}
Winamp, {{yes}}, {{yes}}, {{dunno}}, {{no}}, {{yes}}, {{dunno}}, {{yes}}, {{dunno}}, {{no}}, {{dunno}}
XMMS, {{partial}}, {{yes}}, {{dunno}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}
XMPlay, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}
Zinf, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{no}}, {{dunno}}
Audio player, ReplayGain, Tag mass, Tag flexible, Time stretch, Pitch shift, A-B repeat, Bookmark, Auto resume, Shutdown on play complete, Archive ability
