Software, API, Sybase, Apache Derby, IBM, Firebird, Microsoft, MySQL, Oracle, PostgreSQL
 ODBC, JDBC, ASA, ASE, DB2, DB2 for iSeries, Cloudscape, Informix, SQL Server, Azure SQL
 AdroitLogic UltraESB, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, , {{yes}}, {{yes}}, {{yes}}
 Anypoint Platform, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
 Apache Synapse, {{yes}}, {{yes}}, , , {{yes}}, {{yes}}, {{yes}}, , , , {{yes}}, , {{yes}}, {{yes}}
 Artix ESB, , , , , , , , , , , , , 
 Automation Anywhere Integration Pack, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , , , , {{yes}}, , {{yes}}, , {{yes}}, {{yes}}
 BizTalk Server, {{yes}}[27], {{yes}}[28], {{yes}}[29], {{yes}}[29], {{yes}}[29], {{yes}}, {{yes}}, {{yes}}[29], {{yes}}[29], {{yes}}[30], {{yes}}, {{yes}}, {{yes}}[31], {{yes}}, {{yes}}[31]
 Flow Software, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
 IBM Integration Bus [23], {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}
 Informatica Power Center, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, , {{yes}}, , {{yes}}, , {{yes}}, {{yes}}
 JBoss Enterprise Service Bus (ESB), {{no}}, {{yes}}, , {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}
 JBoss Enterprise SOA Platform, {{no}}, {{yes}}, , {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}
 Openadaptor, , {{yes}}, , , , {{yes}}, , , {{yes}}, , {{yes}}, , {{yes}}, {{yes}}
 OpenESB, , {{yes}}, {{yes}}, , {{yes}}, {{yes}}, , {{yes}}, {{yes}}, , {{yes}}, , {{yes}}, {{yes}}
 OpenLink Virtuoso, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
 Oracle BPEL Process Manager, , , , , , , , , , , , , , 
 Oracle Enterprise Service Bus, , , , , , , , , , , , , , 
 PEtALS ESB, , , , , , , , , , , , , {{yes}}, 
 SAP Exchange Infrastructure, , {{yes}}, , , , {{yes}}, , , , , {{yes}}, , , {{yes}}
 Sun Java Composite Application Platform Suite, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, , {{yes}}, {{yes}}, , {{yes}}, , {{yes}}, {{yes}}
 Unify NXJ, , , , , , , , , , , , , , 
 WSO2 Enterprise Service Bus (ESB), {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, , {{yes}}, , {{yes}}, {{yes}}
 
