Name, Platform, License, Builders: Windows, Builders: Java, Builders: other, Notification, Integration  IDEs, Integration  other
Apache Gump, Python, {{free|Apache 2.0}}, {{unknown}}, {{yes|Ant  Maven 1}}, {{unknown}}, Email, {{unknown}}, {{unknown}}
AppVeyor, Hosted  Self-Hosted, {{proprietary}}, {{yes|Visual Studio  MSBuild  Psake}}, {{no}}, {{yes|Custom Script  PowerShell}}, Email  HipChat  Slack  Catlight, {{no}}, {{yes|GitHub  Bitbucket  Kiln  Windows Azure}}
Azure DevOps Server (formerly TFS and VSTS), Cross-platform, Proprietary  MIT, {{yes|MSBuild  Visual Studio}}, {{yes|Ant  Maven  Gradle  Android}}, {{yes|C  C++  Go  Groovy  Java  Node.js  Perl  PHP  Python  Ruby}}, Email  SOAP  Catlight, {{yes|Visual Studio  Eclipse  IntelliJ IDEA  Android Studio  Visual Studio Code }}, {{yes|GitHub  Jenkins  Slack  Hipchat  FindBugs  Checkstyle  PMD }}
Bamboo, Web container, {{proprietary}}, {{yes|MSBuild [2] NAnt [3] Visual Studio[4]}}, {{yes|Ant [5] Maven 1-2-3[6]}}, {{yes|Custom script  command-line tool  Bash  Xcode [7] Phing [8] Grunt  Grails[9]}}, XMPP  Google Talk  Email  RSS  Remote API  HipChat, {{yes|IntelliJ IDEA  Eclipse  Visual Studio}}, {{yes|FishEye  Jira  Clover  Bitbucket  GitHub}}
Buddy, Cross-platform, {{proprietary}}, {{no}}, {{yes|Ant  Maven  Gradle}}, {{yes|Elixir  Go  Haskell  Node.js  PHP  Python  Ruby  .NET Core}}, Desktop  Email  Slack  SMS, {{no}}, {{yes|Amazon Web Services  Bitbucket  GitHub  GitLab  Google Cloud Services  Heroku  Modulus}}
Buildbot, Python, {{free|GPL}}, {{yes|Command-line}}, {{yes|Command-line}}, {{yes|Command-line}}, Email  Web  GUI  IRC, {{unknown}}, {{unknown}}
BuildMaster, Cross-platform, {{proprietary}}, {{yes}}, {{yes}}, {{yes|Cross-platform command-line}}, Email  custom, {{no}}, {{yes|Many}}
CruiseControl, Cross-platform, {{free|BSD-style}}, {{yes|NAnt  Rake  Xcode}}, {{yes|Phing  Apache Ant  Maven}}, {{yes|catch-all 'exec'}}, Email  CCTray, {{yes|Eclipse}}, {{unknown}}
CruiseControl.NET, Cross-platform, {{free|BSD-style}}, {{yes|MSBuild  NAnt  Visual Studio}}, {{unknown}}, {{yes|Command-line}}, Email  CCTray  RSS, {{unknown}}, {{unknown}}
GitLab, Cross-Platform  Self-Hosted, Proprietary  MIT, {{yes|Yes[10]}}, {{yes|Maven[11]  Gradle[12]}}, {{yes|SSH  Shell  VirtualBox  Parallels Docker  Kubernetes)[13]}}, Email  Web  Slack and others[14], {{yes|WebIDE[15]}}, {{yes|Many}}
GoCD, Cross-platform, {{free|Apache 2.0}}, {{yes|Command-line}}, {{yes|Command-line}}, {{yes|Command-line}}, Email  hipchat  Slack  Gerrit  Gitter  Riemann etc, {{no}}, {{yes|GitHub}}
Jenkins, Web container, {{free|Creative Commons and MIT}}, {{yes|MSBuild  NAnt  Batch Script}}, {{yes|Ant  Maven 2  Kundo}}, {{yes|CMake  Gant  Gradle  Grails  Phing  Rake  Ruby  SCons  Python  shell script  command-line}}, Android  Email  Google Calendar  IRC  XMPP  RSS  Twitter  Slack  Catlight  CCMenu  CCTray, {{yes|Eclipse  IntelliJ IDEA  NetBeans}}, {{yes|Bugzilla  Google Code  Jira  Bitbucket  Redmine  FindBugs  Checkstyle  PMD and Mantis  Trac  HP ALM}}
OpenMake Software Meister, Cross-platform, {{proprietary}}, {{yes|MSBuild  NAnt  Visual Studio}}, {{yes|Ant  Maven 1-2-3}}, {{yes|Shell script  batch script  cross-platform command-line  Groovy  Make  RTC Jazz  TFS Build  Custom Script Interpreter}}, Email  XMPP  RSS  Systray, {{yes|Eclipse  Visual Studio}}, {{yes|Bugzilla  Google Code  Jira  Bitbucket  Redmine  FindBugs  Checkstyle  PMD and Mantis  Trac}}
Semaphore (software), Hosted, {{proprietary}}, {{no}}, {{yes|Maven  Gradle}}, {{yes|Ruby  Java  Python  Node.js  PHP  Clojure  C/C++  Elixir  Erlang  Go  Rake  command-line}}, Email  Campfire  HipChat  Slack  Flowdock  Webhooks  Remote API, {{unknown}}, {{yes|GitHub  Bitbucket  Heroku  AWS  Code Climate  Cloud 66}}
Travis CI, Hosted, {{free|MIT}}, {{no}}, {{yes|Ant  Maven  Gradle[16]}}, {{yes|C  C++  Clojure  Elixir  Erlang  Go  Groovy  Haskell  Java  Node.js  Perl  PHP  Python  Ruby  Rust  Scala  Smalltalk}}, Email  Campfire  HipChat  IRC  Slack  Catlight  CCMenu  CCTray, {{no}}, {{yes|GitHub  Heroku}}
TeamCity, Web container, {{proprietary}}, {{yes|MSBuild  NAnt  Visual Studio  ReSharper-based .NET code analysis}}, {{yes|Ant  Maven 2-3  Gradle  IntelliJ IDEA-based build and code analysis}}, {{yes|command-line  PowerShell [17] Xcode [18] Rake  FxCop}}, Email  XMPP  RSS  IDE  SysTray  Catlight, {{yes|Eclipse  Visual Studio  IntelliJ IDEA  RubyMine  PyCharm  PhpStorm  WebStorm}}, {{yes|JetBrains YouTrack  Jira  Bugzilla  FishEye  FindBugs  PMD  dotCover  NCover}}
Vexor, Hosted, {{proprietary}}, {{no}}, {{unknown}}, {{yes|Ruby  Clojure  Scala  Python  Node.js  Go  Rust  Haskell}}, Email  HipChat  Slack, {{unknown}}, {{yes|GitHub  Bitbucket  Gitlab}}
