Function, Size (bits){{notetag|The omitted multiplicands are word sizes.}}, Words × Passes = Rounds{{notetag|Some authors interchange passes and rounds.}}, Operations{{notetag|A: addition  subtraction; B: bitwise operation; L: lookup table; S: shift  rotation.}}, Endian{{notetag|It refers to byte endianness only. If the operations consist of bitwise operations and lookup tables only  the endianness is irrelevant.}}
 Word, Digest, Chaining values{{notetag|The size of message digest equals to the size of chaining values usually. In truncated versions of certain cryptographic hash functions such as SHA-384  the former is less than the latter.}}, Computation values{{notetag|The size of chaining values equals to the size of computation values usually. In certain cryptographic hash functions such as RIPEMD-160  the former is less than the latter because RIPEMD-160 use two sets of parallel computation values and then combine into a single set of chaining values.}}, Block, Length {{notetag|The maximum input size {{=}} 2length size ? 1 bits. For example  the maximum input size of SHA-1 {{=}} 264 ? 1 bits.}}
 GOST R 34.11-94, 32, {{nowrap|×8 {{=}} 256}}, {{nowrap|×8 {{=}} 256}}, 32, 4, A B L S, Little
 HAVAL-3-128, 32, {{nowrap|×4 {{=}} 128}}, {{nowrap|×8 {{=}} 256}}, {{nowrap|×32 {{=}} 1 024}}, 64, {{nowrap|32 × 3 {{=}} 96}}, A B S, Little
 HAVAL-3-160, {{nowrap|×5 {{=}} 160}}
 HAVAL-3-192, {{nowrap|×6 {{=}} 192}}
 HAVAL-3-224, {{nowrap|×7 {{=}} 224}}
 HAVAL-3-256, {{nowrap|×8 {{=}} 256}}
 HAVAL-4-128, {{nowrap|×4 {{=}} 128}}, {{nowrap|32 × 4 {{=}} 128}}
 HAVAL-4-160, {{nowrap|×5 {{=}} 160}}
 HAVAL-4-192, {{nowrap|×6 {{=}} 192}}
 HAVAL-4-224, {{nowrap|×7 {{=}} 224}}
 HAVAL-4-256, {{nowrap|×8 {{=}} 256}}
 HAVAL-5-128, {{nowrap|×4 {{=}} 128}}, {{nowrap|32 × 5 {{=}} 160}}
 HAVAL-5-160, {{nowrap|×5 {{=}} 160}}
 HAVAL-5-192, {{nowrap|×6 {{=}} 192}}
 HAVAL-5-224, {{nowrap|×7 {{=}} 224}}
 HAVAL-5-256, {{nowrap|×8 {{=}} 256}}
 MD2, 8, {{nowrap|×16 {{=}} 128}}, {{nowrap|×32 {{=}} 256}}, {{nowrap|×48 {{=}} 384}}, {{nowrap|×16 {{=}} 128}}, None, {{nowrap|48 × 18 {{=}} 864}}, B, N/A
 MD4, 32, {{nowrap|×4 {{=}} 128}}, {{nowrap|×16 {{=}} 512}}, 64, {{nowrap|16 × 3 {{=}} 48}}, A B S, Little
 MD5, {{nowrap|16 × 4 {{=}} 64}}
 RIPEMD, 32, {{nowrap|×4 {{=}} 128}}, {{nowrap|×8 {{=}} 256}}, {{nowrap|×16 {{=}} 512}}, 64, {{nowrap|16 × 3 {{=}} 48}}, A B S, Little
 RIPEMD-128, {{nowrap|16 × 4 {{=}} 64}}
 RIPEMD-256, {{nowrap|×8 {{=}} 256}}
 RIPEMD-160, {{nowrap|×5 {{=}} 160}}, {{nowrap|×10 {{=}} 320}}, {{nowrap|16 × 5 {{=}} 80}}
 RIPEMD-320, {{nowrap|×10 {{=}} 320}}
 SHA-0, 32, {{nowrap|×5 {{=}} 160}}, {{nowrap|×16 {{=}} 512}}, 64, {{nowrap|16 × 5 {{=}} 80}}, A B S, Big
 SHA-1
 SHA-256, {{nowrap|×8 {{=}} 256}}, {{nowrap|×8 {{=}} 256}}, {{nowrap|16 × 4 {{=}} 64}}
 SHA-224, {{nowrap|×7 {{=}} 224}}
 SHA-512, 64, {{nowrap|×8 {{=}} 512}}, {{nowrap|×8 {{=}} 512}}, {{nowrap|×16 {{=}} 1024}}, 128, {{nowrap|16 × 5 {{=}} 80}}
 SHA-384, {{nowrap|×6 {{=}} 384}}
 Tiger-192, 64, {{nowrap|×3 {{=}} 192}}, {{nowrap|×3 {{=}} 192}}, {{nowrap|×8 {{=}} 512}}, 64, {{nowrap|8 × 3 {{=}} 24}}, A B L S, Not Specified
 Tiger-160, ×2.5=160
 Tiger-128, {{nowrap|×2 {{=}} 128}}
 
