Software, Creates?, Modifies?, Mounts?, Writes/<wbr/>Burns?, Extracts?, Input, Output, OS, License
7-Zip, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, CramFS  DMG  FAT  HFS  MBR  NTFS  ISO  SquashFS  UDF  VHD  WIM[1], WIM, Windows  Linux  Classic Mac OS, {{Free|Free software (GPL)}}
AcetoneISO, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, CD  DVD  ISO  BIN  MDF+MDS  IMG  NRG  CUE  TOC  DMG, CD  DVD  ISO  BIN, Linux, {{Free|Free software (GPL)}}
Acronis True Image, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, TIB  VHD, TIB  VHD, Windows, {{Nonfree|Shareware}}
Alcohol 120%, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, ISO  B5T  B6T  BWT  CCD  CDI  CUE  MDF+MDS  NRG  ISZ, MDF+MDS  ISO, Windows, {{Nonfree|Trialware}}
Alcohol 52% FE, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, ISO, {{N/A}}, Windows, {{Nonfree|Adware}}
AnyDVD HD, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{N/A}}, ISO, Windows, {{Nonfree|Shareware}}
Archive Manager, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, ISO, {{N/A}}, Unix-like, {{Free|Free software (GPL)}}
Ashampoo Burning Studio, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, ISO  BIN+CUE, ISO  BIN+CUE, Windows, {{Nonfree|Shareware}}{{efn|Past version are made available as freeware from time to time}}
BlindWrite, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, B5T  B6T  BWA  BWI  BWS  BWT  BIN+CUE  ISO  MDF+MDS, B5T  B6T  BWA  BWI  BWS  BWT  BIN+CUE  ISO  MDF+MDS, Windows, {{Nonfree|Shareware}}
Brasero, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, ISO  CUE, CD  DVD, Linux, {{Free|Free software (GPL)}}
Burnatonce, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, ISO  CUE  TOC, {{N/A}}, Windows, {{Free|Freeware}}
CDBurnerXP, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, ISO  MDF+MDS  NRG  BIN+CUE, ISO  MDF+MDS, Windows, {{Free|Freeware}}
CDemu, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, CSO  ECM  GBI  GZ  XZ  ISZ  DMG  ISO  UDF  NRG  CDI  CCD  SUB  IMG  BIN+CUE  TOC  B5T+B5I  B6T+B6I  MDF+MDS  MDX  CIF  C2D  DAA, ISO  TOC, Linux, {{Free|Free software (GPL v2)}}
genisoimage, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{N/A}}, {{Dunno}}, Linux  Unix, {{Free|Free software (GPL)}}
isoinfo, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{Dunno}}, {{N/A}}, Unix  Linux  Amiga Windows  macOS, {{Free|Free software (GPL)}}
mkisofs, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{N/A}}, {{Dunno}}, Unix  Linux  Amiga Windows  macOS, {{Free|Free software (GPL)}}
CDRoller, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{Yes}}, ISO, ISO, Windows, {{Nonfree|Shareware}}
CDRWIN, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, BIN+CUE, BIN+CUE, Windows, {{Nonfree|Shareware}}
CloneCD, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{N/A}}, ISO  UFD  IMG, Windows, {{Nonfree|Shareware}}
CloneDVD, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, ISO, ISO, Windows, {{Nonfree|Shareware}}
CopyCatX, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, DMG, DMG, macOS, {{Nonfree|Shareware}}
Daemon Tools, {{yes}}, {{Partial|All editions except Lite}}, {{yes}}, {{yes}}{{efn|Lite editions requires Astroburn[2]}}, {{Partial|All editions except Lite}}, BIN+CUE  B5T  B6T  BWT  CCD  CDI  ISO  ISZ  MDF+MDS  MDX  NRG  VHD  VMDK and TrueCrypt{{Efn|Daemon Tools supports the following non-image formats: ZIP  APE+CUE  FLAC+CUE  WAV+CUE}}, ISO  MDF+MDS  MDX – VHD and TrueCrypt in Ultra edition, Windows, {{Nonfree|Freemium}}{{efn|All editions are trialware  except Lite edition  which is only shareware in Korea but freeware elsewhere.[3][4][5][6]}}
DeepBurner, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, ISO, ISO, Windows, {{Nonfree|Freemium}}
Disco, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, CDR  ISO  DMG, CDR  ISO  DMG, macOS, {{Free|Freeware}}
DiscJuggler, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, CDI  ISO, CDI, Windows, {{Nonfree|Shareware}}
Disk Utility, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, DMG  ISO, DMG  ISO, macOS, {{Needs|Part of macOS}}
DiskImageMounter, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, DMG  ISO, DMG  ISO, macOS, {{Needs|Part of macOS}}
DVD Shrink, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}{{efn|Opens DVD images (File menu or Ctrl-I)}}, ISO  NRG  IMG  MDF+MDS, ISO, Windows, {{Free|Freeware}}
Exact Audio Copy, {{yes}}{{efn|Audio tracks only. Leaves an ISO placeholder for the data track in the CUE for mixed-mode discs.}}, {{no}}, {{no}}, {{no}}, {{no}}, CUE, CUE/audio file types, Windows, {{Free|Free software}}
Furius ISO Mount, {{no}}, {{no}}, {{yes}}, {{yes}}, {{no}}, ISO  IMG  BIN  MDF+MDS  NRG, {{dunno}}, Linux, {{Free|Free software (GPL)}}
Image for Windows, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, TBI  VHD  VMDK, TBI  VHD  VMDK, Windows, {{Nonfree|Shareware}}
ImgBurn, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, APE+CUE  BIN+CUE  CDI  CDR  DI  FLAC+CUE  GCM  GI  IBQ  IMG  ISO  LST  MDF+MDS  NRG  PDI  UDI  WV, ISO  IMG  BIN+CUE, Windows, {{Free|Freeware}}
ImgDrive, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, CCD  ISO  ISZ  NRG, ISO, Windows, {{Free|Freeware}}
InfraRecorder, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, ISO, ISO, Windows, {{Free|Free software (GPL)}}
ISO Master[7][8], {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, ISO, ISO, Linux, {{Free|Free software (GPL)}}
ISO Recorder, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, ISO, ISO, Windows, {{Free|Free software (BSD license)}}
IsoBuster, {{Yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, DAO  TAO  ISO  BIN+CUE  IMG+CCD  CIF  FCD  NRG  GCD  P01  C2D  CDI  CD  GI  PXI  MDF+MDS  VC4/000  B5T+B5I  B6T+B6I  DMG  IBP+IBQ  NCD  FLP  E01/S01/Ex01  RMG  UDF  DSK  VMDK  IBADR+IBDAT  DD  XISO  XBX  IMAGE  VHD  VHDX  DC42  WBFS  ST  128  256  512  512E  1KN  2KN  4KN  8KN  16KN  32KN  64KN[9][10][11], ISO  TAO  BIN  CUE  IBADR+IBDAT  DSK  1KN  2KN  4KN  8KN  16KN  32KN  64KN  IBR  IBP and IBQ[11], Windows, {{Nonfree|Shareware}}
IsoCreator, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{N/A}}, ISO, Windows, {{Free|Free software (AFL)}}
K3b, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, ISO, {{N/A}}, Unix-like, {{Free|Free software (GPL)}}
libguestfs, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, raw  qcow2  VMDK  VHD, raw  qcow2  VMDK  VHD, Linux, {{Free|Free software (LGPL)}}
Loop device[12], {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, Raw image, {{N/A}}, Linux  FreeBSD, {{Free|Free software}}
MagicISO, {{yes}}, {{yes}}, {{partial|With MagicDisc}}, {{yes}}, {{yes}}, Both MagicISO and MagicDisc: ISO  BIN+CUE  IMA  IMG  CIF  NRG  IMG+CCD  MDF+MDS  VCD  VaporCD  P01  MD1  XA  VC4/000  VDI  C2D  BWI+BWT  CDI  TAO/DAO  PDI.[13][14] MagicISO only: DMG  FLP  DSK  BFI  BIF  WBT[13], ISO  BIN+CUE  UIF  NRG  DMG[15], Windows, {{Nonfree|Shareware}}{{efn|MagicDisc is Freeware}}[16]
mount, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, ISO, {{N/A}}, Linux, {{Free|Free software (GPL)}}
Nero Multimedia Suite, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, ISO  NRG, ISO  NRG, Windows, {{Nonfree|Shareware}}
Nero Burning ROM, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, ISO  NRG, ISO  NRG, Windows, {{Nonfree|Shareware}}
Nero Linux, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, ISO  NRG, ISO  NRG, Linux, {{Nonfree|Shareware (Discontinued)}}
Norton Ghost, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{dunno}}, GHO  GHS  VMDK  V2I  IV2I  PQI, GHO  GHS  VMDK, Windows, {{Nonfree|Shareware}}
OSFmount, {{no}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, IMG  DD  ISO  BIN+CUE  00n  NRG  SDI  AFF(v3)  AFM  AFD  VMDK  E01  S01  VHD, {{dunno}}, Windows, {{Free|Freeware}}
Partimage, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, Compressed file system images: Ext2  Ext3  Reiserfs  FAT16  FAT32  HPFS  JFS  Xfs  UFS  HFS and NTFS, Ext2  Ext3  Reiserfs  FAT16  FAT32  HPFS  JFS  Xfs  UFS  HFS and NTFS, Linux, {{Free|Free software (GPL)}}
PeaZip, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, DMG  ISO  VHD  WIM[17], {{N/A}}, Windows  Linux, {{Free|Free software (LGPL v3)}}
Roxio Creator[18], {{Yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, ISO  C2D  BIN+CUE  GI, ISO  GI, Windows, {{Nonfree|Proprietary commercial}}
Roxio Toast[19], {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, ISO  BIN+CUE  IMG  DMG  CDR  NRG, {{N/A}}, macOS, {{Nonfree|Proprietary commercial}}
UltraISO, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, BIN+CUE  BWI+BWT  B5T+B5I  B6T+B6I  C2D  CDI  CIF  DAA  DMG  FCD  G2D  GCD  GI  IMA  IMG+CCD  IML  ISO  ISZ  LCD  MDF+MDS  NCD  NRG  P01+MD1+XA  PDI  PXI  TAO  DAO  UIF  VaporCD  VC4/000  VCD  VDI  XMD+XMF [20], BIN+CUE  CCD+IMG+SUB  ISO  ISZ  MDF+MDS  NRG, Windows, {{Nonfree|Trialware}}
Virtual CloneDrive, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, ISO  BIN  IMG  UDF  DVD  CCD, {{n/a}}, Windows, {{Free|Freeware}}
Virtual CD-ROM Control Panel, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, ISO, {{n/a}}, Windows, {{Free|Freeware}}
VirtualDrive Pro, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{N/A}}, {{N/A}}, Windows, {{Nonfree|Shareware}}
WADK, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{No}}, WIM  WSM, WIM  WSM, Windows NT, {{Nonfree|Freeware; DISM component is included with Windows}}
WinCDEmu, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, ISO  BIN  NRG  MDF+MDS  CCD  IMG, {{N/A}}, Windows, {{Free|Free software (LGPL)}}
File Explorer, {{Partial|VHD only}}, {{No}}, {{yes}}, {{Partial|ISO only}}, {{No}}, ISO [21][22] VHD[23], VHD, Windows NT, {{Needs|Part of Windows}}
WinISO, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, ISO  BIN  CCD  CUE  DVD  IMG  MDF  MDS  NRG, ISO  BIN  CCD  CUE  DVD  IMG  MDF  MDS  NRG, Windows, {{Nonfree|Shareware}}
WinRAR, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, ISO, {{N/A}}, Windows, {{Nonfree|Shareware}}
WinZip, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, ISO, {{N/A}}, Windows, {{Nonfree|Shareware}}
xorriso, {{yes}}, {{yes}}, {{Partial|Linux FreeBSD}}, {{Partial|Linux  BSD  Solaris}}, {{yes}}, ISO, ISO, Unix  Linux  Cygwin  macOS, {{Free|Free software (GPL)}}
Software, Creates?, Modifies?, Mounts?, Writes/<wbr/>Burns?, Extracts?, Input?, Output?, OS, License
