Name, Whole disk, Partition, File, Swap space, Hibernation file, RAID
Aloaha Secure Stick, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
ArchiCrypt Live, {{yes}} (except for the boot volume), {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
BestCrypt, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}[114], {{dunno}}
BitArmor DataControl, {{no}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{dunno}}
BitLocker, {{yes}} (except for the boot volume), {{yes}}, {{yes}}[115], {{yes}} (parent volume is encrypted), {{yes}} (parent volume is encrypted), {{dunno}}
Bloombase Keyparc, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{dunno}}
CenterTools DriveLock, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}
CGD, {{yes}}, {{yes}}, {{yes}}[70], {{yes}}, {{no}}, {{dunno}}
Check Point Full Disk Encryption, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}
CipherShed, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{partial|only on Windows}}, {{dunno}}
CrossCrypt, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
CryFS, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{dunno}}
CryptArchiver, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
Cryptic Disk, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
Cryhod, {{no}}, {{yes}}, {{no}}, {{yes}}, {{yes}} (parent volume is encrypted), {{dunno}}
Cryptoloop, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{dunno}}
Cryptomill, {{yes}}, {{n/a}}, {{yes}}, {{n/a}}, {{n/a}}, {{dunno}}
CryptoPro Secure Disk Enterprise, {{yes}}, {{yes}}, {{yes}} (add-on Secure Device), {{yes}}, {{yes}}, {{dunno}}
CryptoPro Secure Disk for BitLocker, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}
DiskCryptor, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{dunno}}
Disk Protect, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{dunno}}
Dm-crypt / LUKS, {{yes}}, {{yes}}, {{yes}}[116], {{yes}}, {{yes}}[117], {{dunno}}
DriveCrypt, {{yes}}, {{yes}}[82], {{yes}}[82], {{yes}}, {{yes}}, {{dunno}}
DriveSentry GoAnywhere 2, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
E4M, {{No}}, {{Yes}}, {{Yes}}, {{No}}, {{no}}, {{dunno}}
e-Capsule Private Safe, {{no}}, {{no}}, {{yes}}[118], {{no}}, {{no}}, {{dunno}}
eCryptfs, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
EgoSecure HDD Encryption, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}
FileVault, {{no}}, {{no}}, {{yes}}[86], {{yes}}[119][86], {{yes}}[119][120]
FileVault 2, {{yes}}[121], {{yes}}[87], {{no}}, {{yes}}, {{yes}}, {{dunno}}
FREE CompuSec, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}
FreeOTFE, {{yes}} (except for the boot volume), {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
GBDE, {{yes}}, {{yes}}, {{yes}}[122], {{yes}}, {{no}}, {{dunno}}
GELI, {{yes}}, {{yes}}, {{yes}}[122], {{yes}}, {{no}}, {{dunno}}
Loop-AES, {{yes}}, {{yes}}[93], {{yes}}[93], {{yes}}[93], {{yes}}[93], {{dunno}}
McAfee Drive Encryption (SafeBoot), {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}[123], {{dunno}}
n-Crypt Pro, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
PGPDisk, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{partial|only on Windows}}, {{dunno}}
Private Disk, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
ProxyCrypt, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
R-Crypto, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
SafeGuard Easy, {{yes}}, {{yes}}, {{no|extra module}}, {{yes}}, {{yes|Each sector on disk is encrypted}}, {{dunno}}
SafeGuard Enterprise, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes|Each sector on disk is encrypted}}, {{dunno}}
SafeGuard PrivateDisk, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
SafeHouse Professional, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
Scramdisk, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
Scramdisk 4 Linux, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{dunno}}
SecuBox, {{no}}, {{no}}, {{yes}}, {{n/a}}, {{no}}, {{dunno}}
SecureDoc, {{yes}}[102], {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}
Sentry 2020, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
Seqrite Encryption Manager, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes | RAID-5}}
Softraid / RAID C, {{yes}}, {{yes}}, {{no}}, {{yes}} (encrypted by default in OpenBSD)[124], {{no}}, {{dunno}}
Svnd / Vnconfig, {{dunno}}, {{yes}}, {{yes}}, {{yes}} (encrypted by default in OpenBSD), {{dunno}}, {{dunno}}
SpyProof!, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
Symantec Endpoint Encryption, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}
Trend Micro Endpoint Encryption, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}
TrueCrypt, {{yes}}[125], {{yes}}, {{yes}}, {{yes}}, {{partial|only on Windows}}[107], {{dunno}}
VeraCrypt, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{partial|only on Windows}}[107], {{dunno}}
CyberSafe Top Secret, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
Name, Whole disk, Partition, File, Swap space, Hibernation file, RAID
