| Client, Written in, License, Access API, High availability, Shards, Initial release year, Memory requirements (GB)
Alluxio (Virtual Distributed File System), Java, {{free|Apache License 2.0}}, HDFS  FUSE  HTTP/REST  S3, {{no|hot standby}}, {{no}}, 2013, 
Ceph, C++, {{free|LGPL}}, librados (C  C++  Python  Ruby)  S3  Swift  FUSE, {{yes}}, {{yes}}, 2010, 1 per TB of storage
GlusterFS, C, {{free|GPLv3}}, libglusterfs  FUSE  NFS  SMB  Swift  libgfapi, {{no|mirror}}, {{no}}, 2005, 
MooseFS, C, {{free|GPLv2}}, POSIX  FUSE, {{no|master}}, {{no}}, 2008, 
Quantcast File System, C, {{free|Apache License 2.0}}, C++ client  FUSE (C++ server: MetaServer and ChunkServer are both in C++), {{no|master}}, {{no}}, 2012, 
LizardFS, C++, {{free|GPLv3}}, POSIX  FUSE  NFS-Ganesha  Ceph FSAL (via libcephfs), {{no|master}}, {{no}}, 2013, 
Lustre, C, {{free|GPLv2}}, POSIX  NFS-Ganesha  NFS  SMB, {{yes}}, {{yes}}, 2003, 
OpenAFS, C, {{free|IBM Public License}}, Virtual file system  Installable File System, , , 2000 [1], 
OpenIO[2], C, {{free|AGPLv3 / LGPLv3}}, Native (Python  C  Java)  HTTP/REST  S3  Swift  FUSE (POSIX  NFS  SMB  FTP), {{yes}}, , 2015, 0.5
SeaweedFS, Go  Java, {{free|Apache License 2.0}}, HTTP (REST)  POSIX  FUSE  S3  HDFS, {{yes|transparent master failover}}, , 2015, 
Tahoe-LAFS, Python, {{free|GNU GPL [3]}}, HTTP (browser or CLI)  SFTP  FTP  FUSE via SSHFS  pyfilesystem, , , 2007, 
HDFS, Java, {{free|Apache License 2.0}}, Java and C client  HTTP, {{yes|transparent master failover}}, {{no}}, 2005, 
XtreemFS, Java  C++, {{free|BSD License}}, libxtreemfs (Java  C++)  FUSE, , , 2009, 
Ori[4], C  C++, {{free|MIT}}, libori  FUSE, , , 2012, 
