Name, ZIP support, FTP support, SFTP support, Version Control browsing, Patch creation, Patch application, Patch preview, Unicode support, XML-aware
Beyond Compare, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes|SVN}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, 
Compare++, , , , {{Yes|SVN  CVS  Git  Microsoft TFS  Perforce  VSS using command line}}, , , , {{Yes}}, 
diff, {{No}}, {{No}}, , {{No}}, {{Yes}}, {{Yes}} with patch, {{Yes}} with patch, {{No}}, {{No}}
diff3, {{No}}, {{No}}, , , , , , , {{No}}
Eclipse (compare), , , , {{Yes}} CVS  Subversion  Git  Mercurial  Baazar, , , , {{Yes}}, 
Ediff, {{Yes}}, {{Yes}}, , {{Yes|RCS  CVS  SVN  Mercurial  git (anything supported by Emacs' VC-mode)}}[31], {{Yes}}, {{Yes}}, {{Yes}}, , 
ExamDiff Pro, {{Yes}}[32], {{Yes}}[33], , , {{Yes|normal diff only}}, , , {{Yes}}, 
Far Manager (compare), {{No}}, {{No}}, , {{No}}, {{No}}, {{No}}, {{No}}, {{Yes}}, {{No}}
fc, {{No}}, {{No}}, , , {{No}}, , , , 
FileMerge (aka opendiff), {{No}}, {{Yes|supported by OS}}, , , {{No}}, , , {{No}}, {{No}}
Guiffy SureMerge, {{Yes}}, , , , {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}[34], 
IntelliJ IDEA (compare), {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, 
jEdit JDiff plugin, {{Yes}}, {{Yes}}, , {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, 
Kompare, , , , , {{Yes}}, , , , 
Lazarus Diff, , , , , , , , , 
Meld, , , , {{Yes|CVS  Subversion  Git  Mercurial  Baazar}}, {{Yes}}, , , {{Yes}}, 
Notepad++ (compare), {{No}}, {{Yes|Yes[35]}}, , {{Yes|Git  Subversion (compare against base)}}, {{No}}, {{No}}, {{No}}, {{Yes}}, {{No}}
Perforce P4Merge, , , , {{No}}, , , , {{Yes}}, 
Pretty Diff, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{Yes}}, {{Yes}}
Tkdiff, {{No}}, {{No}}, , {{Yes|CVS  RCS  Subversion}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}
Total Commander (compare), {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, {{Yes}}, {{No}}
vimdiff, {{Yes}}, {{Yes}}, , , {{Yes}}, , , {{Yes}}, 
WinDiff, {{No}}, {{No}}, , , {{No}}, , , {{No}}, 
WinMerge, {{Yes}}, {{No}}, , {{Yes| Mercurial [36] Subversion [37] Visual Source Safe  Rational ClearCase[38]}}, {{Yes}}, , , {{Yes}}, 
UCC, {{Yes}}, {{No}}, , , , , , {{Yes}}, 
Name, ZIP support, FTP support, SFTP support, Version Control browsing, Patch creation, Patch application, Patch preview, Unicode support, XML-aware
