File manager, DOS, OS/2 & eCS, Windows, Mac OS X, Linux, BSD, Unix, AmigaOS, OpenVMS
Directory Opus, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}[17], {{no}}
Dired, {{yes}}[18], {{yes}}[19], {{yes}}[20], {{yes}}[21], {{yes}}, {{yes}}, {{yes}}, {{yes}}[22], {{yes}}[23]
Dolphin, {{no}}, {{no}}, {{Partial|Needs KDE}}[24], {{yes}}[25], {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}
Double Commander, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}
DOS Navigator, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
emelFM2, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{Yes}}, {{Yes}}, {{no}}, {{no}}
File Commander, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}
fman, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}
GNOME Commander, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}
Konqueror, {{no}}, {{no}}, {{Partial|Needs KDE}}[24], {{yes}}[25], {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}
Krusader, {{no}}, {{no}}, {{no}}, {{Partial|Needs X}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}
Midnight Commander, {{yes}}, {{no}}, {{yes}}[26], {{yes}}[27], {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}
muCommander, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}
nnn, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}
GNOME Files (Nautilus), {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}
Nemo, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}
PathMinder, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
PCManFM, {{no}}, {{Partial|Needs POSIX-compliant platform}}, {{Partial|Needs POSIX-compliant platform}}, {{Partial|Needs POSIX-compliant platform}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}
Ranger, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}
ROX-Filer, {{no}}, {{no}}, , , {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}
Thunar, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}
Total Commander, {{no}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}
Volkov Commander, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Xandros File Manager, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}, {{no}}, {{no}}
Xfe, {{no}}, {{Partial|Needs X}}, {{Partial|Needs X}}, {{Partial|Needs X}}, {{yes}}, {{yes}}, {{yes}}, {{Partial|Needs X[28]}}, {{yes}}
Xfm, {{no}}, {{Partial|Needs X}}, {{Partial|Needs X}}, {{Partial|Needs X}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}
ZTreeWin, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
File manager, DOS, OS/2 & eCS, Windows, Mac OS X, Linux, BSD, Unix, AmigaOS, OpenVMS
