Name, Programming language, Platform, License, Stable version, Portable, Detect conflict, Renames or moves, Propagate deletes, Revision control, Scheduling or service, Other information
Conduit, Python, Linux  FreeBSD, GPL, 0.3.17 (2010-01-21), {{No}}, , , , , {{Yes}}, Synchronizes files  website  network apps
DirSync Pro, Java, Java SE, GPLv3, 1.53 (2018-03-07), {{Yes}}, {{Yes}}, {{No}}, , {{Yes}} (creates backup files), {{Yes}} (native + via OS), sym-links  filter  metadata  contents  auto-sync
FreeFileSync, C++, Windows  OS X  Linux, GPL, 10.19 (2019-12-27), {{Yes}} (Donation Edition)[2], {{Yes}}[3], {{Yes}}[3], {{Yes}}[3], {{Yes}} (versioning + recycler)[3], {{Yes}}, Older version had OpenCandy Adware/malware  but now funded by donations.[4] [5]
iFolder, C#  Mono, Windows  OS X  Linux  Solaris, GPL, 3.8.0.3 (2010-07-19), {{No}}, {{Yes}} (centralized database), {{Yes}} (files  not folders), , , , 
InterPlanetaryFileSystem, Go, Windows  OS X  Linux, GPL, 0.4.15 (2018-05-12), , {{Yes}}, , , {{No}} (Planned)[6], , 
luckyBackup, C++, Windows  OS X  Linux  FreeBSD, GPLv3, 0.4.9 (2017-10-17), {{Yes}}, , , , , {{Yes}}, Uses rsync backend
Nextcloud, PHP  C++  JavaScript[7], Server: Linux Clients: Windows  OS X  Linux  Android  iOS, AGPLv3, 17.0.1 (2019-11-07), {{yes}}, {{yes}}, {{yes}}, {{Yes}}[8], {{yes}}, {{yes}}, Fork of ownCloud and actively maintained Windows Phone App
OneSync, C#, Windows, GPL, 4.0 (2012-02-19), {{No}}, {{Yes}}, {{Yes}}, , , {{No}}, 
ownCloud community edition, PHP  C++  JavaScript[9], Server: Linux  FreeBSD Clients: Windows  OS X  Linux  FreeBSD  Android  iOS, AGPLv3 (Server Edition) / proprietary (Enterprise Edition), {{Latest stable software release/ownCloud}}, {{yes}}, {{yes}}, {{yes}}, {{Yes}}[10], {{yes}}, {{yes}}, iOS  Android  Blackberry  Win  Mac  Linux Client; external storage support; encryption app; app framework
Pydio Open source home, Server: PHP  Python  C++ Clients: JS  C#  Swift  Java, Windows  OS X  Linux  Android  iOS, AGPLv3, 8.0.2 (2017-12-13), {{yes}}, {{yes}}, {{yes}}, , {{yes}} (Git[11]), {{yes}}, 
rsync, C in a Unix-Linux shell, Windows  OS X [12] Linux [13][14] BSD, GPL v3, {{Latest stable software release/rsync}}, {{Yes}}, {{No}}, {{No}}, , {{No}}, {{Yes}} (via OS), client & server operation. Multiple comparison criteria (date  check-sum).
Seafile community edition, C99  Python[15], Server: Linux  Raspbian  Windows Clients: Linux  OS X  Windows  Android  iOS.[16], AGPLv3 (Server) + Apache License 2.0 (Client), {{Latest stable software release/Seafile}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}} (via Seafile Client), Android and iOS mobile clients
SparkleShare, C#, Windows  OS X  Linux  Android  iOS, GPL v3 and LGPL, 2.0.1 (2017-12-22), {{Yes}}, {{Yes}}, {{No}}, , {{Yes}} (Git[17]), , 
SymmetricDS, Java, Java SE, GPL, 3.9.4 (2018-02-16), {{Yes}}, {{Yes}}, {{Yes}}, , {{No}}, {{Yes}}, plug-in APIs for customization
Synchronizer (krusader), , Windows  OS X  Linux, GPL v2, 2.6.0 (2017-04-12), {{No}}, {{Yes}}, {{No}}, , {{No}}, {{No}}, Synchronizer no longer in active development
Syncthing, Go, Windows  OS X  Linux  Android  BSD  Solaris, MPL v2, 1.3.2 (2019-12-3), {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, Distributed peer-to-peer sync
Synkron, C++, Windows  OS X  Linux, GPL v2, 1.6.2 (2011-01-25){[18]}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, no longer in active development
Name, Programming language, Platform, License, Stable version, Portable, Detect conflict, Renames or moves, Propagate deletes, Revision control, Scheduling or service, Other information
