Name, Operating system, Freeware version, Portable, Encrypts files, Detect conflict, File lock, Open file support, Revision control, Detect rename, Detect move, Full duplex transfer, Propagate deletes, Case sensitive, Delta copying (block level transfer), LAN Sync
@MAX SyncUp, Windows, {{Partial|Limited}}, {{no}}, , {{yes}}, {{yes}}, {{yes}}, , {{No}}, {{No}}, , {{yes}}, , {{yes}}, {{yes}}
Allway Sync, Windows, {{Partial|Limited}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, {{No}}, {{No}}, {{yes}}, {{yes}}, , , {{yes}}
AIMstor (discontinued), Windows, {{Partial|Limited}}, {{yes}}, , {{yes}}, {{yes}}, {{yes}}, {{yes}} through VSS, {{Yes}}, {{Yes}}, {{Yes}}, {{yes}}, {{Partial|Case preserving only}}, , 
Argentum Backup, Windows, {{no}}, {{yes}}, , , , {{no}}, {{yes}}, , , , , {{yes}}, , 
BackupAssist, Windows, {{no}}, , , {{no}}, , {{yes}}, , , , , , , , 
Backup4all, Windows, {{Partial|Limited}}, {{yes}}, {{yes}}, {{no}}, , {{yes}}, {{yes}}, , , , {{yes}}, , {{yes}}, 
Beyond Compare, Windows  OS X  Linux, {{Partial|Limited}}, {{yes}}, {{no}}, {{yes}}, , {{yes}}, {{yes}}, , , , {{yes}}, , , 
Box Sync, Windows [21] OS X [21] Android  BlackBerry  iOS[21], {{Partial|Limited}}, , , {{yes}}, ?, ?, {{yes}}, ?, ?, ?, {{yes}}, ?, , {{No}}
ChronoSync, OS X, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}} (only with APFS), {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}
Cloudike, Windows  OS X  iPhone  Android, {{yes}}, {{no}}, , {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , 
CloudMe, Windows  OS X  Linux  iPhone  Android  Google TV  Samsung TV, {{yes}}, {{no}}, , {{yes}}, ?, ?, {{no}}, {{yes}}, {{no}}, ?, ?, {{yes}}, ?, {{no}}
Cubby - Free (discontinued), Windows  OS X, {{no}}, {{no}}, , {{yes|Renames older and keeps both}}, {{no}}, , {{yes}}, {{yes}}, {{yes}}, ?, {{yes}}, , {{no}}, {{no}}
Cubby - Pro (discontinued), Windows  OS X, {{no}}, {{no}}, , {{yes|Renames older and keeps both}}, {{no}}, , {{yes}}, {{yes}}, {{yes}}, ?, {{yes}}, , {{Partial|LAN Sync only}}, {{yes}}
Distributed Storage, Windows  Linux, {{no}}, , , {{yes}}, {{yes}}, {{yes}}, , , , , , , , 
Dmailer Sync (discontinued), Windows, {{yes}}, , , , , , , , , , , , , 
Dropbox, Windows  OS X  Linux  Android  iPhone  BlackBerry, {{yes}}, {{no}}, , {{yes}}, ?, ?, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
Easy2Sync for Files, Windows, {{yes}}, , , {{yes}}, , , {{yes}}, {{yes}}  for folders, , , , , , 
Egnyte, Windows  OS X  Linux  Android  iPad  iPhone, {{no}}, {{no}}, , {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{Partial|Case preserving only}}, {{yes}}, {{yes}}
Gladinet, Windows  OS X  Android  iPad  iPhone  Windows RT  Blackberry, {{yes}}, {{Yes}}, {{Yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
GoDrive, Windows  Mac OS X  Linux  Android  iOS, {{Partial|Limited}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, ?, {{yes}}, {{yes}}, ?, {{yes}}
GoodSync, Windows  OS X  Android  iPad  iPhone  USB flash drive, {{yes}}, {{Yes}}, {{yes}}  beta, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
GS RichCopy 360, Windows, {{Partial|Limited}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{Partial|Enterprise version only}}, {{yes}}
IBM Connections, Windows  OS X  Android  iOS, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}
MediaFire, Windows  OS X  Android  iOS, {{yes}}, , {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}
Name, Operating system, Freeware version, Portable, Encrypts files, Detect conflict, File lock, Open file support, Revision control, Detect rename, Detect move, Full duplex transfer, Propagate deletes, Case sensitive, Delta copying (block level transfer), LAN Sync
Mega, Windows  OS X  Linux  Android  iPhone  BlackBerry, {{yes}}, , {{yes}}, {{yes}}, , , {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{No}}[22], {{yes}}
RepliWeb, Windows  Linux, {{no}}, , , {{Partial}}, , , {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , 
Resilio Sync (ex. BitTorrent Sync), Windows  OS X  Linux  Android  iOS  Windows Phone  Amazon Kindle Fire  FreeBSD, {{Partial|Limited}}, {{no}}, {{yes}}  optional, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}
Robocopy, Windows, {{yes}}, {{no}}, , {{no}}, , , , , , , , , , 
SecureSafe, Windows  OS X  Android  iOS, {{yes}}, , , {{yes}}, {{no}}, , {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}
SpiderOak, Windows  OS X  Debian  Fedora  Slackware  Android  iOS, {{no}}, , , {{no}}, , , {{yes}}[23], {{no}}, , {{no}}, , , {{yes}}[24], {{Yes}}
ShareFile, Windows  OS X  Android  iPhone, {{yes}}, , {{yes}}, , , , {{yes}}[25], {{Yes}}, , {{Yes}}, , {{Yes}}, , {{Yes}}
SugarSync, Windows  OS X  Android  BlackBerry  iPhone  Windows Mobile, {{no}}, {{no}}, , {{yes}}, , , {{yes}}[26], {{yes}}, {{yes}}, , {{yes}}, , , 
Syncdocs, Windows  web app, {{Partial|Beta versions only}}, {{yes}}, , {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{Partial|Microsoft Word only}}[27], {{yes}}, , , 
Synchronize It!, Windows, {{no}}, , , {{no}}, , , , , , , , , , 
Syncplicity, Windows  OS X  Android  iPhone  Windows Mobile, {{yes}}, , , {{yes}}, , , {{yes}}, , , {{yes}}, {{yes}}, , {{No}}[28], {{No}}
Tonido, Windows  OS X  Linux  Android  BlackBerry  iPhone  Windows Phone, {{yes}}, {{yes}}, , {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , , 
Tresorit, Windows  OS X  Linux  Android  BlackBerry  iOS  Windows Phone, {{Partial|Limited}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}  for Windows, {{yes}}, , , , {{yes}}, {{yes}}, {{no}}, 
Ubuntu One (discontinued 2 April 2014), Windows  OS X  Ubuntu  iOS  Android[29], {{yes}}, , , , , , , , , , , , , 
Windatareflector, Windows, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}
Wuala (discontinued), Windows  OS X  Debian  Ubuntu  Android  iOS, {{yes}}, , {{yes}}, , , , , , , , , , , 
ZumoDrive (discontinued), Windows  OS X  Linux  Android  iPhone  Palm webOS, {{yes}}, , , {{yes}}, , , {{yes}}, , , , , , , 
Zetta.net, Windows  OS X  Linux, {{No}}, , , {{Yes}}, , {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , {{Yes}}, {{Yes}}  Preserve file name case & file metadata, {{yes}}, {{Yes}}
Name, Operating system, Freeware version, Portable, Encrypts files, Detect conflict, File lock, Open file support, Revision control, Detect rename, Detect move, Full duplex transfer, Propagate deletes, Case sensitive, Delta copying (block level transfer), LAN Sync
