File system, Sparse files, Transparent compression, Block suballocation, Tail packing, Extents, Variable file block size{{efn |name=note-41 |Variable block size refers to systems which support different block sizes on a per-file basis. (This is similar to extents but a slightly different implementational choice.) The current implementation in UFS2 is read-only.}}, Allocate-on-flush, Copy on write, Trim support
DECtape, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
BeeGFS, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}
Level-D, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{dunno}}
APFS, {{yes}}, {{no}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}[67][68]
Version 6 Unix file system (V6FS), {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{dunno}}, {{no}}
Version 7 Unix file system (V7FS), {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{dunno}}, {{no}}
exFAT, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}
FAT12, {{partial}} (only inside of compressed volumes)[69], {{partial}}{{efn |name=note-51}}, {{partial}} (only inside of Stacker 3/4 and DriveSpace 3 compressed volumes[70]), {{no}}, {{partial}} (only inside of compressed volumes)[71], {{no}}, {{no}}, {{no}}, {{yes}} (Linux)
FAT16 / FAT16B / FAT16X, {{partial}} (only inside of compressed volumes)[69], {{partial}}{{efn |name=note-51 |SuperStor in DR DOS 6.0  PalmDOS 1.0  PC DOS 6.1 and 6.3  Stacker in Novell DOS 7  OpenDOS 7.01  DR-DOS 7.02 (and higher)  and PC DOS 7.0 (and higher)  DoubleSpace in MS-DOS 6.0 and 6.20  and DriveSpace in MS-DOS 6.22 and Windows 95  98 and Me are disk compression schemes for FAT  but are not supported for other operating systems.}}, {{partial}} (only inside of Stacker 3/4 and DriveSpace 3 compressed volumes[70]), {{no}}, {{partial}} (only inside of compressed volumes)[71], {{no}}, {{no}}, {{no}}, {{yes}} (Linux)
FAT32 / FAT32X, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}} (Linux)
GFS, {{yes}}, {{no}}, {{no}}, {{partial}}{{efn |Only for "stuffed" inodes}}, {{no}}, {{no}}, {{no}}, {{dunno}}, {{yes}}
HPFS, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{no}}
NTFS, {{yes}}, {{yes}}, {{partial}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{yes}} (NT 6.1 + newer)
HFS Plus, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{yes}} (macOS)
FFS, {{yes}}, {{no}}, {{yes2}} 8:1{{efn |name=note-45 |Other block:fragment size ratios supported; 8:1 is typical and recommended by most implementations.}}, {{no}}, {{no}}, {{no}}, {{no}}, {{dunno}}, {{no}}
