File system, DOS, Windows 9x, Windows NT, Linux, "classic" Mac OS, macOS, FreeBSD, OS/2, BeOS, Minix, Solaris, z/OS
APFS, {{no}}, {{no}}, {{no}}, {{partial}} (read-only with apfs-fuse[77] or linux-apfs[78]), {{no}}, {{yes}} (Since macOS Sierra), {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
BeeGFS, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{dunno}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{no}}
DECtape, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Level-D, {{no}}, {{no}}, {{no}}, {{dunno}}, {{no}}, {{dunno}}, {{no}}, {{no}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}
RT-11, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Version 6 Unix file system (V6FS), {{no}}, {{no}}, {{no}}, {{dunno}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Version 7 Unix file system (V7FS), {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{dunno}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
exFAT, {{no}}, {{no}}, {{yes}} (installable drivers for Windows XP  2003. Included with Windows Vista SP1 and newer.), {{yes}} (available as a kernel module or FUSE driver), {{no}}, {{yes}}, {{yes}} (available as a FUSE driver), {{no}}, {{no}}, {{no}}, {{yes}} (available as a FUSE driver), {{no}}
FAT12, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{partial}} (via dosdir  dosread  doswrite), {{yes}}, {{dunno}}
FAT16 / FAT16B / FAT16X, {{yes}} (FAT16 from DOS 3.0  FAT16B from DOS 3.31  FAT16X from DOS 7.0), {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{partial}} (via dosdir  dosread  doswrite  not FAT16X), {{yes}}, {{dunno}}
FAT32 / FAT32X, {{yes}} (from DOS 7.10), {{yes}} (from Windows 95 OSR2), {{yes}} (from Windows 2000), {{yes}}, {{yes}}?, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{dunno}}
GFS, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{dunno}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
HPFS, {{partial}} (with third-party drivers), {{no}}, {{partial}} (with NT 3.1 to 4.0 only), {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}} (from OS/2 1.2), {{dunno}}, {{no}}, {{dunno}}, {{dunno}}
NTFS, {{partial}} (with third-party drivers), {{yes}} (with 3rd-party drivers like Paragon NTFS for Win98  DiskInternals NTFS Reader), {{yes}}, {{yes}} with ntfs-3g, {{no}}, {{yes}} natively read only  write support with Paragon NTFS or ntfs-3g, {{yes}} with ntfs-3g, {{dunno}}, {{yes}} with ntfs-3g, {{no}}, {{yes}} with ntfs-3g, {{dunno}}
Apple HFS, {{no}}, {{no}}, {{yes}} with Paragon HFS+ [79], {{yes}}, {{yes}}, {{no}} write support since Mac OS X 10.6 and no support at all since macOS 10.15, {{no}}, {{dunno}}, {{yes}}, {{no}}, {{dunno}}, {{no}}
Apple HFS Plus, {{no}}, {{no}}, {{yes}} with Paragon HFS+ [79], {{partial}} - writing support only to unjournalled FS, {{yes}} from Mac OS 8.1, {{yes}}, {{no}}, {{dunno}}, {{yes2|with addon}}, {{no}}, {{dunno}}, {{no}}
FFS, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
UFS1, {{no}}, {{no}}, {{partial}} (with ufs2tools  read only), {{partial}} - read only, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}
UFS2, {{no}}, {{no}}, {{partial}} (with ufs2tools  read only), {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
LFS, {{no}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
ext, {{no}}, {{no}}, {{no}}, {{yes}} - until 2.1.20, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Xiafs, {{no}}, {{no}}, {{no}}, {{yes}} - until 2.1.20 Experimental port available to 2.6.32 and later [80][81], {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
ext2, {{no}}, {{no}}, {{yes}} with Paragon ExtFS [82] or partial with Ext2 IFS[83] or ext2fsd[84], {{yes}}, {{no}}, {{yes}} with Paragon ExtFS [85] or ext2fsx, {{yes}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}
ext3, {{no}}, {{no}}, {{yes}} with Paragon ExtFS [82] or partial with Ext2 IFS[83] or ext2fsd[84], {{yes}}, {{partial}} (read only){{citation needed|date=October 2016}}, {{yes}} with Paragon ExtFS [85] or partial with ext2fsx (journal not updated on writing), {{partial}} (read-only)[86][87], {{no}}, {{yes2|with addon}}, {{dunno}}, {{yes}}, {{dunno}}
ext4, {{no}}, {{no}}, {{yes}} with Paragon ExtFS [82] or partial with Ext2 IFS[83] or ext2fsd[84], {{yes}}, {{dunno}}, {{yes}} with Paragon ExtFS [85], {{partial}} support in kernel since version 10.1 (read-only)[86][87], {{no}}, {{yes2|with addon}}, {{dunno}}, {{dunno}}, {{dunno}}
NOVA, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Lustre, {{no}}, {{no}}, {{no}}, {{yes}}[88], {{dunno}}, {{dunno}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}
NILFS, {{no}}, {{no}}, {{dunno}}, {{yes}} as an external kernel module, {{dunno}}, {{dunno}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
F2FS, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
ReiserFS, {{no}}, {{no}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}, {{partial}} - Read Only from 6.0 to 10.x[89] and dropped in 11.0[90][91], {{dunno}}, {{yes2|with addon}}, {{dunno}}, {{dunno}}, {{dunno}}
Reiser4, {{no}}, {{no}}, {{no}}, {{yes}} with a kernel patch, {{dunno}}, {{dunno}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
SpadFS, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
OCFS, {{no}}, {{no}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
OCFS2, {{no}}, {{no}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
XFS, {{no}}, {{no}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}, {{partial}}, {{dunno}}, {{partial|with addon (read only)}}, {{dunno}}, {{dunno}}, {{dunno}}
JFS, {{no}}, {{no}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
QFS, {{no}}, {{no}}, {{no}}, {{partial}} - client only[92], {{dunno}}, {{dunno}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}
Be File System, {{no}}, {{no}}, {{no}}, {{partial}} - read-only, {{dunno}}, {{dunno}}, {{no}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}
