License and version, FSF approval [31], GPL (v3) compatibility [32][33][34][35][36], OSI approval [37], Debian approval [38][39], Fedora approval [40]
 Academic Free License, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}
 Affero General Public License 3.0, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
 Apache License 1.x, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}
 Apache License 2.0, {{yes}}, {{partial|GPLv3 only}}[41], {{yes}}, {{yes}}, {{yes}}
 Apple Public Source License 1.x, {{No}}[42], {{no}}, {{yes}}, {{no}}, {{no}}
 Apple Public Source License 2.0, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}
 Artistic License 1.0, {{No}}[43], {{no}}, {{yes}}, {{yes}}, {{no}}
 Artistic License 2.0, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
 Beerware License, {{partial|see "informal license" section}}[44], {{partial|see "informal license" section}}[44], {{no}}, {{no}}, {{yes}}[45]
 Original BSD license, {{yes}}, {{no}}, {{no}}[46], {{yes}}, {{yes}}
 Modified BSD license, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
 Zero-Clause BSD License, {{?}}, {{?}}, {{yes}}[47], {{?}}, {{?}}
 Boost Software License, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
 CeCILL, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
 Common Development and Distribution License, {{yes}}, {{maybe|GPLv3 (GPLv2 disputed)}}[48][49][50][51][52][53], {{yes}}, {{yes}}, {{yes}}
 Common Public License, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}
 Creative Commons Zero, {{yes}}[54], {{yes}}[54], {{maybe|not approved and not rejected}}[55], {{partial}}[56][57], {{yes}}[58]
 Creative Commons BY-SA 4.0, {{yes}}, {{partial|GPLv3}}[59], {{?}}, {{yes}}, {{?}}
 Cryptix General License, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
 Eclipse Public License, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}
 Educational Community License, {{yes}}, {{yes}}[60], {{yes}}, {{no}}, {{yes}}
 Eiffel Forum License 2, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
 European Union Public Licence, {{yes}}, {{yes}}[19], {{yes}}, {{yes}}, {{?}}
 GNU Affero General Public License, {{yes}}, {{yes}}[21][61], {{yes}}, {{yes}}, {{yes}}
 GNU General Public License v2, {{yes}}, {{no}}[62][63], {{yes}}, {{yes}}, {{yes}}
 GNU General Public License v3, {{yes}}, {{yes}}[64][63], {{yes}}, {{yes}}, {{yes}}
 GNU Lesser General Public License, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
 GNU Free Documentation License, {{yes}}, {{no}}[65], {{yes}}[66], {{no}}[67], {{no}}
 IBM Public License, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}
 Intel Open Source License, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}
 ISC license, {{yes}}[68], {{yes}}, {{yes}}, {{yes}}, {{yes}}
 LaTeX Project Public License, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}
 Microsoft Public License, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}
 Microsoft Reciprocal License, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}
 MIT license / X11 license, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
 Mozilla Public License 1.1, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}
 Mozilla Public License 2.0, {{yes}}, {{yes}}[69][70], {{yes}}, {{yes}}, {{yes}}
 NASA Open Source Agreement, {{no}}, {{no}}, {{yes}}, {{?}}, {{no}}
 Netscape Public License, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}
 Open Software License, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}
 OpenSSL license, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}
 PHP License, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}
 Python Software Foundation License 2.0.1; 2.1.1 and newer, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
 Q Public License, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}
 Reciprocal Public License 1.5, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}
 Sleepycat License, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
 Sun Industry Standards Source License, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}
 Sun Public License, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}
 Sybase Open Watcom Public License, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}
 Unlicense, {{yes}}[71], {{yes}}[54], {{partial|while considered free not recommended}}[72], {{dunno}}, {{yes}}[58]
 W3C Software Notice and License, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
 Do What The Fuck You Want To Public License (WTFPL), {{yes}}[73], {{yes}}, {{no}}[74], {{yes}}, {{yes}}
 XFree86 1.1 License, {{yes}}, {{yes}}[75], {{no}}, {{no}}, {{no}}
 zlib/libpng license, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
 Zope Public License 1.0, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}
 Zope Public License 2.0, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}
 
