, GUI, Console, Software license, Latest stable version, Latest release date, Windows, Macintosh, Linux
beye, {{No}}, {{Yes}}, {{free|GPL}}, 6.1.0, {{Dts|2009|December|12}}, {{yes}}, {{yes}}, {{yes}}
bvi, {{No}}, {{Yes}}, {{free|GPL}}, 1.4.0, {{Dts|2014|October|07}}, DOS  Win95 and up, {{yes}}, {{yes}}
Cheat Engine, {{Yes}}, {{No}}, {{free|APL}}, 6.8.1, {{Dts|2018|06|23}}, {{yes}}, {{Yes}}  ver. 6.2, {{no}}
GNU Emacs, {{Yes}}, {{Yes}}, {{free|GPL}}, 26.2[1], {{Dts|2019|4|12}}, {{yes}}, {{yes}}, {{yes}}
FlexHex, {{Yes}}, {{No}}, {{Proprietary}} (free for non-commercial use), 2.7, {{Dts|2018|October|12}}, Windows XP and up, {{no}}, {{no}}
Frhed (Free Hex Editor), {{Yes}}, {{No}}, {{free|GPL}}, 1.7.1, {{Dts|2009|July|30}}, Win98 and up, {{no}}, {{no}}
Hiew, {{No}}, {{Yes}}, {{Proprietary}}, 8.68, {{Dts|2019|August|01}}, {{yes}}, {{no}}, {{no}}
HxD, {{Yes}}, {{No}}, {{Proprietary}} (Freeware), 2.2.1.0, {{Dts|2019|February|17}}, Win95  WinNT4 and up, {{no}}, {{no}}
VEDIT, {{Yes}}, {{Yes}}, {{Proprietary}}, 6.24.2, {{Dts|2015|Jan|1}}, {{yes}}, {{no}}, {{no}}
UltraEdit, {{Yes}}, {{No}}, {{Proprietary}}, 26.10 (Windows) 18.0 (Linux / Mac OS X), {{Dts|2019|05|07}} {{Dts|2018|01|02}}, {{yes}}, {{yes}}, {{yes}}
WinHex, {{Yes}}, {{No}}, {{Proprietary}}, 19.7, {{Dts|2018|08|19}}, Win95 and up, {{no}}, {{no}}
vim, {{Yes}}, {{Yes}}, {{free|GPL compatible}}, 8.1.0000, {{Dts|2018|05|17}}, {{Yes}}, {{Yes}}, {{Yes}}
