Client, Publisher, First public release, Type, Latest stable version, License
 Adium, Adam Iser  Evan Schoenberg, {{Start date and age|2001|09}}, Multi-protocol, {{Latest stable software release/Adium}}, {{free|GPLv2}}
 aMSN, The aMSN team, {{Start date and age|2002|05}}, Single-protocol, 0.98.4, {{free|GPL}}
 AOL Instant Messenger (AIM), AOL, {{Start date and age|1997|05}}, Single-protocol, {{Latest stable software release/AOL Instant Messenger}}, {{Terminated|Discontinued}} (was freeware)
 Ayttm, Colin Leroy and Philip Tellis, {{Start date and age|2003|04}}, Multi-protocol, Linux: 0.6.3 (10 Jul 2010) Windows: 0.4.6-17, {{free|GPL}}
 BlackBerry Messenger (BBM), BlackBerry Limited, {{Start date and age|2006}}, Single-protocol, {{Latest stable software release/BlackBerry Messenger (BBM)}}, {{Terminated|Discontinued}} (was freeware)
 BitlBee, Wilmer van der Gaast, {{Start date and age|2002|08|09}}, Multi-protocol IRC gateway, {{Latest stable software release/BitlBee}}, {{free|GPL}}
 Bombus, Eugene Stahov, {{Start date and age|2005|01|05}}, Single-protocol, v0.6 ({{Start date and age|2008}}), {{free|GPL}}
 Centericq, Konstantin Klyagin, {{Start date and age|1999}}, Multi-protocol, {{Latest stable software release/Centericq}}, {{free|GPL}}
 Conversations, Daniel Gultsch, {{Start date and age|2014|01|24}}, Single-protocol, 2.5.11 ({{Start date and age|2019|09|28}}), {{free|GPLv3}}
 Coccinella, Mats Bengtsson, {{Start date and age|1999|12|01}}, Single-protocol, 0.96.16 ({{Start date and age|2009|12|01}}), {{free|GPLv3}}
 Discord, Discord Inc., {{Start date and age|2015|03|06}}, Single-protocol, 9.5.2019; ({{Start date and age|2019|09|16}}), Proprietary Freeware
 eBuddy, Paulo Taylor, {{Start date and age|2003|03|09}}, Multi-protocol, {{Start date and age|2011}}, Proprietary Freeware
 emesene, Luis Mariano Guerra, {{Start date and age|2006|05|24}}, Multi-protocol, 2.12.5, {{free|GPL}}
 Empathy, The GNOME Project, {{Start date and age|2007|05}}, Multi-protocol, {{Latest stable software release/Empathy (software)}}, {{free|GPL}}
 Facebook Messenger, Facebook  Inc., {{Start date and age|2011|08|09}}, Single-protocol, , Proprietary Freeware
 FaceTime, Apple Inc., iOS: {{Start date and age|2010|06|24}} macOS: {{Start date and age|2011|02|24}}, Single-protocol, iOS: 10.3.3 (stable)  {{Start date and age|2017|07|19}} macOS: 4.0 (3080)  {{Start date and age|2017|07|24}}, {{Included|Part of macOS or iOS}}
 Fire, Eric Peyton, {{Start date and age|1999|04|01}}, Multi-protocol, {{Latest stable software release/Fire}}, {{Terminated|Discontinued}} (was Free)
 Firetalk, Multitude Communications, 1997–2001, voice/music chat program, , {{free|GPL}}
 Flock, Riva FZC, {{Start date and age|2014|09}}, Single-protocol, iOS: v2.35.0 {{Start date and age|2019|06|22}}[2] Android: v4.7 {{Start date and age|2019|09|23}}[3] macOS: v2.2.270 {{Start date and age|2019|06|20}}[4] Windows/Linux/Chrome Extension/Web: v2.2.268 {{Start date and age|2019|06|18}}[5], Proprietary Freemium
 Gadu-Gadu, ?ukasz Foltyn / GG Network S.A., {{Start date and age|2000|08|15}}, Single-protocol, Modern UI: 2.0.0.179 Desktop: 12.0.49.11103 ({{Start date and age|2013|12|13}}), Proprietary Freeware
 Gajim, Yann Le Boulanger, {{Start date and age|2004|05|21}}, Single-protocol, {{Latest stable software release/Gajim}}, {{free|GPL}}
 Google Allo, Google  Inc., {{Start date and age|2016|09|21}}, Single-protocol, {{Latest stable software release/Google Allo}}, {{Terminated|Discontinued}} (was freeware)
 Google Hangouts, Google  Inc., {{Start date and age|2013|05|15}}, Single-protocol, {{Latest stable software release/Google Hangouts}}, Proprietary Freeware
 Hookt, Hookt  Inc., {{Start date and age|2011|09|14}}, Single-protocol, iOS: 2.20.02 {{Start date and age|2019|01|31}}[6] Android: 2.15.10 {{Start date and age|2019|02|05}}[7], Proprietary Freeware
 Hike, Bharti SoftBank, {{Start date and age|2012|12|12}}, Single-protocol, 6.2.92 {{small|(Android  {{start date and age|2019|09|30}})}}[8] 6.2.92{{small|(iOS  {{release date and age|2019|09|30}})}}[9], Proprietary Freeware
 IBM Lotus Sametime, IBM  Ubique, {{Start date and age|1998}}, Multi-protocol — proprietary T.120  SIP  XMPP, 9.0.0 ({{Start date and age|2013|09|20}}), {{proprietary|Proprietary commercial software}}
 iChat, Apple Inc., {{Start date and age|2002|08}}, Multi-protocol, 6.0.1 (1002) ({{Start date and age|2012|02|01}}), {{Terminated|Discontinued}} (replaced with Messages)
 ICQ, Mail.Ru, {{Start date and age|1996|11}}, Single-protocol, {{Latest stable software release/ICQ}}, {{free|Apache license}}
 IMVU, Will Harvey, {{Start date and age|2001|07}}, Multiple-protocol, 3.0, Proprietary Freemium
