Client, Desktop, Mobile, Other
 Windows, macOS, Unix-like, Haiku, Amiga, Windows Phone, Android, BlackBerry OS, iOS, Symbian, MeeGo, Java ME, WebOS, Web, VGCs
 Adium, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
 BBM, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}
 AIM, {{yes}}, {{yes}}, {{dropped}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}
 aMSN, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}
 Ayttm, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
 BitlBee, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
 Bombus, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}
 Centericq, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
 climm, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
 Coccinella, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
 Conversations, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
 Discord, {{yes}}, {{yes}}, {{partial}}[31], {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}
 eBuddy, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{no}}
 emesene, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
 Empathy, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
 Facebook Messenger, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}
 FaceTime, {{no}}, {{included}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{included}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
 Flock, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}
 Fire, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
