Client, Toolkits or SDKs, File transfer, Editing sent messages, Proxy server, Graphical emoticons, Unicode (UTF-8), Built-in games, Themes  skins, Plugin system, Third party add-ons, Scripting, Message logging, Voice messaging, Voice mail, Webcam, Offline, Cloud backup, Remote desktop assistance, Whiteboard, RTL texting
 Adium, Cocoa, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}, , {{dunno}}, {{dunno}}
 AIM, W32/Cocoa, {{yes}}, {{dunno}}, {{yes-no}}[80], {{yes}}, {{yes}}, {{no}}, {{yes-no}}[80], {{yes-no}}[80], {{yes-no}}[80], {{no}}, {{yes}}, {{yes-no}}[80], {{no}}, {{yes-no}}[80], {{yes-no}}[80], , {{no}}, {{no}}
 aMSN, Tcl/Tk, {{yes}}, {{dunno}}, http  socks5  msn gateway, {{yes}}, {{yes}}, {{partial}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, , {{no}}, {{no}}
 Ayttm, GTK2, {{no}}, {{dunno}}, http  socks4/5, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{partial}}, {{partial}}, , {{no}}, {{no}}
 BitlBee, {{n/a}}, {{yes}}, {{dunno}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{n/a}}, {{yes}}, {{no}}, {{no}}, {{n/a}}, {{dunno}}, {{dunno}}, {{no}}, {{yes}}, , {{dunno}}, {{dunno}}
 Bombus, Java ME, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, , {{no}}, {{dunno}}
 Centericq, ncurses, {{partial}}, {{dunno}}, {{dunno}}, {{no}}, {{dunno}}, {{no}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, , {{dunno}}, {{dunno}}
 climm, line based, {{yes}}, {{dunno}}, {{dunno}}, {{n/a}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{n/a}}, {{n/a}}, {{n/a}}, {{yes}}, , {{no}}, {{dunno}}
 Coccinella, Tcl/Tk, {{yes}}, {{dunno}}, http  socks4/5, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, , {{yes}}, {{dunno}}
 Discord, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{partial|TTS}}, {{yes}}, {{partial}}, {{no}}, {{no}}, {{no}}, {{yes2|Plug-in}}[81]
 eBuddy, {{no}}, {{partial}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, , {{no}}, {{dunno}}
 Empathy, GTK3, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{dunno}}
 Facebook Messenger, {{dunno}}, {{yes}}, {{no}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, , {{no}}, {{yes}}
 Fire, Cocoa, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, , {{dunno}}, {{dunno}}
 Gadu-Gadu, Qt, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{dunno}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, , {{no}}, {{dunno}}
 Gajim, GTK3, {{yes}}, {{yes}}, {{yes}}  HTTP  SOCKS5, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, , {{no}}, {{yes}}
 Google Talk, W32, {{yes}}, {{no}}, {{dunno}}, {{partial}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, Third party plugin, {{yes}}, , {{no}}, {{yes}}
 IBM Lotus Sametime, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, available, {{yes}}, {{yes}}, , {{yes}}, {{dunno}}
 ICQ, W32, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, , {{no}}, {{yes}}
 IMVU, {{dunno}}, {{no}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{partial}}, {{yes}}, {{no}}, {{partial}}[82], {{no}}, {{yes}}, {{no}}, {{dunno}}, {{no}}, {{yes}}, , {{dunno}}, {{dunno}}
 Jitsi, Java, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{dunno}}, {{dunno}}
 Kadu, Qt, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{partial}}, {{yes}}, {{yes}}, {{partial}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, , {{no}}, {{dunno}}
 Kopete, Qt/KDE, {{yes}}, {{dunno}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, With plugin, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, , {{no}}, {{yes}}
 Line, Line SDK, {{dunno}}, {{no}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, , {{yes}}, {{dunno}}
 Messages, Cocoa, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, , {{partial}}[59], {{dunno}}
 MCabber, Curses, {{no}}, {{dunno}}, {{dunno}}, {{no}}, {{yes}}, {{no}}, {{dunno}}, {{dunno}}, {{no}}, {{dunno}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, , {{no}}, {{dunno}}
 Miranda IM, W32, {{yes}}, {{dunno}}, {{yes}}  socks4/5  http(s), {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{partial}}[59], {{no}}, {{partial}}[59], {{yes}}, , {{yes}}, {{yes}}
 Palringo, {{dunno}}, {{no}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{partial}} (picture capture only), {{dunno}}, , {{no}}, {{dunno}}
 Paltalk, {{n/a}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
 Pidgin, GTK2, {{partial}}, {{no}}, {{yes}}  http  socks4/5, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{partial}} (XMPP in Linux), {{no}}, {{yes}} (XMPP in Linux), {{yes}}, , {{partial}}, {{yes}}
 Psi, Qt, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{partial}} (Linux & Unix), {{no}}, {{partial}} (Linux & Unix), {{yes}}, , {{yes}}, {{yes}}
 QIP, W32  VCL, {{yes}}, {{dunno}}, {{yes}}  http(s)  socks4/4A/5, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, , {{no}}, {{dunno}}
 QuteCom, Qt, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}, , {{dunno}}, {{dunno}}
 Jami, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}, , {{dunno}}, {{dunno}}
 Riot.im, {{dunno}}, {{yes}}, {{partial}}, {{dunno}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, , {{no}}, {{no}}
 Skype, Qt/KDE  W32, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{partial}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes-no}}[59][80], {{yes}}
 Surespot, ?, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, , {{dunno}}, {{dunno}}
 Tencent QQ, W32, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, , {{yes}}, {{dunno}}
 Telegram, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{partial}}, {{yes}}, {{Partial|Only un-encrypted messages}}, {{Yes}}, {{Yes}}
 Tkabber, Tcl/Tk, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, , {{yes}}, {{no}}
 Tox, Many[83], {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, Up to clients[83], Up to clients[83], Up to clients[83], Up to clients[83], Up to clients[83], {{yes}}, {{yes}}, {{no}}, {{yes}}, {{partial}}[84], , {{no}}, {{yes}}
 Trillian, W32  Cocoa, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, , {{dunno}}, {{yes}}
 WhatsApp, {{no}}, {{yes}}, 
