Client, Encrypted by default, Development status, Open source client[89], Servers, Contact verification[90], Encryption ciphers, Forward secrecy[91], Multiple encryption[92][93], Encrypted groupchat[94], Encrypted file transfer[94], Public key and IP unrelated[95], Proxy /Tor[96], Transport[97], Asynchronous encryp. communication[98], Encrypted client data[99], Screenshot protection[100], Self-destructing messages[100]
 Open source servers, Distributed[101], Federated[101], Data, Symmetric[92][102], Asymmetric[103], Asym. key size[104], TCP, UDP, SCTP
 Profile information[105], Chat metadata[106], Contact lists[107], E2EE Cloud backup, McEliece, RSA, DSA, ECC, NTRU, El Gamal, Default, Max.
 Briar, {{yes}}, {{Active|Active  public beta}}, {{yes}}, {{n/a}}, {{n/a}}, {{n/a}}, {{n/a}}, {{n/a}}, {{n/a}}, {{Bad}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, ECC-256, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{no}}, {{yes}}, {{yes}}, {{no}}
 ChatSecure, {{yes-no|allows unencrypted}}, {{Active}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , , , {{Bad}}, {{yes}}[108], {{yes}}[109], {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}[109], {{Optional}}, {{dunno}}, {{dunno}}, {{dunno}}, {{Optional}}, {{dunno}}, {{dunno}}, {{dunno}}, {{no}}, {{dunno}}, {{dunno}}, {{no}}
 Conversations, {{yes-no|allows unencrypted}}, {{Active}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{bad|Stored; not client-side encrypted}}[110], , {{bad|Stored}}[110], {{Bad}}, {{yes}}, {{yes}}[109], {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{Depends}}, {{Optional}}, {{Optional}}, {{yes}}, {{Optional}}, {{Optional}}, {{dunno}}, {{dunno}}, {{dunno}}, {{Optional}}, {{dunno}}, {{dunno}}, {{no}}
 Cryptocat, {{yes}}, {{No|Discontinued}}, {{yes}}, {{dunno}}, {{dunno}}, {{no}}, , , , {{Bad}}, {{yes}}[111], {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}[111], {{yes}}[111], No groupchat, {{yes}}[111], {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
 FireChat[112], {{yes-no|allows unencrypted}}[113], {{Active}}, {{no}}, {{n/a}}, {{n/a}}, {{n/a}}, , , , {{Bad}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{no|Includes groupchat  but it is not encrypted}}, {{dunno}}, {{dunno}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{no}}
 iMessage[114], {{yes-no|allows unencrypted}}[115], {{Active}}, {{no}}[114], {{no}}, {{dunno}}, {{no}}, , , , {{dunno}}, {{no}}[108], {{dunno}}, {{dunno}}, {{yes}}[116], {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{no}}[114], {{dunno}}, {{depends}}[117], {{yes}}[118], {{dunno}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}, {{no}}, {{no}}
 Line[119][120], {{yes}}, {{Active}}, {{no}}, {{no}}, {{yes}}[121], {{no}}, {{bad|Stored; not client-side encrypted}}[121], , {{bad|Stored}}[121], {{Bad|No=}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}[122], {{dunno}}, {{dunno}}, ECC-256[122], {{n/a}}, {{no}}, {{dunno}}, {{yes}}[120], {{dunno}}, {{dunno}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, {{no}}, {{no}}, {{no}}
 RetroShare, {{yes}}, {{Active}}, {{yes}}[123], {{n/a}}, {{n/a}}, {{n/a}}, , , , {{Bad}}, {{yes}}[108], {{yes}}, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{yes}}[108], {{yes}}, {{yes}}, {{yes}}, {{optional}}, {{optional}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}
 Jami, {{yes}}[124], {{Active}}, {{yes}}[123], {{yes}}, {{yes}}, , , , {{bad|Stored}}[125], {{Bad}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
 Ricochet, {{yes}}, {{No|Discontinued}}[126], {{Yes}}, {{n/a}}, {{n/a}}, {{n/a}}, {{n/a}}, {{n/a}}, {{n/a}}, {{Bad|No}}, {{no}}[127], {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}[127], {{no}}[127], No groupchat, {{no}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{no}}, {{no}}[127], {{no}}, {{no}}
 Sicher, {{yes}}, {{Active}}, {{no}}[123], {{no}}, {{dunno}}, {{no}}, , , , {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{no}}, {{no}}, RSA-2048[128], {{n/a}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{yes}}, {{dunno}}, {{yes}}
