Protocol, Creator, First public release date, License, Identity (not inc. alias), Asynchronous message relaying, Transport Layer Security, End-to-end encryption, Unlimited number of contacts, Bulletins to all contacts, One-to-many routing 4, Spam protection, Group  channel or conference support, Audio/VoIP support, Webcam/Video, Batch file sharing, Media synchronisation, Serverless 6 (decentralized), Protocol
Bitmessage, Jonathan Warren, 2012 Nov, {{free|Open standard}}, Alphanumeric address, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}} (through proof-of-work), {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{Yes}}, Bitmessage
Bonjour, Apple Inc., 2002 August, Proprietary Freeware; portions under the Apache license, Username, {{No}}, {{No}}, {{No}}, {{yes}}, {{No}}, {{Yes|multicast}}, {{partial|Medium}}, {{No}}, {{No}}, {{No}}, {{yes}}, {{No}}, {{yes}}, Bonjour
Briar, Briarproject.org, 2018 May 9, {{free|Open standard}}, Public & Private key (via QR Codes), {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, {{Yes}}, Briar
Gadu-Gadu, GG Network, 2000 Jul 17, Proprietary, Unique number e.g. 12345678, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}, {{No|Centralistic}}, {{Yes}} 5 (simple), {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, Gadu-Gadu
IRC, Jarkko Oikarinen, 1988 Aug, {{free|Open standard}}, Nickname!Username@hostname (or "hostmask") e.g. user!~usr@a.b.com1, {{partial|Yes  but via a memo system that differs from the main system}}, {{partial|Yes  depending on individual server support}}, {{partial|OTR by DM to client-to-client only}}, {{No}}3, {{No}}, {{Yes|Simplistic multicast}}, {{partial|Medium}}, {{Yes}} (everyone  multiple simultaneous  any size), {{No}}, {{No}}, {{Yes}}, {{No}}, {{No}}, IRC
Echo, spot-on.sf.net / goldbug.sf.net, 2013, {{free|Open standard}}, Key, {{Yes}}, {{Yes|Yes  optional}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, Echo
Matrix, Matrix.org, 2014 Sep, {{free|Open standard}}, Matrix user ID (MXID), {{Yes}}, {{Yes|Yes  mandatory}}, {{Optional}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}} (using pluggable server-side filtering modules), {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, Matrix
MSNP (Windows Live Messenger  etc.), Microsoft, 1999 Jul, Proprietary, Email address (Microsoft account), {{Yes}}, {{No}}, {{No}}, Only for certified robots, {{No}}, {{No|Centralistic}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, MSNP (Windows Live Messenger  etc.)
MTProto (Telegram), Telegram Messenger LLP, 2013 Aug, {{free|Open standard}}, Phone number (e.g. +1234567890)  nickname (e.g. @example), {{yes}}, {{yes}}, {{Partial|No end-to-end encryption for group chats on any client. No end-to-end encrypted one-on-one chats on desktop clients}}, {{yes}}, {{no}}, {{yes}}, {{yes}}  contact blocking, {{yes}}, {{yes}}[1], {{no}}, {{yes}}, {{yes}}, {{No}}, MTProto (Telegram)
