IDE, Developer, Latest stable release version, Latest stable release date, Platform, Written in, Widget toolkit, License, Python2x support, Python3x support, Debugger, GUI builder, Integrated toolchain, Profiler, Code coverage, Autocomplete, Static program analysis, GUI based design, Class browser, Code refactoring, Version control system support, Web framework support
Anjuta, Naba Kumar, 3.22, 2016-09-18, Unix-like, C, GTK+, {{yes|GPL}}, {{unk}}, {{unk}}, {{yes}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}
eric, Detlev Offenbach, 19.10, 2019-10-03, Linux  Microsoft Windows  macOS, {{yes|Python}}, PyQt, {{yes|GPLv3 "or later"}}, {{yes|Yes  until version 4.5.25 and since version 5.5.0[38]}}, {{yes|Yes  since version 5.0.0[39]}}, {{yes|Yes  for Python 2 & 3}}, {{yes}}: Qt Creator, {{unk}}, {{yes}}, {{yes}}, {{yes}}, {{yes|Multiple integrated checkers and Pylint via plug-in}}, {{yes}}, {{yes}}, {{yes}}, {{yes|Subversion and Mercurial (core plug-ins)  git (optional plug-in)}}, {{yes|Django as optional plug-in}}
Geany, Team, 1.36.0, 2019-09-28, Windows  Linux  macOS  FreeBSD  AIX  OpenBSD  Solaris  other Unix, C, GTK+, {{yes|GPL}}, {{unk}}, {{yes}}, {{no}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{yes}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}
IDLE, Guido van Rossum et al., 3.7, 2019-03-25, Cross-platform, {{yes|Python}}, Tkinter, {{yes|PSFL}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{unk}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{unk}}, {{no}}, {{no}}
Komodo IDE, ActiveState, 10.2, 2017-02-21, Cross-platform, {{unk}}, Mozilla platform, {{Proprietary}}, {{yes}}, {{yes}}, {{yes}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{yes|Bazaar  CVS  Git  Mercurial  Perforce  SVN}}, {{unk}}
KDevelop, KDE KDevelop Team, 5.4.3, 2019-10-21, Cross-platform, C  C++, Qt, {{yes|GPL}}, {{unk}}, {{yes}}, {{yes}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{yes}}, {{unk}}, {{unk}}, {{yes}}, {{yes}}, {{yes|Bazaar  CVS  Git  Mercurial  Perforce  SVN}}, {{unk}}
MonoDevelop, Novell and the Mono community, 6.1.2.44, 2016-11-11, Windows  Linux  macOS  FreeBSD  OpenBSD  Solaris, C#, Gtk#, {{yes|LGPL}}, {{unk}}, {{unk}}, {{yes}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}
Ninja-IDE, Team, 2.3, 2013-07-07, Cross-platform, {{yes|Python}}, PyQt, {{yes|GPL}}, {{yes}} (Python 2.7), {{yes}}, {{yes}} (with wdebugger plugin), {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}
PIDA, Team, 0.6.2, 2010-08-04, Cross-platform, {{yes|Python}}, PyGTK, {{yes|GPL}}, {{unk}}, {{unk}}, {{yes}} (integrates with external debuggers), {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}
PyCharm, JetBrains, 2019.2.3, 2019-09-25, Windows  Linux  macOS, Java, Swing, {{proprietary|Open core: Full version under Apache License 2.0}}, {{yes}}, {{yes}}, {{yes}}, {{unk}}, {{yes}}, {{yes}} (full version only), {{yes}} (full version only), {{yes}}, {{yes}} PEP 8 and others, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
