Language, IBM Watson, Apertium, OpenLogos, Google Translate, Moses for Mere Mortals, Babel Fish, Bing Translator, GramTrans, SYSTRAN, IdiomaX
 To English, Arabic to English, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}
 Catalan to English, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}, {{No}}, {{No}}
 Chinese (Simplified) to English, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}
 Chinese (Traditional) to English, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}
 Czech to English, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}
 Danish to English, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}
 Dutch to English, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}
 Esperanto to English, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}
 Estonian to English, {{Yes}}, {{No}}, {{No}}, {{yes}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}
 Finnish to English, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}
 French to English, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}
 Galician to English, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}
 German to English, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}
 Greek to English, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}
 Haitian Creole to English, {{No}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{No}}, {{No}}
 Hebrew to English, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{No}}, {{No}}
 Hindi to English, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}
 Hungarian to English, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}
 Indonesian to English, {{No}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{No}}, {{No}}
 Irish to English, {{No}}, {{No}}, {{No}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}
 Italian to English, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}
 Japanese to English, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}
 Korean to English, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}
 Latvian to English, {{No}}, {{No}}, {{No}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}
 Lithuanian to English, {{No}}, {{No}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{No}}, {{No}}
 Macedonian to English, {{No}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}
 Malay to English, {{No}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{No}}, {{No}}
 Maltese to English, {{No}}, {{No}}, {{No}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}
