, Word processing Software, Spreadsheet Software, Presentation Software, Notetaking software, Diagramming software, Raster graphics editor, Vector graphics editor, Image viewer, Formula editor, Database management software, Project management software, Desktop publishing software, Communication, Calendaring software, File hosting service
 Ability Office, {{yes|Ability Write}}, {{yes|Ability Spreadsheet}}, {{yes|Ability Presentation}}, {{no}}, {{yes|Ability Draw}}, {{yes|Ability Photopaint}}, {{yes|Ability Draw}}, {{yes|Ability Photoalbum}}, {{no}}, {{yes|Ability Database}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
 Apache OpenOffice, {{yes|OpenOffice Writer}}, {{yes|OpenOffice Calc}}, {{yes|OpenOffice Impress}}, {{no}}, {{yes|OpenOffice Draw}}, {{no}}, {{yes|OpenOffice Draw}}, {{no}}, {{yes|OpenOffice Math}}, {{yes|OpenOffice Base}}, {{partial|Import/Export capabilities with ProjectLibre and others}}[19], {{yes|OpenOffice Draw}}, {{no}}, {{no}}, {{no}}
 Breadbox Office, {{yes|Writer}}, {{yes|Spreadsheet}}, {{no}}, {{no}}, {{no}}, {{yes|Artist}}, {{yes|Artist}}, {{no}}, {{no}}, {{yes|Geofile}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
 Calligra Suite, {{yes|Calligra Words }}, {{yes|Calligra Sheets}}, {{yes|Calligra Stage}}, {{yes|Braindump}}, {{yes|Calligra Flow}}, {{yes|Krita}}, {{yes|Karbon}}, {{yes2}}Gwenview / Digikam[1], {{yes|KFormula}}, {{yes|Kexi}}, {{yes|Calligra Plan}}, {{yes|Calligra Words}}, {{no}}, {{no}}, {{no}}
 Feng Office Community Edition, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}
 GobeProductive, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}
 G Suite, {{yes|Google Docs}}, {{yes|Google Sheets}}, {{yes|Google Slides}}, {{yes|Google Keep}}, {{yes|Google Drawings}}, {{yes|Google Drawings}}, {{yes|Google Drawings}}, {{yes|Google Photos}}, {{no}}, {{yes|Google Fusion Tables}}, {{no}}, {{no}}, {{yes|Hangouts Chat/Meet}}, {{yes|Google Calendar}}, {{yes|Google Drive}}
 iWork, {{yes|Pages}}, {{yes|Numbers}}, {{yes|Keynote}}, {{yes|Notes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{yes|Pages}}, {{no}}, {{no}}, {{yes|iCloud}}
 LibreOffice, {{yes|LibreOffice Writer}}, {{yes|LibreOffice Calc}}, {{yes|LibreOffice Impress}}, {{no}}, {{yes|LibreOffice Draw}}, {{yes|LibreOffice Draw}}[20], {{yes|LibreOffice Draw}}, {{partial|LibreOffice Draw}}[20], {{yes|LibreOffice Math}}, {{yes|LibreOffice Base}}, {{partial|Import/Export capabilities with ProjectLibre and others}}[19], {{yes|LibreOffice Draw}}, {{no}}, {{no}}, {{no}}
 Lotus SmartSuite, {{yes|Lotus Word Pro}}, {{yes|Lotus 1-2-3}}, {{yes|Lotus Freelance Graphics}}, {{no}}, {{yes|Lotus Freelance Graphics}}, {{no}}, {{no}}, {{no}}, {{yes|built in}}, {{yes|Lotus Approach}}, {{yes|Lotus Organizer}}, {{no}}, {{no}}, {{no}}, {{no}}
 MarinerPak, {{yes|Mariner Write}}, {{yes|Mariner Calc}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
 Microsoft Office, {{yes|Microsoft Word}}, {{yes|Microsoft Excel}}, {{yes|Microsoft PowerPoint}}, {{yes|Microsoft OneNote}}, {{partial|Microsoft Visio (Viewer; Separate product purchase required)}}, {{no}}, {{partial|Microsoft Visio (Viewer; Separate product purchase required)}}, {{partial|Microsoft Office Picture Manager (Discontinued as of 2011; Word and PowerPoint have some functionality)}}[21], {{yes|Equation Editor}}, {{yes|Microsoft Access (Professional and Professional Plus)}}, {{partial|Microsoft Project (Separate product purchase required)}}, {{yes|Microsoft Publisher (Standard  Professional and Professional Plus)}}, {{yes|Microsoft Teams}}, {{yes|Microsoft Outlook}}, {{yes|OneDrive}}
 Microsoft Works (Discontinued in 2009), {{yes|Microsoft Works Word Processor}}, {{yes|Microsoft Works Spreadsheet}}, {{partial|Microsoft Office PowerPoint (Viewer)}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes|Microsoft Works Database}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
