, Language, License, Mutual auth, Encrypts, Verify mode, Agent-less, Have a GUI, First release, Latest stable release
Ansible, Python, GPLv3+, {{yes}}[1], {{yes}}[2], {{yes}}, {{yes}}, {{yes}}[3], 2012-03-08, 2018-12-13 2.7.5[4][5][6]
Bcfg2, Python, BSD 2-clause[7], {{yes}}[8], {{yes}}[9], {{yes}}[10], {{no}}, {{yes}}[11], 2004-08-11[12], 2015-06-11 1.3.6[12]
Capistrano, Ruby, MIT License, , {{yes}}[2], , {{yes}}[2], {{no}}, 2005, 2017-03-08 4.4.2
cdist, Python, GPLv3+, {{yes}}[1], {{yes}}[2], , {{yes}}, , 2010, 2018-04-20 4.8.4[13]
Chef, Ruby  Erlang, Apache 2.0, {{yes}}[14], {{yes}}[15], {{yes}}[16][17], {{no}}, {{yes}}, 2009-01-15 0.5.0, 2019-01-28 14.10.9 (client) [18] 2018-02-13 12.17.33 (server)[19]
CFEngine, C[20], GPLv3[21], {{yes}}[1], {{yes}}[22], {{yes}}[23][24], {{no}}, {{yes}}[25], 1993, 2019-12-18 3.15.0 [26] 2019-12-06 3.12.3 [27] 2019-12-06 3.10.7[28]
ISconf, Python, GPL[29], {{yes}}[30], {{no}}[31], , , , 1998, 2006-08-13 4.2.8.233
Juju, Python  Go[32], Affero General Public License, {{yes}}[1], {{yes}}[9], {{no}}, {{no}}, {{yes}}[33], 2010-09-17[34], 2019-10-30 2.7.0[35]
Local ConFiGuration system (LCFG), Perl, GPL, {{partial}}[36], {{partial}}[37], , , , 1994, Weekly Releases
NOC, Python, BSD License 2.0, {{yes}}[1], {{yes}}[2], {{yes}}, {{yes}}, {{yes}}, 2012-03-08, 2015-05-20 15.05.1[38]
OCS Inventory NG with GLPI, Perl  PHP  C++, GPL, {{no}}[39], {{yes}}[9], , {{no}}, , 2003, 2014-07-13[40]
Open pc server integration (Opsi), Python  Java, GPL, {{no}}, {{yes}}[9], , {{no}}, , 2004, 2013-03-01 4.0.3
PIKT, C, GPLv2+[41], {{yes}}[42], {{yes}}[43], , {{no}}, , 1998[44], 2007-09-10 1.19.0
Puppet, C++ & Clojure from 4.0 [45] Ruby before then, Apache from 2.7.0  GPL before then, {{yes}}[46], {{yes}}[9], {{yes}}[47][48], {{no}}, {{yes}}[49], 2005-08-30[50], 2019-01-15 6.0.5[51]
Quattor, Perl  Python, Apache 2.0[52][53], {{yes}}[54], {{yes}}[55], , , , 2005-04-01[56], 2018-07-3 18.6.0[57]
Radmind, C, BSD[58], {{yes}}[59], {{yes}}[60], , {{no}}, , 2002-03-26[61], 2008-10-08 1.13.0[62]
Rex, Perl, Apache, {{yes}}[1], {{yes}}[2], , {{yes}}, , 2010-11-05 0.9.0[63], 2017-12-03 1.6.0[64]
Rudder, C  Scala and Rust, GPLv3 and Apache 2.0[65], {{yes}}[1], {{yes}}[9], {{yes}}[66][67], {{no}}, {{yes}}, 2011-10-31, 2019-05-12 5.0.15[68]
SmartFrog, Java, LGPL, {{yes}}[69], {{yes}}[69], , {{no}}, , 2004-02-11, 2009-01-26 3.16.004[70][71]
Salt[72], Python[73], Apache 2.0[74], {{yes}}[75], {{yes}}[75], {{yes}}, Both[76][77], {{yes}}[78][79], 2011-03-17 0.6.0[80], 2019-02-25 v2019.2.0[81]
Spacewalk, Java (C  Perl  Python  PL/SQL), GPLv2, {{yes}}, {{yes}}, , {{no}}, , 2008-06[82], 2019-01-14 2.9[83]
STAF, C++, CPL[84], {{no}}[85][86], {{partial}}[87], , {{no}}, , 1998-02-16[88], 2012-12-16 3.4.16 [89]
Synctool[90], Python[91], GPLv2[92], {{yes}}[93], {{yes}}[2], {{yes}}[94], {{yes}}[95], , 2003[96], 2014-06-15 6.1[97]
, Language, License, Mutual auth, Encrypts, Verify mode, Agent-less, Have a GUI, First release, Latest stable release
