Name, License, Kernel type, Kernel programming language, Kernel thread support, OS family, Oldest non-EOL version{{r|group=Note|a1}}, Forks
Linux, {{free|GPL/LGPL}}, Monolithic with modules, C, 1:1, Unix-like, 3.16, elks
FreeBSD, {{free|BSD; GPL  LGPL software usually included}}, Monolithic with modules, C, 1:1, BSD  Unix-like, 11, DragonFly BSD
OpenBSD, {{free|BSD}}, Monolithic, C, 1:1, BSD  Unix-like, 6.4, MirOS
NetBSD, {{free|BSD}}, Monolithic with modules, C, 1:1, BSD  Unix-like, 7.0, OpenBSD
DragonFly BSD, {{free|BSD}}, Hybrid, C, 1:1, BSD  Unix-like, {{no}}, 
OpenSolaris  illumos, {{free|CDDL}}, Monolithic with modules, C, 1:1  M:N, Unix, {{no}}, 
AuroraUX, {{free|BSD/CDDL}}, Monolithic with modules, C  Ada, 1:1  M:N, Unix, {{no}}, 
Darwin  OpenDarwin, {{free|APSL}}, Hybrid, C  C++{{r|group=Note|a3}}, 1:1, BSD  Unix  Unix-like  OS X, {{no}}, 
MINIX, {{free|BSD}}, Microkernel, C, , Unix-like, {{no}}, 
RedoxOS, {{free|MIT}}, Microkernel, Rust, , Unix-like, {{no}}, 
FreeRTOS, {{free|modified GPL}}, RTOS, C, , RTOS, {{no}}, 
FreeDOS, {{free|GPL}}, Monolithic, C, , DOS, 1.1, 
Genode, {{free|AGPL}}, Microkernel, C++, 1:1, Genode, , 
Haiku, {{free|MIT}}, Hybrid, C  C++, , BeOS, {{no}}, TiltOS
House, {{free|BSD}}, , Haskell, , own/original, {{no}}, 
KolibriOS, {{free|GPL}}, Monolithic, ASM, , MenuetOS, {{no}}, 
MenuetOS, {{partial|Menuet 64  commerce excluded}}, Monolithic, ASM, , own/original, {{no}}, KolibriOS
GNU, {{free|GPL}}, {{URL|https://www.gnu.org/software/hurd/faq/multiserver_microkernel.html|Multiserver Microkernel}} (Hurd kernel) or Monolithic (Linux-libre kernel  fork of Linux kernel  and other kernels which are not part of the GNU Project), C, 1:1, Unix-like, 2.4 on Linux-libre kernel (not on Hurd kernel), Linux
ReactOS, {{free|GPL  LGPL}}, Hybrid, C  C++, , Windows-like, {{no}}, 
RISC OS, {{free|Apache 2.0}}, Monolithic (with co-operative multitaslking), ARM assembly, {{na}}, RISC OS, {{no}}, RISC OS 6
L4  Fiasco  Pistachio, {{free|Some GPL  some BSD}}, Microkernel, C++, , L4, {{no}}, 
Plan 9, {{free|LPL}}, Hybrid, C, 1:1  1:M Cothread style., own  Unix informed, {{no}}, Inferno  Plan B
AROS, {{free|APL}}, Exokernel, C, , AmigaOS, {{no}}, 
Syllable, {{free|GPL}}, Monolithic with modules, C  C++, 1:1, Unix-like  BeOS  AmigaOS  POSIX, {{no}}, 
Inferno, {{free|GPL  LGPL; MIT}}, , C, , Plan 9, {{no}}, OzInferno
NuttX, {{free|BSD}}, RTOS, C, , RTOS, {{no}}, 
eCos, {{free|modified GPL  eCos}}, RTOS, C  C++, , RTOS, {{no}}, 
RTEMS, {{free|modified GPL  BSD  Stanford}}, RTOS, C and ASM with native support for other languages including C++ and Ada, POSIX  RTEID/ORKID  uITRON, RTOS, 4.7.1, 
HelenOS, {{free|BSD}}, Microkernel, C, M:N, own/original, {{no}}, 
E/OS, {{free|GPLv2}}, Monolithic, ASM  C, 1:1, BeOS  Unix-like, {{no}}, 
TempleOS, {{free|public domain}}, Monolithic, HolyC  C  C++, , Commodore 64-like, {{no}}, -, V2 OS, , , , , , , 
K42, , , , , , , 
UnixLite, , , , , , , -->
Name, License, Kernel type, Kernel programming language, Kernel thread support, OS family, Oldest non-EOL version, Forks
