Driver, Chipset, Integration, Free firmware[45], License, Original/Primary developer, Development, Free software[46]
acx, Texas Instruments ACX100/ACX111, Integrated, {{No}}[47], BSD, Ported from DragonFlyBSD, Reverse engineering, {{yes}}
an, Aironet 4500/4800  Cisco Aironet 340/350, Integrated, {{n/a}}, BSD, , , {{yes}}
ath, Atheros AR5210/ AR5211/ AR5212, Integrated, {{n/a}}[4], BSD, , Reverse engineering, {{yes}}
athn, Atheros AR5416/AR9160/AR928X, Integrated (since 4.7), {{yes}}[48], BSD, Damien Bergamini, Partly based on the ath9k driver for Linux, {{yes}}
atu, Atmel AT76C503/ AT76C503A/ AT76C505/ AT76C505A, Integrated, {{Yes}}[49], BSD, , Reverse engineering, {{yes}}
atw, ADMtek ADM8211, Integrated, {{n/a}}, BSD, , Documentation based, {{yes}}
awi, BayStack 650, 2.7 to 4.3, {{n/a}}, BSD, , , {{yes}}
bwi, Broadcom BCM430x/4318, Integrated, {{No}}, BSD, Sepherosa Ziehau, Ported from DragonFly BSD, {{yes}}
cnw, NetWave AirSurfer, 2.6 to 6.0, {{n/a}}, BSD, , , {{yes}}
ipw, Intel PRO/Wireless 2100, Integrated, {{No}}[50], BSD, Damien Bergamini, Reverse engineering, {{yes}}
iwi, Intel PRO/Wireless 2200BG/ 2225BG/ 2915ABG, Integrated, {{No}}[51], BSD, Damien Bergamini, Reverse engineering, {{yes}}
iwn, Intel Wireless WiFi Link 4965/ 5000/ 1000/ 6000, Integrated, {{No}}[52], BSD, Damien Bergamini, Reverse engineering, {{yes}}
iwm, Intel Wireless WiFi Link 3160ac/ 7260ac/ 7265ac, Integrated (since 5.8), {{No}}[53], BSD, Antti Kantee [54] Stefan Sperling, Based on iwn  and iwlwifi driver released by Intel for Linux under dual GPLv2/BSD license[55], {{yes}}
malo, Marvell 88W8335/ 88W8310, Integrated, {{No}}[56], BSD, Marcus Glocker and Claudio Jeker, Reverse engineering[57], {{yes}}
otus, Atheros AR9170, Integrated (since 4.6), {{No}}[58], BSD, Damien Bergamini, Based on source code released by Atheros for Linux under the ISC, {{yes}}
pgt, Conexant/Intersil Prism GT Full-MAC ISL3877  ISL3880  and ISL3890 chips, Integrated, {{No}}[59], BSD, Ported from FreeBSD, Reverse engineering[60], {{yes}}
ral/ural, Ralink RT2500  RT2501  RT2600  RT2700  RT2800  RT3090  RT3292  RT3592 and RT5390 (ral)  RT2500USB (ural), Integrated, {{Yes}}[61], BSD, Damien Bergamini, Documentation based, {{yes}}
ray, Raytheon Raylink/WebGear Aviator IEEE 802.11FH, 2.7 to 5.4, {{n/a}}, BSD, , , {{yes}}
rsu, Realtek RTL8188SU/RTL8191SU/RTL8192SU, Integrated (since 4.9), {{No}}, BSD, Damien Bergamini, Reverse engineering, {{yes}}
rtw, Realtek RTL8180L, Integrated, {{n/a}}, BSD, Ported from NetBSD, Documentation based, {{yes}}
rtwn, Realtek RTL8188CE/RTL8192CE, Integrated, {{No}}[62], BSD, Stefan Sperling, Based on urtwn driver., {{yes}}
rum, Ralink RT2501USB/ RT2601USB, Integrated, {{Yes}}[42], BSD, Niall O'Higgins and Damien Bergamini, Documentation based, {{yes}}
run, Ralink RT2700U/ RT2800U/ RT3000U, Integrated, {{Yes}}[42], BSD, Damien Bergamini, Documentation based, {{yes}}
uath, Atheros AR5005UG/ AR5005UX, Integrated, {{No}}[63], BSD, Damien Bergamini, Reverse Engineering[60], {{yes}}
upgt, GW3887 (Conexant/Intersil PrismGT series), Integrated, {{No}}[64], BSD, Marcus Glocker, Reverse engineering, {{yes}}
urtw, Realtek RTL8187L, Integrated, {{n/a}}, BSD, Weongyo Jeong (FreeBSD), ?, {{yes}}
urtwn, Realtek RTL8188CU/RTL8192CU, Integrated (since 4.9), {{No}}, BSD, Damien Bergamini, Reverse engineering, {{yes}}
wi, Lucent Hermes (WaveLAN/ ORiNOCO); Intersil PRISM-2  PRISM-2.5  PRISM-3; Symbol Spectrum24, Integrated, Yes for Spectrum24[65] and N/A for others, BSD, Bill Paul, Documentation based, {{yes}}
wpi[66], Intel PRO/Wireless 3945ABG, Integrated, {{No}}[67], BSD, Damien Bergamini, Reverse engineering, {{yes}}
zyd, ZyDAS ZD1211/ZD1211B, Integrated, {{Yes}}[68], BSD, Florian Stoehr  Damien Bergamini  and Jonathan Gray, Documentation based, {{yes}}
