Kernel Name, a.out, ECOFF, ELF, FDPIC ELF binaries (mmu less), flat binaries (superH), HUNK, Mach-O, Misc (wrapper based  like interpreters), PE, SOM (PA-RISC  HP-UX), NLM, PEF, DOS COM, MZ, LE, LX, NE
Amiga Exec, {{No}}, {{No}}, {{Yes}}[19], {{No}}, {{No}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
DragonFly BSD kernel, {{No}}, {{No}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}
HP-UX kernel, {{No}}, {{No}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{No}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
Linux kernel, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{No}}, {{Yes}}, {{some}}[20], ! -->binfmt_misc, ! --> and run them using Wine, {{Yes}}, {{dunno}}, {{No}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
MINIX 3 kernel, {{Some}}[7][8], {{No}}, {{Yes}}[6], {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
NetBSD kernel, {{Yes}}, {{Yes}}, {{Yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{Yes}}, {{dunno}}, {{Yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
ReactOS kernel, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{Yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
Solaris kernel, {{Yes}}[21], {{No}}, {{Yes}}[22], {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{some}}[23], {{No}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
Windows NT kernel, {{No}}, {{No}}, {{Yes|Yes with WSL}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{partial |Yes on x86}}, {{partial |Yes on x86}}, {{dunno}}, {{dunno}}, {{partial |Yes on x86}}
XNU, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{Yes}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}, {{No}}
