Vehicle, Origin, Manufacturer, Payload mass to ... (kg), Launches{{efn|group=note|Suborbital flight tests and on-pad explosions are excluded  but launches failing en route to orbit are included.}}, Date of flight
 LEO, GTO, Other, First{{efn|group=note|Effective year for active rockets  planned year for rockets in development}}, Latest
 Alpha, {{USA}}, Firefly Aerospace, {{nts|1000}}[5], , {{nts|600}} to SSO, {{nts|0}}, 2020[6], 
 Angara 1.2, {{RUS}}, Khrunichev, {{nts|3500}}[7], , {{nts|2400}} to SSO, {{nts|0}}, 2020[8]{{efn|group=note|A suborbital flight was conducted in 2014 as Angara-1.2pp  testing only the first and second stages.[9]}}, 
 Angara 3, {{RUS}}, Khrunichev, {{nts|14000}}[7], {{nts|2400}} to GTO, {{nts|1000}} to GSO, {{nts|0}}, {{abbr|TBA|To be announced}}[8], 
 Angara A5, {{RUS}}, Khrunichev, {{nts|24000}}[7], {{nts|7500}} with KVTK {{nts|5400}} with Briz-M [7], , {{nts|1}}, 2014, 2014
 Antares 230, {{USA}}, NG Innovation, {{nts|7800}}[10], , {{nts|3000}} to SSO{{efn|group=note|name=500km}}, {{nts|5}}[11], 2016, 2019
 Ariane 5 ECA, {{flag|Europe}}, EADS Astrium, {{nts|21000}}[12], {{nts|10 865}}[13]{{efn|group=note|Upgraded to 11 115 kg by 2020[14]}}, , {{nts|72}}[15], 2002, 2019
 Ariane 6 A62, {{flag|Europe}}, ArianeGroup, {{nts|10 350}}[16]{{rp|45}}, {{nts|5 000}}[16]{{rp|33}}, {{nts|6 450}} to SSO {{nts|3 000}} to HEO {{nts|3 000}} to TLI [16]{{rp|40–49}}, {{nts|0}}, 2020[17][18], 
 Ariane 6 A64, {{flag|Europe}}, ArianeGroup, {{nts|21 650}}[16]{{rp|46}}, {{nts|11 500}}+ [16]{{rp|33}}, {{nobr|{{nts|14 900}} to SSO}} {{nts|5 000}} to GEO {{nts|8 400}} to HEO {{nts|8 500}} to TLI [16]{{rp|40–49}}, {{nts|0}}, 2021–2022[17], 
 Atlas V 401, {{USA}}, ULA, {{nts|9050}}[19], {{nts|4 950}}, {{nts|6 670}} to SSO, {{nts|38}}[19], 2002, 2018
 Atlas V 411, {{USA}}, ULA, {{nts|9050}}[19], {{nts|6 075}}, {{nts|8 495}} to SSO, {{nts|5}}[19], 2006, 2018
 Atlas V 421, {{USA}}, ULA, {{nts|9050}}[19], {{nts|7 000}}, {{nts|9 050}} to SSO, {{nts|7}}[19], 2007, 2017
 Atlas V 431, {{USA}}, ULA, {{nts|9050}}[19], {{nts|7 800}}, {{nts|9 050}} to SSO, {{nts|3}}[19], 2005, 2016
 Atlas V 501, {{USA}}, ULA, {{nts|8250}}[19], {{nts|3 970}}, {{nts|5 945}} to SSO 1 500 to GEO, {{nts|6}}[19], 2010, 2015
 Atlas V 511, {{USA}}, ULA, {{nts|10950}}[19], {{nts|5 370}}, {{nts|7 820}} to SSO 1 750 to GEO, {{nts|0}}, –, 
 Atlas V 521, {{USA}}, ULA, {{nts|13300}}[19], {{nts|6 485}}, {{nts|9 585}} to SSO 2 760 to GEO, {{nts|2}}[19], 2003, 2004
 Atlas V 531, {{USA}}, ULA, {{nts|15300}}[19], {{nts|7 425}}, {{nts|11 160}} to SSO 3 250 to GEO, {{nts|3}}[19], 2010, 2013
 Atlas V 541, {{USA}}, ULA, {{nts|17100}}[19], {{nts|8 240}}, {{nts|12 435}} to SSO 3 730 to GEO, {{nts|6}}[19], 2011, 2018
 Atlas V 551, {{USA}}, ULA, {{nts|18500}}[19], {{nts|8 700}}, {{nts|13 550}} to SSO 3 960 to GEO, {{nts|10}}[19], 2006, 2019
 Atlas V 552, {{USA}}, ULA, {{nts|20 520}}[20], , , {{nts|0}}, 2020[21], 
 Atlas V N22{{efn|group=note|for Starliner[22]}}, {{USA}}, ULA, {{nts|13 000}}[23], , , {{nts|0}}, 2019[24], 
 Beta, {{USA}}, Firefly Aerospace, {{nts|4000}}[25], {{ntsh|0}}{{abbr|TBA|To be announced}}, {{nts|3000}} to SSO, {{nts|0}}, {{abbr|TBA|To be announced}}, 
 Starship[26] (BFR[27]) (reusable), {{USA}}, SpaceX, {{nts|150000}}[28], {{nts|40000}}[29], {{nts|100000}}+ to TMI[26]{{efn|name=refuel|group=note|With in-orbit refueling}} {{nts|100000}}+ to TLI[26]{{efn|name=refuel|group=note}}, {{nts|0}}, 2020[30]{{efn|group=note|First tests of the second stage spacecraft planned for 2019[31]}}, 
 Bloostar, {{flag|Spain}}, Zero 2 Infinity, {{nts|140}}[32], , {{nts|75}} to SSO[32], {{nts|0}}, 2019[33], 
 Chetak, {{IND}}, Bellatrix Aerospace[34][35], , , {{nts|150}} to SSO{{efn|name=700km|group=note}}[36], {{nts|0}}, 2022[37][38], 
 Cyclone-4M, {{UKR}}, Yuzhnoye Yuzhmash, {{nts|5000}}[39], {{nts|1000}}[40], {{nts|3350}} to SSO[39], {{nts|0}}, 2020[39], 
 Delta IV Heavy, {{USA}}, ULA, {{nts|28790}}[41], {{nts|14220}}, {{nts|23560}} to polar {{nts|10000}} to TLI {{nts|8000}} to TMI, {{nts|11}}[42], 2004, 2019
 Electron, {{USA}} {{NZL}}, Rocket Lab, {{nts|225}}[43], , {{nts|150}} to SSO, {{nts|9}}[44], 2017, 2019
 Epsilon, {{JPN}}, IHI[45], {{nts|1500}}[46], , {{nts|590}} to SSO, {{nts|4}}[47], 2013, 2019
 Eris, {{AUS}} {{SIN}}, Gilmour Space Technologies, {{nts|400}}[48], , , {{nts|0}}, 2020[48], 
 Falcon 9 Full Thrust (partially reusable), {{USA}}, SpaceX, {{nts|16800}}+[49]{{efn|name=PAF-limit|group=note}}, {{nts|5 500}}[50]{{efn|group=note|GTO payload is 5 550 kg when the first stage lands downrange on a drone ship (ASDS). Reduced to 3 500 kg if the first stage returns to the launch site (RTLS).[51]}}, {{nts|9 600}} to polar[52], {{nts|44}}[53][54]{{efn|group=note|Additionally  one rocket exploded on the launch pad in 2016.[55]}}, 2015, 2019
 {{nobr|Falcon 9 Full Thrust}} (expended), {{USA}}, SpaceX, {{nts|22800}}[50]{{efn|name=PAF-limit|group=note|PAF structural limit: 10 886 kg[56]}}, {{nts|6 500}}[51]–8 300[50], {{nts|4 020}} to TMI, {{nts|10}}[57][58], 2017, 2019
 Falcon Heavy (partially reusable), {{USA}}, SpaceX, {{nts|30 000}}[59]–57 000[60], {{nts|8 000}}[50]–10 000{{efn|group=note|GTO payload is 8 000 kg when the core first-stage booster lands downrange on a drone ship (ASDS) and the side boosters return to the launch site (RTLS). Increased to 10 000 kg if all boosters land on drone ships.[51]}}, , {{nts|3}}[61][62], 2018, 2019
 Falcon Heavy (expended), {{USA}}, SpaceX, {{nts|63 800}}[50], {{nts|15 000}}[51]–26 700[50], {{nts|16 800}} to TMI, {{nts|0}}, – {{efn|group=note|As of 2019 Falcon Heavy has only flown in partially reusable configuration; fully expendable configuration is considered operational in the sense that it is a simplified version of the reusable configuration.}}, 
 GSLV Mk II, {{IND}}, ISRO, {{nts|5000}}[63], {{nts|2700}}[64]{{efn|group=note|GTO payload with enhanced engines  as of GSLV version 2A[65]}}, , {{nts|7}}[65], 2010, 2018
 GSLV Mk III, {{IND}}, ISRO, {{nts|8 000}}[66], {{nts|4 000}}, , {{nts|3}}[67], 2017{{efn|group=note|A suborbital test flight was conducted in 2014 (designated LVM-3/CARE) without the cryogenic upper stage (CUS).[68]}}, 2019
