Vehicle, Origin, Manufacturer, Mass to ... (kg), Launches {{small|(+ suborbital)}}, Date of flight
 LEO, GTO, Other, First, Last
 Antares 110–130, {{USA}}, Orbital, {{nts|5100}}[10], , {{nts|1500}} to SSO, {{nts|5}}[10], 2013, 2014
 Ariane 1, {{Flag|Europe}}, Aérospatiale, {{nts|1400}}, {{nts|1830}}[198], , {{nts|11}}[198], 1979, 1986
 Ariane 2, {{Flag|Europe}}, Aérospatiale, , {{nts|2270}}[198], , {{nts|6}}[198], 1986, 1989
 Ariane 3, {{Flag|Europe}}, Aérospatiale, , {{nts|2650}}[198], , {{nts|11}}[198], 1984, 1989
 Ariane 4 40, {{Flag|Europe}}, Aérospatiale, {{nts|4600}}[198], {{nts|2105}}, {{nts|2740}} to SSO, {{nts|7}}[198], 1990, 1999
 Ariane 4 42L, {{Flag|Europe}}, Aérospatiale, {{nts|7000}}[198], {{nts|3480}}, {{nts|4500}} to SSO, {{nts|13}}[198], 1993, 2002
 Ariane 4 42P, {{Flag|Europe}}, Aérospatiale, {{nts|6000}}[198], {{nts|2930}}, {{nts|3400}} to SSO, {{nts|15}}[198], 1990, 2002
 Ariane 4 44L, {{Flag|Europe}}, Aérospatiale, {{nts|7000}}[198], {{nts|4720}}, {{nts|6000}} to SSO, {{nts|40}}[198], 1989, 2003
 Ariane 4 44LP, {{Flag|Europe}}, Aérospatiale, {{nts|7000}}[198], {{nts|4220}}, {{nts|5000}} to SSO, {{nts|26}}[198], 1988, 2001
 Ariane 4 44P, {{Flag|Europe}}, Aérospatiale, {{nts|6500}}[198], {{nts|3465}}, {{nts|4100}} to SSO, {{nts|15}}[198], 1991, 2001
 Ariane 5 G, {{flag|Europe}}, EADS Astrium, {{nts|18000}}[15], {{nts|6900}}[15], , {{nts|16}}[15], 1996, 2003
 Ariane 5 G+, {{flag|Europe}}, EADS Astrium, , {{nts|7100}}[15], , {{nts|3}}[15], 2004, 2004
 Ariane 5 GS, {{flag|Europe}}, EADS Astrium, {{nts|16000}}[199], {{nts|6600}}[15], , {{nts|6}}[15], 2005, 2009[200]
 Ariane 5 ES, {{flag|Europe}}, EADS Astrium, {{nts|21000}}[12], {{nts|8000}}[15], , {{nts|8}}[15], 2008, 2018
 ASLV, {{IND}}, ISRO[201], {{nts|150}}[202], , , {{nts|4}}[202], 1987, 1994
 Athena I, {{USA}}, Lockheed Martin, {{nts|795}}[203], {{nts|515}}, , {{nts|4}}[204], 1995, 2001
 Athena II, {{USA}}, Lockheed Martin, {{nts|1800}}[205], , , {{nts|3}}[206], 1998, 1999[207]
 Atlas-Centaur, {{USA}}, Lockheed, {{nts|1134}}[208], {{nts|2222}}[209], , {{nts|148}}, 1962, 1983
 Atlas G, {{USA}}, Lockheed, {{nts|5900}}[210], {{nts|2222}}, {{nts|1 179}} to HCO[210], {{nts|7}}[210], 1984, 1989
 Atlas H/MSD, {{USA}}, Lockheed, {{nts|3630}}[211], , , {{nts|5}}, 1983, 1987
 Atlas I, {{USA}}, Lockheed Martin, {{nts|5900}}[210], {{nts|2340}}[210], , {{nts|11}}[210], 1990, 1997
