Engine, Origin, Designer, Vehicle, Use, Propellant, Specific impulse (s){{efn|name=VSL|At sea level if denoted SL  in vacuum otherwise}}, Thrust (N){{efn|name=VSL}}, Mass (kg), Thrust:{{zwsp}}weight ratio{{efn|Weight is calculated at standard gravity.}}, Chamber pressure (bar), Oxidiser:{{zwsp}}fuel ratio
Aeon 1, {{Flag|USA}}, Relativity Space, Terran 1, 1st, CH4?/?LOX, {{nts|310}}, {{nts|86 740}} (SL)[1], , , , 
Aeon 1 Vacuum, {{Flag|USA}}, Relativity Space, Terran 1, 2nd, CH4?/?LOX, {{nts|360}}, {{nts|100 085}} (SL)[2], , , , 
AJ-60A, {{Flag|USA}}, Aerojet, Atlas V, Booster, Solid, {{nts|275}}, {{nts|1 270 000}}[3], , , , 
AR1, {{Flag|USA}}, Aerojet Rocketdyne, Beta (potential)[4], 1st, RP-1?/?LOX, , {{nts|2 200 000}} (SL)[5], , , , {{nts|2.72}}
BE-3, {{Flag|USA}}, Blue Origin, New Shepard, 1st, LH2?/?LOX, , {{nts|490 000}}[6], , , , 
BE-3U, {{Flag|USA}}, Blue Origin, New Glenn, 2nd, LH2?/?LOX, , {{nts|710 000}}[7], , , , 
BE-4, {{Flag|USA}}, Blue Origin, New Glenn Vulcan, 1st, CH4?/?LOX, , {{nts|2 400 000}}[8][9], , , {{nts|134}}[10], 
CE-20, {{IND}}, LPSC, GSLV Mk III, Upper, LH2?/?LOX, {{nts|443}}, {{nts|200 000}}, {{nts|588}}, {{nts|34.7}}, {{nts|60.00}}, {{nts|5.05}}
CE-7.5, {{IND}}, LPSC, GSLV Mk II, Upper, LH2?/?LOX, {{nts|454}}[11], {{nts|73 500}} to {{nts|93 100}}, {{nts|445}}, {{nts|16.85}}, {{nts|58}}, 
Engine-2, {{Flag|USA}}, Launcher Space, Rocket-1, 1st, RP-1 / LOX, {{nts|327}}[12] {{nts|290}} (SL), {{nts|100 000}}[12], , , , {{nts|2.62}}
Engine-2 Vacuum, {{Flag|USA}}, Launcher Space, Rocket-1, 2nd, RP-1 / LOX, {{nts|365}}[12], {{nts|100 000}}[12], , , , {{nts|2.62}}
GEM 63, {{Flag|USA}}, Northrop Grumman, Atlas V, Booster, Solid, , {{nts|373 800}}[13], {{nts|49 300}}, , , 
GEM 63XL, {{Flag|USA}}, Northrop Grumman, Atlas V, Booster, Solid, , {{nts|450 000}}[14], {{nts|53 400}}, , , 
Hadley, {{Flag|USA}}, Ursa Major Technologies, GOLauncher 1[15], 1st, RP-1?/?LOX, , {{nts|22 241}} (SL)[16], , , , 
HM-7B, {{EUR}}, Snecma, Ariane 2 Ariane 3 Ariane 4 Ariane 5 ECA, Upper, LH2?/?LOX, {{nts|446}}[17] {{nts|310}} (SL)[18], {{nts|64 800}}[17] {{nts|43 600}} (SL)[18], {{nts|165}}[17], {{nts|43.25}}, {{nts|37}}[17], {{nts|5}}
LE-5B, {{JPN}}, Mitsubishi JAXA, H-IIA H-IIB, Upper, LH2?/?LOX, {{nts|447}}[19], {{nts|137 000}}, {{nts|269}}, {{nts|51.93}}, {{nts|36.0}}, {{nts|5}}
LE-7A, {{JPN}}, Mitsubishi JAXA, H-IIA H-IIB, 1st, LH2?/?LOX, {{nts|438}}[20] {{nts|338}} (SL)[20], {{nts|1 098 000}} {{nts|870 000}} (SL), {{nts|1 800}}, {{nts|62.2}}, {{nts|121}}, {{nts|5.9}}
Lightning 1[21], {{Flag|USA}}, Firefly Aerospace, Alpha, 2nd, RP-1?/?LOX, {{nts|322}}, {{nts|70 100}}, , , , 
Merlin 1D FT, {{Flag|USA}}, SpaceX, Falcon 9 FT Falcon Heavy, 1st, RP-1?/?LOX, {{nts|311}}, {{nts|914 000}}[22] {{nts|845 000}} (SL)[22], {{nts|470}}, {{nts|194.5}}[22], , 
Merlin Vacuum 1D, {{Flag|USA}}, SpaceX, Falcon 9 Falcon Heavy, 2nd, RP-1?/?LOX, {{nts|348}}[23], {{nts|934 000}}[23], , , , {{nts|2.36}}
Mira (LM10), {{Flag|Italy}}, Avio, Vega E[24], 3rd[24], CH4?/?LOX[24], {{nts|362.3}}[24], {{nts|98 100}}[24], {{nts|250}}[24], {{nts|40}}[24], , {{nts|3.4}}[24]
NewtonThree, {{Flag|USA}}, Virgin Galactic, LauncherOne, Booster, RP-1?/?LOX, , {{nts|266 893}}[25], , , , 
NewtonFour, {{Flag|USA}}, Virgin Galactic, LauncherOne, 2nd, RP-1?/?LOX, , {{nts|22 241}}[25], , , , 
NK-33A (AJ26-62) 11?111?/?14?15, {{Flag|USSR}}, JSC Kuznetsov, Antares 100 Soyuz-2-1v, 1st, RP-1?/?LOX, {{nts|331}}[26] {{nts|297}} (SL), {{nts|1 680 000}} {{nts|1 510 000}} (SL), {{nts|1 222}}, {{nts|136.8}}, {{nts|145}}, 
P80[27][28]{{rp|5}}[29], {{EUR}}, , Vega, 1st, HTPB, {{nts|280}}, {{nts|2 261 000}}, {{nts|96 000}} with fuel, , , 
P120C[30], {{EUR}}, , Ariane 6 Vega-C, Booster  1st, HTPB[31], {{nts|279}}[30], {{nts|4 650 000}}[30], {{nts|161 000}} with fuel[30], , , 
P230, {{EUR}}, SNPE and Avio Spa (Italy), Ariane 5, Booster, HTPB, {{nts|286}}[32] {{nts|259}} (SL), {{nts|6 470 000}} {{nts|5 860 000}} (SL), {{nts|269 000}} with fuel[32], , , 
S139, {{IND}}, SDSC, PSLV, 1st, HTPB, {{nts|269}}[33], {{nts|486 0000}}, {{nts|160 200}} with fuel, , {{nts|58}}, 
Raptor[34], {{Flag|USA}}, SpaceX, Starship, 1st  2nd, CH4?/?LOX, {{nts|356}}[35] {{nts|330}} (SL), {{nts|1 700 000}} (SL), {{nts|1360|prefix=~}} (goal)[36], {{nts|170|prefix=?}} (goal)[36], {{nts|300}}[37], {{nts|3.6}}[38]
Raptor Vacuum[34], {{Flag|USA}}, SpaceX, Starship, 2nd, CH4?/?LOX, {{nts|380}}+[39], {{nts|1 900 000}}[35], {{nts|1360|prefix=~}} (goal)[36], {{nts|120|prefix=?}} (goal)[36], {{nts|300}}[37], {{nts|3.6}}[38]
RD-0124 14?23, {{RUS}}, KBKhA, Soyuz-2.1b Soyuz-2-1v Angara, 2nd  3rd, RP-1?/?LOX, {{nts|359}}[40], {{nts|294 300}}, {{nts|520}}, {{nts|57.7}}, {{nts|160}}, 
RD-0146D, {{RUS}}, KBKhA, Angara, Upper, LH2?/?LOX, {{nts|470}}[41], {{nts|68 600}}, , , {{nts|59}}, 
RD-107A 14?22, {{RUS}}, NPO Energomash, Soyuz-FG Soyuz-2, 1st, RP-1?/?LOX, {{nts|320.2}}[42] {{nts|263.3}} (SL), {{nts|1 019 892}} {{nts|839 449}} (SL), {{nts|1 090}}, {{nts|78.53}}, {{nts|61.2}}, 
RD-108A 14?21, {{RUS}}, NPO Energomash, Soyuz-FG Soyuz-2, 2nd, RP-1?/?LOX, {{nts|320.6}}[42] {{nts|257.7}} (SL), {{nts|921 825}} {{nts|792 377}} (SL), {{nts|1 075}}, {{nts|75.16}}, {{nts|55.5}}, 
RD-171M{{efn|name=RD-170|Most powerful multi-chamber rocket engine in the world}}11?520, {{RUS}}, NPO Energomash, Zenit-2M Zenit-3SL Zenit-3SLB Zenit-3SLBF Soyuz-5, 1st, RP-1?/?LOX, {{nts|337.2}}[43] {{nts|309.5}} (SL), {{nts|7 904 160}} {{nts|7 256 921}} (SL), {{nts|9 300}}, {{nts|79.57}}, {{nts|250}}, 
