Name, Lexer algorithm, Output languages, Grammar  code, Development platform, License
Alex, DFA, Haskell, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  BSD
AnnoFlex, DFA, Java, {{D-A|Mixed}}, {{Some|Java virtual machine}}, {{Free}}  BSD
AustenX, DFA, Java, {{D-P|Separate}}, {{Yes|All}}, {{Free}}  BSD
Booze-tools, DFA, state machine is runtime-generated or saved as JSON, {{D-A|Mixed}}, {{Some|Python}}, {{Free}}  public domain
C# Flex, DFA, C#, {{D-A|Mixed}}, {{Some|.NET CLR}}, {{Free}}  GNU GPL
C# Lex, DFA, C#, {{D-A|Mixed}}, {{Some|.NET CLR}}, ?
CookCC, DFA, Java, {{D-A|Mixed}}, {{Some|Java virtual machine}}, {{Free}}  Apache 2.0
DFAlex, DFA, no code generation required, Java, {{Some|Java}}, {{Free}}  Apache 2.0
Dolphin, DFA, C++, {{D-P|Separate}}, {{Yes|All}}, {{Proprietary}}
Flex, DFA table driven, C  C++, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  BSD
gelex, DFA, Eiffel, {{D-A|Mixed}}, {{Some|Eiffel}}, {{Free}}  MIT
golex, DFA, Go, {{D-A|Mixed}}, {{Some|Go}}, {{Free}}  BSD-style
gplex, DFA, C#, {{D-A|Mixed}}, {{Some|.NET CLR}}, {{Free}}  BSD-like
JFlex, DFA, Java, {{D-A|Mixed}}, {{Some|Java virtual machine}}, {{Free}}  BSD
JLex, DFA, Java, {{D-A|Mixed}}, {{Some|Java virtual machine}}, {{Free}}  BSD-like
lex, DFA, C, {{D-A|Mixed}}, {{Some|POSIX}}, {{Partial}}  proprietary  CDDL
lexertl, DFA, C++, ?, {{Yes|All}}, {{Free}}  GNU LGPL
LRSTAR, DFA, C++, {{D-P|Separate}}, {{Some|Windows}}, {{Free}}  BSD
Quex, DFA direct code, C  C++, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  GNU LGPL
Ragel, DFA, C  C++  assembly, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  GNU GPL  MIT[1][1]
RE/flex, DFA direct code  DFA table driven  and NFA regex libraries, C++, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  BSD
re2c, DFA direct code, C, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  public domain
