Name, Parsing algorithm, Input grammar notation, Output languages, Grammar  code, Lexer, Development platform, IDE, License
ANTLR4, ALL(*)[2], EBNF, C#  Java  Python  JavaScript  C++  Swift  Go  PHP, {{D-A|Mixed}}, generated, {{Some|Java virtual machine}}, {{Yes}}, {{Free}}  BSD
ANTLR3, LL(*), EBNF, ActionScript  Ada95  C  C++  C#  Java  JavaScript  Objective-C  Perl  Python  Ruby, {{D-A|Mixed}}, generated, {{Some|Java virtual machine}}, {{Yes}}, {{Free}}  BSD
APG, Recursive descent  backtracking, ABNF, C  C++  JavaScript  Java, {{D-P|Separate}}, none, {{Yes|All}}, {{No}}, {{Free}}  GNU GPL
AXE, Recursive descent, AXE/C++, C++17  C++11, {{D-A|Mixed}}, none, {{Some|Any with C++17 or C++11 standard compiler}}, {{No}}, {{Free}}  Boost
Beaver, LALR(1), EBNF, Java, {{D-A|Mixed}}, external, {{Some|Java virtual machine}}, {{No}}, {{Free}}  BSD
Belr, Recursive descent, ABNF, C++17  C++11, {{D-P|Separate}}, included, {{Some|POSIX}}, {{No}}, {{Partial}}  GNU GPL  proprietary
Bison, LALR(1)  LR(1)  IELR(1)  GLR, Yacc, C  C++  Java, {{D-A|Mixed}}, external, {{Yes|All}}, {{No}}, {{Free}}  GNU GPL with exception
Bison++[3], LALR(1), ?, C++, {{D-A|Mixed}}, external, {{Some|POSIX}}, {{No}}, {{Free}}  GNU GPL
Bisonc++, LALR(1), ?, C++, {{D-A|Mixed}}, external, {{Some|POSIX}}, {{No}}, {{Free}}  GNU GPL
Booze-tools, LALR(1) or LR(1) canonical or minimal, BNF with macros in place of EBNF, State machine can be runtime-generated or saved as JSON, {{D-A|Mixed}}  separable, included, {{Some|Python}}, {{No}}, {{Free}}  public domain
BtYacc, Backtracking Bottom-up, ?, C++, {{D-A|Mixed}}, external, {{Yes|All}}, {{No}}, {{Free}}  public domain
byacc, LALR(1), Yacc, C, {{D-A|Mixed}}, external, {{Yes|All}}, {{No}}, {{Free}}  public domain
BYACC/J, LALR(1), Yacc, C  Java, {{D-A|Mixed}}, external, {{Yes|All}}, {{No}}, {{Free}}  public domain
CL-Yacc, LALR(1), Lisp, Common Lisp, {{D-A|Mixed}}, external, {{Yes|All}}, {{No}}, {{Free}}  MIT
Coco/R, LL(1), EBNF, C  C++  C#  F#  Java  Ada  Object Pascal  Delphi  Modula-2  Oberon  Ruby  Swift  Unicon  Visual Basic .NET, {{D-A|Mixed}}, generated, {{Some|Java virtual machine  .NET Framework  Windows  POSIX (depends on output language)}}, {{No}}, {{Free}}  GNU GPL
CookCC, LALR(1), Java annotations, Java, {{D-A|Mixed}}, generated, {{Some|Java virtual machine}}, {{No}}, {{Free}}  Apache 2.0
CppCC, LL(k), ?, C++, {{D-A|Mixed}}, generated, {{Some|POSIX}}, {{No}}, {{Free}}  GNU GPL
CSP, LR(1), ?, C++, {{D-P|Separate}}, generated, {{Some|POSIX}}, {{No}}, {{Free}}  Apache 2.0
CUP, LALR(1), ?, Java, {{D-A|Mixed}}, external, {{Some|Java virtual machine}}, {{No}}, {{Free}}  BSD-like
Dragon, LR(1)  LALR(1), ?, C++  Java, {{D-P|Separate}}, generated, {{Yes|All}}, {{No}}, {{Free}}  GNU GPL
eli, LALR(1), ?, C, {{D-A|Mixed}}, generated, {{Some|POSIX}}, {{No}}, {{Free}}  GNU GPL  GNU LGPL
Tunnel Grammar Studio, Recursive descent  backtracking, ABNF, C++, {{D-P|Separate}}, generated, {{Some|Windows}}, {{Yes}}, {{Proprietary}}
Essence, LR(?), ?, Scheme 48, {{D-A|Mixed}}, external, {{Yes|All}}, {{No}}, {{Free}}  BSD
Eto.Parse, LL(k), BNF  EBNF or C#, N/A (state machine is runtime generated), {{D-P|Separate}}, internal, {{Some|.NET Framework}}, {{No}}, {{Free}}  MIT
eyapp, LALR(1), ?, Perl, {{D-A|Mixed}}, external or generated, {{Yes|All}}, {{No}}, {{Free}}  Artistic
Frown, LALR(k), ?, Haskell 98, {{D-A|Mixed}}, external, {{Yes|All}}, {{No}}, {{Free}}  GNU GPL
geyacc, LALR(1), ?, Eiffel, {{D-A|Mixed}}, external, {{Yes|All}}, {{No}}, {{Free}}  MIT
GOLD, LALR(1), BNF, x86 assembly language  ANSI C  C#  D  Java  Pascal  Object Pascal  Python  Visual Basic 6  Visual Basic .NET  Visual C++, {{D-P|Separate}}, generated, {{Some|Windows}}, {{Yes}}, {{Free}}  zlib modified
GPPG, LALR(1), Yacc, C#, {{D-P|Separate}}, external, {{Some|Windows}}, {{Yes}}, {{Free}}  BSD
Grammatica, LL(k), BNF dialect, C#  Java, {{D-P|Separate}}, generated, {{Some|Java virtual machine}}, {{No}}, {{Free}}  BSD
HiLexed, LL(*), EBNF or Java, Java, {{D-P|Separate}}, internal, {{Some|Java virtual machine}}, {{No}}, {{Free}}  GNU LGPL
Hime Parser Generator, LALR(1)  GLR, BNF dialect, C#  Java  Rust, {{D-P|Separate}}, generated, {{Some|.NET Framework  Java virtual machine}}, {{No}}, {{Free}}  GNU LGPL
Hyacc, LR(1)  LALR(1)  LR(0), Yacc, C, {{D-A|Mixed}}, external, {{Yes|All}}, {{No}}, {{Free}}  GNU GPL
Irony, LALR(1), C#, N/A (state machine is runtime generated), {{D-P|Separate}}, internal, {{Some|.NET Framework}}, {{Yes}}, {{Free}}  MIT
iyacc, LALR(1), Yacc, Icon, {{D-A|Mixed}}, external, {{Yes|All}}, {{No}}, {{Free}}  GNU LGPL
jacc, LALR(1), ?, Java, {{D-A|Mixed}}, external, {{Some|Java virtual machine}}, {{No}}, {{Free}}  BSD
JavaCC, LL(k), EBNF, Java  C++  JavaScript (via GWT compiler)[4], {{D-A|Mixed}}, generated, {{Some|Java virtual machine}}, {{Yes}}, {{Free}}  BSD
jay, LALR(1), Yacc, C#  Java, {{D-A|Mixed}}, none, {{Some|Java virtual machine}}, {{No}}, {{Free}}  BSD
JFLAP, LL(1)  LALR(1), ?, Java, ?, ?, {{Some|Java virtual machine}}, {{Yes}}, ?
JetPAG, LL(k), ?, C++, {{D-A|Mixed}}, generated, {{Yes|All}}, {{No}}, {{Free}}  GNU GPL
JS/CC, LALR(1), EBNF, JavaScript  JScript  ECMAScript, {{D-A|Mixed}}, internal, {{Yes|All}}, {{Yes}}, {{Free}}  BSD
KDevelop-PG-Qt, LL(1)  backtracking  shunting-yard, ?, C++, {{D-A|Mixed}}, generated or external, {{Yes|All  KDE}}, {{No}}, {{Free}}  GNU LGPL
Kelbt, Backtracking LALR(1), ?, C++, {{D-A|Mixed}}, generated, {{Some|POSIX}}, {{No}}, {{Free}}  GNU GPL
kmyacc, LALR(1), ?, C  Java  Perl  JavaScript, {{D-A|Mixed}}, external, {{Yes|All}}, {{No}}, {{Free}}  GNU GPL
Lapg, LALR(1), ?, C  C++  C#  Java  JavaScript, {{D-A|Mixed}}, generated, {{Some|Java virtual machine}}, {{No}}, {{Free}}  GNU GPL
Lark, LALR(1)  Earley  CYK, EBNF, Python (no generation  library), {{D-P|Separate}}, none, {{Yes|All}}, {{No}}, {{Free}}  MIT
Lemon, LALR(1), ?, C, {{D-A|Mixed}}, external, {{Yes|All}}, {{No}}, {{Free}}  public domain
LEPL, Recursive descent, Python, Python (no generation  library), {{D-P|Separate}}, none, {{Yes|All}}, {{No}}, {{Free}}  MPL  GNU LGPL
Lime, LALR(1), ?, PHP, {{D-A|Mixed}}, external, {{Yes|All}}, {{No}}, {{Free}}  GNU GPL
LISA, LR(?)  LL(?)  LALR(?)  SLR(?), ?, Java, {{D-A|Mixed}}, generated, {{Some|Java virtual machine}}, {{Yes}}, {{Free}}  public domain
LLgen, LL(1), ?, C, {{D-A|Mixed}}, external, {{Some|POSIX}}, {{No}}, {{Free}}  BSD
LLnextgen, LL(1), ?, C, {{D-A|Mixed}}, external, {{Yes|All}}, {{No}}, {{Free}}  GNU GPL
LLLPG, LL(k) + syntactic and semantic predicates, ANTLR-like, C#, {{D-A|Mixed}}, generated (?), {{Some|.NET Framework  Mono}}, {{Yes|Visual Studio}}, {{Free}}  GNU LGPL
LPG, Backtracking LALR(k), ?, Java, {{D-A|Mixed}}, generated, {{Some|Java virtual machine}}, {{No}}, {{Free}}  EPL
LRSTAR, LALR(1)  LR(1)  LR(*), EBNF  Yacc-like, C++, {{D-P|Separate}}, generated, {{Some|Windows}}, {{Yes|Visual Studio}}, {{Free}}  BSD
Menhir, LR(1), ?, OCaml, {{D-A|Mixed}}, generated, {{Yes|All}}, {{No}}, {{Free}}  QPL
ML-Yacc, LALR(1), ?, ML, {{D-A|Mixed}}, external, {{Yes|All}}, {{No}}, ?
Monkey, LR(1), ?, Java, {{D-P|Separate}}, generated, {{Some|Java virtual machine}}, {{No}}, {{Free}}  GNU GPL
Msta, LALR(k)  LR(k), YACC  EBNF, C  C++, {{D-A|Mixed}}, external or generated, {{Some|POSIX  Cygwin}}, {{No}}, {{Free}}  GNU GPL
MTP (More Than Parsing), LL(1), ?, Java, {{D-P|Separate}}, generated, {{Some|Java virtual machine}}, {{No}}, {{Free}}  GNU GPL
MyParser, LL(*), Markdown, C++11, {{D-P|Separate}}, internal, {{Some|Any with standard C++11 compiler}}, {{No}}, {{Free}}  MIT
NLT, GLR, C#/BNF-like, C#, {{D-A|Mixed}}, mixed, {{Some|.NET Framework}}, {{No}}, {{Free}}  MIT
ocamlyacc, LALR(1), ?, OCaml, {{D-A|Mixed}}, external, {{Yes|All}}, {{No}}, {{Free}}  QPL
olex, LL(1), ?, C++, {{D-A|Mixed}}, generated, {{Yes|All}}, {{No}}, {{Free}}  GNU GPL
parglare, Scannerless LALR(1)/SLR(1)/GLR, BNF-like  Python, N/A (state machine is runtime generated), {{D-A|Mixed}}, none, {{Yes|All}}, {{No}}, {{Free}}  MIT
Parsec, LL  backtracking, Haskell, Haskell, {{D-A|Mixed}}, none, {{Yes|All}}, {{No}}, {{Free}}  BSD
Parse::Yapp, LALR(1), ?, Perl, {{D-A|Mixed}}, external, {{Yes|All}}, {{No}}, {{Free}}  GNU GPL
Parser Objects, LL(k), ?, Java, {{D-A|Mixed}}, ?, {{Some|Java virtual machine}}, {{No}}, {{Free}}  zlib
PCCTS, LL, ?, C  C++, ?, ?, {{Yes|All}}, {{No}}, ?
PLY, LALR(1), BNF, Python, {{D-A|Mixed}}, generated, {{Yes|All}}, {{No}}, {{Free}}  MIT
PlyPlus, LALR(1), EBNF, Python, {{D-P|Separate}}, generated, {{Yes|All}}, {{No}}, {{Free}}  MIT
PRECC, LL(k), ?, C, {{D-P|Separate}}, generated, {{Some|DOS  POSIX}}, {{No}}, {{Free}}  GNU GPL
QLALR, LALR(1), ?, C++, {{D-A|Mixed}}, external, {{Yes|All}}, {{No}}, {{Free}}  GNU GPL
RPATK, Recursive descent  backtracking, BNF, C (no generation  library), {{D-P|Separate}}, none, {{Yes|All}}, {{No}}, {{Free}}  GNU GPL
SableCC, LALR(1), ?, C  C++  C#  Java  OCaml  Python, {{D-P|Separate}}, generated, {{Some|Java virtual machine}}, {{No}}, {{Free}}  GNU LGPL
SLK[5], LL(k) LR(k) LALR(k), EBNF, C  C++  C#  Java  JavaScript, {{D-P|Separate}}, external, {{Yes|All}}, {{No}}, SLK[6]
