Name, Parsing algorithm, Output languages, Grammar  code, Development platform, License
Arpeggio, PEG parser interpreter  Packrat, Python (no generation  interpreted), {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  MIT
AustenX, Packrat (modified), Java, {{D-P|Separate}}, {{Yes|All}}, {{Free}}  BSD
Aurochs, Packrat, C  OCaml  Java, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  GNU GPL
BNFlite, Recursive descent, C++, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  MIT
Canopy, Packrat, Java  JavaScript  Python  Ruby, {{D-P|Separate}}, {{Yes|All}}, {{Free}}  GNU GPL
CL-peg, Packrat, Common Lisp, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  MIT
Drat!, Packrat, D, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  GNU GPL
Frisby, Packrat, Haskell, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  BSD
grammar::peg, Packrat, Tcl, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  BSD
Grako, Packrat + Cut + Left Recursion, Python  C++ (beta), {{D-P|Separate}}, {{Yes|All}}, {{Free}}  BSD
IronMeta, Packrat, C#, {{D-A|Mixed}}, {{Some|Windows}}, {{Free}}  BSD
Katahdin, Packrat (modified)  mutating interpreter, C#, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  public domain
Laja, 2-phase scannerless top-down backtracking + runtime support, Java, {{D-P|Separate}}, {{Yes|All}}, {{Free}}  GNU GPL
lars::Parser, Packrat (supporting left-recursion and grammar ambiguity), C++, Identical, {{Yes|All}}, {{Free}}  BSD
LPeg, Parsing machine, Lua, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  MIT
lug, Parsing machine, C++17, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  MIT
Mouse, Recursive descent, Java, {{D-P|Separate}}, {{Some|Java virtual machine}}, {{Free}}  Apache 2.0
Narwhal, Packrat, C, {{D-A|Mixed}}, {{Some|POSIX  Windows}}, {{Free}}  BSD
Nearley, Earley, JavaScript, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  MIT
Nemerle.Peg, Recursive descent + Pratt, Nemerle, {{D-P|Separate}}, {{Yes|All}}, {{Free}}  BSD
neotoma, Packrat, Erlang, {{D-P|Separate}}, {{Yes|All}}, {{Free}}  MIT
NPEG, Recursive descent, C#, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  MIT
OMeta, Packrat (modified  partial memoization), JavaScript  Squeak  Python, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  MIT
PackCC, Packrat (modified), C, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  MIT
Packrat, Packrat, Scheme, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  MIT
Pappy, Packrat, Haskell, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  BSD
parboiled, Recursive descent, Java  Scala, {{D-A|Mixed}}, {{Some|Java virtual machine}}, {{Free}}  Apache 2.0
Lambda PEG, Recursive descent, Java, {{D-A|Mixed}}, {{Some|Java virtual machine}}, {{Free}}  Apache 2.0
parsepp, Recursive descent, C++, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  public domain
Parsnip, Packrat, C++, {{D-A|Mixed}}, {{Some|Windows}}, {{Free}}  GNU GPL
peg, Recursive descent, C, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  MIT
PEG.js, Packrat (partial memoization), JavaScript, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  MIT
peg-parser, PEG parser interpreter, Dylan, {{D-P|Separate}}, {{Yes|All}}, ?
Pegasus, Recursive descent  Packrat (selectively), C#, {{D-A|Mixed}}, {{Some|Windows}}, {{Free}}  MIT
pegc, Recursive descent, C, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  public domain
pest, Recursive descent, Rust, {{D-P|Separate}}, {{Yes|All}}, {{Free}}  MPL
PetitParser, Packrat, Smalltalk  Java  Dart, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  MIT
PEGTL, Recursive descent, C++11, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  MIT
Parser Grammar Engine (PGE), Hybrid recursive descent / operator precedence[7], Parrot bytecode, {{D-A|Mixed}}, {{Some|Parrot virtual machine}}, {{Free}}  Artistic 2.0
PyPy rlib, Packrat, Python, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  MIT
pyPEG, PEG parser interpreter  Packrat, Python, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  GNU GPL
Rats!, Packrat, Java, {{D-A|Mixed}}, {{Some|Java virtual machine}}, {{Free}}  GNU LGPL
Spirit2, Recursive descent, C++, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  Boost
textX, PEG parser interpreter  Packrat, Python (no generation  interpreted), {{D-P|Separate}}, {{Yes|All}}, {{Free}}  MIT
Treetop, Recursive descent, Ruby, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  MIT
Yard, Recursive descent, C++, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  MIT or public domain
Waxeye, Parsing machine, C  Java  JavaScript  Python  Racket  Ruby, {{D-P|Separate}}, {{Yes|All}}, {{Free}}  MIT
PHP PEG, PEG Parser?, PHP, {{D-A|Mixed}}, {{Yes|All}}, {{Free}}  BSD
