Symbol, Languages
comment ~ ;, ALGOL 60  SIMULA
¢ ~ ¢  # ~ #  co ~ co  comment ~ comment, ALGOL 68[12][13]
/* ~ */, ActionScript  AutoHotkey  C  C++  C#  D [14] Go  Java  JavaScript  kotlin  Objective-C  PHP  PL/I  Prolog  Rexx  Rust (can be nested)  Scala (can be nested)  SAS  SASS  SQL  Swift (can be nested)  Visual Prolog  CSS
#cs ~ #ce, AutoIt[15]
/+ ~ +/, D (can be nested)[14]
/# ~ #/, Cobra (can be nested)
<# ~ #>, Powershell
=begin ~ =cut, Perl
#`( ~ ), Raku (bracketing characters can be ()  <>  {}  []  any Unicode characters with BiDi mirrorings  or Unicode characters with Ps/Pe/Pi/Pf properties)
=begin ~ =end, Ruby
#<TAG> ~ #</TAG>  #stop ~ EOF  #iffalse ~ #endif  #ifntrue ~ #endif  #if false ~ #endif  #if !true ~ #endif, S-Lang[16]
{- ~ -}, Haskell (can be nested)
(* ~ *), Delphi  ML  Mathematica  Object Pascal  Pascal  Seed7  Applescript  OCaml (can be nested)  Standard ML (can be nested)  Maple  Newspeak  F#
{ ~ }, Delphi  Object Pascal  Pascal  Red
~ #|, Curl
%{ ~ %}, MATLAB[11] (the symbols must be in a separate line)
~ |#, Lisp  Scheme  Racket (can be nested in all three).
--[[</code> ~ ]]  --[=[ ~ ]=]  --[=...=[ ~ ]=...=], Lua (brackets can have any number of matching = characters; can be nested within non-matching delimiters)
" ~ ", Smalltalk
(comment ~ ), Clojure
