, Selection editing, Layers, Alpha Channel, Histogram, Scripting, HDR, Retouching, Resizing, Noise removal, Lens correction, Sized Printing, Sharpening, Color correction, Image library, Plug-in support[17], Non-destructive editing
Ability Photopaint, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
ACD Canvas, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{dunno}}, {{yes}}, {{no}}, {{dunno}}
ACDSee (Win), {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{partial}}
Acorn Image Editor, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{Yes}}, {{Yes}}, {{Yes}}, {{No}}, {{dunno}}, {{Yes}}, {{Yes}}, {{No}}, {{Yes}}, {{Yes}}
Adobe Fireworks*, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}
Adobe Photoshop, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}} (Through Mini Bridge), {{yes}}, {{partial}}
Adobe Photoshop Lightroom, {{yes}}, {{no}}, {{dunno}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
Affinity Photo, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}
Aperture, {{yes}}, {{partial}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
Autodesk SketchBook Pro, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}
