, TGA, RAW imports, BMP, GIF, JPEG, JPEG 2000, HD Photo, PNG, TIFF, PSD, PSP, XCF, PCX, ORA, HEIF
Ability Photopaint, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, , {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, , 
ACD Canvas, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, , {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{dunno}}, , 
ACDSee (Win), {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, 
Acorn Image Editor, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, , 
Adobe Fireworks*, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, , , 
Adobe Photoshop, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{partial|Via plug-in}}[31], {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, , 
Adobe Photoshop Lightroom, {{dunno}}, {{yes}}, {{no}}, {{partial|Via plug-in}}[32], {{yes}}, {{partial|Via plug-in}}[33], {{no}}, {{partial|Via plug-in}}[32], {{yes}}, {{partial}}[34], {{dunno}}, {{dunno}}, {{dunno}}, , 
Affinity Photo, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}
Autodesk SketchBook Pro, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, , 
Artipic, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, {{partial}}, {{no}}, {{no}}, {{yes}}, , 
ArtRage, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, , {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, , 
Artweaver, {{dunno}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{partial}}, , {{yes}}, {{yes}}, {{partial}}, {{no}}, {{no}}, {{yes}}, , 
Bibble*, {{dunno}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, , 
Brush Strokes Image Editor, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, , {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{dunno}}, , 
Capture One, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, , 
Chasys Draw IES, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, 
CinePaint, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, , {{yes}}, {{yes}}, {{partial}}, {{no}}, {{yes}}, {{dunno}}, , 
CodedColor PhotoStudio Pro, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, , 
Corel PaintShop Pro, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, {{partial}}[35], {{yes}}, {{no}}, {{yes}}, , 
Corel Painter, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, , {{no}}, {{yes}}[36], {{yes}}, {{yes}}, {{no}}, Import, , 
Corel Photo-Paint, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, , 
darktable, {{dunno}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, , 
Deluxe Paint*[37], {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, , {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, , 
DigiKam, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{dunno}}, , 
Erdas Imagine, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, Import, , 
Fatpaint, {{dunno}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, , 
Fotografix, {{dunno}}, {{partial}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{partial|Import only}}, {{no}}, {{partial|Import only}}, {{partial|Import only}}, , 
GIMP, {{yes}}[38], {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}[39], {{partial|Via plug-in}}[40], {{yes}}, {{yes}}[41], {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}[42]
GIMPshop, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , 
GrafX2, {{dunno}}, {{no}}, {{yes}}, {{yes}}, {{partial|Import only}}, {{no}}, {{no}}, {{yes}}, {{partial|Import only}}, {{no}}, {{no}}, {{no}}, {{yes}}, , 
GraphicConverter, {{dunno}}, {{partial}}[43], {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}[44], {{yes}}, , 
HDR PhotoStudio, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, , 
Helicon Filter, {{dunno}}, {{yes}}, {{yes}}, Import, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, , 
ImageMagick, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, , 
iPhoto*, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, , 
IrfanView, {{dunno}}, {{partial|Via plug-in}}, {{yes}}, {{yes}}, {{yes}}, {{partial|Via plug-in}}, {{partial|Via plug-in}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, , 
Iridient Developer, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, , 
Kolourpaint, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, Import, {{yes}}, , 
Krita, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, Import, {{yes}}, 
LiveQuartz, {{dunno}}, {{partial}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{partial}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}
LazPaint, {{dunno}}, , {{yes}}, {{yes}}, {{yes}}, , , {{yes}}, , , , , , {{yes}}, 
MacPaint*, {{dunno}}, {{no}}, {{dunno}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, , 
