Software, Licence, Other platforms, DRM formats supported
Aldiko, Proprietary, iOS, Adobe DRM
AlReader[1], Proprietary, None, ?
Bookari, Proprietary, iOS, Adobe DRM
Cool Reader, GPLv2, Android  Windows  Mac OS X  Linux  PocketBook, ?
Ebook Reader[2], Proprietary, iOS  BlackBerry 10+  Kindle Fire (side loaded), Adobe DRM
eReader Prestigio, Proprietary, None, Adobe DRM
FBReader, Proprietary, Windows  Linux  PDAs  Mac OS X, None
Google Play Books, Proprietary, Web application  iOS, Adobe DRM
Kindle, Proprietary, Web application  iOS  BlackBerry  Mac OS X  Windows, Amazon DRM
Kobo, Proprietary, Windows  Mac OS X  iOS, Adobe DRM
KOReader[3], AGPLv3, Android  Kindle eInk  Kindle Fire  BQ Cervantes  PocketBook  Kobo, None
Lektz, Proprietary, Web application  Mac OS X  iOS  Windows, Lektz DRM
Librera, GPL, None, None
MReader, Proprietary, None, None
OverDrive Media Console[4], Proprietary, Chromebook  iOS  Mac OS X  Windows, Adobe DRM  OverDrive
Snapplify, Proprietary, Web application  iOS, Adobe DRM  Snapplify SnappSafe DRM
