Product, Formats total #, .cbr, .cbz, .umd, .chm, .djvu, .epub, .fb2, .html, .mobi, .oeb, .rtf, .pdf, .txt, .doc, .docx, .pdb
Aldiko Book Reader, 2, ?, ?, ?, No, No, Yes, No, No, No, No, No, Yes, No, ?, ?, ?
AlReader, 9, ?, ?, ?, No, No, Yes, Yes, Yes, Yes, No, Yes, No, Yes, Yes, Yes, Yes
Bookari, 2, ?, ?, ?, No, No, Yes, No, No, No, No, No, Yes, No, No, No, No
Cool Reader, 7, ?, ?, ?, Yes, No, Yes, Yes, Yes, Yes, No, Yes, No, Yes, Yes, No, Yes
EBookDroid, 5, ?, ?, ?, No, Yes, Yes, Yes, No, No, No, Yes, Yes, No, ?, ?, ?
Ebook Reader[5], 2, No, No, No, No, No, Yes, No, No, No, No, No, Yes, No, No, No, No
eReader Prestigio[6], 9, ?, ?, ?, No, Yes, Yes, Yes, Yes, Yes, No, Yes, Yes, Yes, Yes, No, ?
ezPDF Reader, 4, ?, ?, ?, No, No, Yes, No, Yes, No, No, No, Yes, Yes, ?, ?, ?
FBReader [7], 11, ?, ?, ?, No, Plugin[8], Yes, Yes, Yes, Yes, Yes, Yes, Plugin[9], Yes, Yes, No, Yes
Google Play Books, 2, ?, ?, ?, No, No, Yes, No, No, No, No, No, Yes, No, No, No, No
iReader, 2, ?, ?, ?, ?, ?, Yes, ?, Yes, Yes, ?, ?, ?, Yes, ?, ?, ?
Kindle, 2, ?, ?, ?, No, No, No, No, No, Yes, No, No, Yes, Yes, ?, ?, ?
KOReader, 13, No, Yes, No, Yes, Yes, Yes, Yes, Yes, Yes, No, Yes, Yes, Yes, Yes, Yes, Yes
Kobo Books, 5, ?, ?, ?, No, No, Yes, No, Yes, No, No, Yes, No, Yes, ?, ?, ?
Lektz eBook Reader, 2, ?, ?, ?, No, No, Yes, No, No, No, No, No, Yes, No, ?, ?, ?
Librera[10], 13, Yes, Yes, ?, No, Yes, Yes, Yes, Yes, Yes, No, Yes, Yes, Yes, Yes, Yes, Yes
Moon+ reader Pro, 14, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, Yes, No
MReader[11], 10, ?, ?, ?, No, No, Yes, No, No, No, No, No, No, No, No, No, No
PocketBook, 7, ?, ?, ?, Yes, Yes, Yes, Yes, Yes, Yes, No, Yes, Yes, Yes, No, No, Yes
Snapplify, 7, ?, ?, ?, No, No, Yes, No, Yes, No, No, No, Yes, Yes, ?, ?, ?
Socio eReader, 1, ?, ?, ?, No, No, Yes, No, No, No, No, No, No, No, ?, ?, ?
